model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 8 s
model is updating
5000 updates took 41 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	e_MSW[6]	59.63	13.81	35.09	59.34	93.64	10000
	e_MSW[7]	6.734	6.51	1.819E-4	3.055	24.67	10000
	e_MSW[8]	27.58	9.244	12.93	28.03	45.42	10000
	e_MSW[9]	21.04	5.804	12.01	20.98	35.32	10000
	e_MSW[10]	39.87	8.736	25.96	38.49	62.21	10000
	e_MSW[11]	53.34	8.393	38.17	52.84	71.78	10000
	e_MSW[12]	97.97	15.74	75.51	98.9	130.8	10000
	e_MSW[13]	73.48	14.28	51.23	71.96	105.1	10000
	e_MSW[14]	79.47	13.26	56.74	77.8	110.2	10000
	e_MSW[15]	72.75	12.64	51.3	71.78	101.6	10000
	e_MSW[16]	102.6	15.26	77.79	101.5	138.5	10000
	e_MSW[17]	60.7	10.17	42.72	59.91	81.78	10000
	e_MSW[18]	196.0	21.82	157.1	191.8	247.5	10000
	e_MSW[19]	114.7	21.17	82.74	110.0	160.3	10000
	e_MSW[20]	96.37	15.0	70.95	94.79	130.7	10000
	e_MSW[21]	122.1	14.76	98.82	120.0	157.8	10000
	e_MSW[22]	138.7	21.39	103.7	136.9	185.3	10000
	e_MSW[23]	70.83	13.27	48.03	70.64	99.83	10000
	e_MSW[24]	129.2	14.2	104.1	127.9	160.4	10000
	e_tot[1]	517.2	85.16	379.7	509.6	699.5	10000
	e_tot[2]	677.9	48.72	590.4	675.8	778.0	10000
	e_tot[3]	679.5	40.42	610.7	676.5	765.1	10000
	e_tot[4]	448.4	34.38	386.3	446.9	521.7	10000
	e_tot[5]	529.7	30.97	475.9	526.9	592.7	10000
	e_tot[6]	293.2	25.85	247.3	292.0	357.2	10000
	e_tot[7]	288.2	48.42	216.9	283.1	403.8	10000
	e_tot[8]	299.5	21.04	261.9	298.2	342.9	10000
	e_tot[9]	561.8	35.11	503.6	559.1	641.0	10000
	e_tot[10]	269.2	21.86	231.3	267.0	316.0	10000
	e_tot[11]	1075.0	41.46	996.9	1073.0	1164.0	10000
	e_tot[12]	514.9	26.45	461.0	512.9	573.0	10000
	e_tot[13]	893.5	42.58	820.8	890.2	978.5	10000
	e_tot[14]	509.2	34.1	449.5	504.0	575.8	10000
	e_tot[15]	345.3	24.72	303.4	342.5	396.2	10000
	e_tot[16]	362.2	27.22	317.2	361.2	419.8	10000
