model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 8 s
model is updating
5000 updates took 41 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	piD_1SW[5,2]	0.00422	0.009266	-0.009876	0.001526	0.02307	10000
	piD_1SW[6,1]	0.009179	0.01488	-0.009647	0.003935	0.05243	10000
	piD_1SW[6,2]	0.006887	0.01038	-0.009409	0.003196	0.04259	10000
	piD_1SW[7,1]	0.005872	0.007411	-0.009728	0.002853	0.02981	10000
	piD_1SW[7,2]	0.004732	0.00624	-0.009926	0.00224	0.02848	10000
	piD_1SW[8,1]	0.006588	0.009375	-0.009749	0.003207	0.03368	10000
	piD_1SW[8,2]	0.006111	0.01015	-0.01014	0.002653	0.03087	10000
	piD_1SW[9,1]	0.005197	0.006777	-0.009841	0.002225	0.02841	10000
	piD_1SW[9,2]	0.004617	0.007273	-0.009766	0.001875	0.02575	10000
	piD_1SW[10,1]	0.00725	0.01208	-0.009769	0.003623	0.03404	10000
	piD_1SW[10,2]	0.006181	0.009351	-0.01022	0.00274	0.03617	10000
	piD_1SW[11,1]	0.009467	0.00749	-0.00749	0.008057	0.02951	10000
	piD_1SW[11,2]	0.0106	0.01043	-0.006824	0.008513	0.03964	10000
	piD_1SW[12,1]	0.02114	0.01513	-0.003171	0.0176	0.0599	10000
	piD_1SW[12,2]	0.01633	0.01836	-0.007996	0.0104	0.0691	10000
	piD_1SW[13,1]	0.002795	0.003295	-0.009248	0.001763	0.01617	10000
	piD_1SW[13,2]	0.003022	0.004816	-0.009695	0.001446	0.01941	10000
	piD_1SW[14,1]	0.005476	0.006837	-0.009608	0.002785	0.02917	10000
	piD_1SW[14,2]	0.004713	0.006666	-0.009458	0.001959	0.02462	10000
	piD_1SW[15,1]	0.006861	0.009595	-0.009934	0.003483	0.03363	10000
	piD_1SW[15,2]	0.006186	0.01082	-0.0101	0.002546	0.03202	10000
	piD_1SW[16,1]	0.00666	0.009487	-0.009718	0.003455	0.03705	10000
	piD_1SW[16,2]	0.006198	0.01233	-0.009838	0.002841	0.03619	10000
	piD_1SW[17,1]	0.01305	0.009989	-0.004076	0.01074	0.04229	10000
	piD_1SW[17,2]	0.01485	0.01343	-0.006317	0.01119	0.05087	10000
	piD_1SW[18,1]	0.01609	0.01491	-0.004222	0.01186	0.05453	10000
	piD_1SW[18,2]	0.01415	0.01963	-0.007332	0.007896	0.07023	10000
	piD_1SW[19,1]	0.006188	0.008806	-0.009341	0.002719	0.03181	10000
	piD_1SW[19,2]	0.005725	0.009935	-0.009186	0.002546	0.03395	10000
	piD_1SW[20,1]	0.004711	0.006564	-0.009977	0.002583	0.02575	10000
	piD_1SW[20,2]	0.004229	0.006384	-0.01001	0.002102	0.02747	10000
	piD_1SW[21,1]	0.004293	0.005705	-0.009442	0.002389	0.02495	10000
	piD_1SW[21,2]	0.003594	0.00456	-0.009941	0.001719	0.0185	10000
	piD_1SW[22,1]	0.04863	0.02475	0.01273	0.04378	0.1065	10000
	piD_1SW[22,2]	0.03613	0.02852	0.001362	0.02913	0.1033	10000
	piD_1SW[23,1]	0.1753	0.05792	0.07874	0.1684	0.2973	10000
	piD_1SW[23,2]	0.1329	0.05881	0.04895	0.1218	0.2818	10000
	piD_1SW[24,1]	0.1669	0.04699	0.09041	0.1623	0.263	10000
	piD_1SW[24,2]	0.1753	0.07373	0.06873	0.1637	0.3297	10000
	piD_MSW[1,1]	0.1838	0.2177	0.001512	0.08468	0.7102	10000
	piD_MSW[1,2]	0.1012	0.1018	0.004979	0.06729	0.375	10000
	piD_MSW[2,1]	0.813	0.1075	0.5823	0.8304	0.966	10000
	piD_MSW[2,2]	0.2582	0.14	0.0538	0.2324	0.5022	10000
	piD_MSW[3,1]	0.1949	0.1447	0.02108	0.1591	0.4819	10000
	piD_MSW[3,2]	0.164	0.1128	0.02296	0.137	0.4222	10000
	piD_MSW[4,1]	0.6988	0.1829	0.317	0.7202	0.9808	10000
	piD_MSW[4,2]	0.2343	0.1552	0.02694	0.1997	0.5588	10000
	piD_MSW[5,1]	0.08352	0.1286	-0.008323	0.03075	0.4808	10000
	piD_MSW[5,2]	0.03998	0.06505	-0.008363	0.01358	0.2155	10000
	piD_MSW[6,1]	0.377	0.1506	0.1304	0.3621	0.6742	10000
	piD_MSW[6,2]	0.2179	0.1355	0.03486	0.1892	0.4952	10000
	piD_MSW[7,1]	0.7905	0.2157	0.2291	0.8667	0.9974	10000
	piD_MSW[7,2]	0.8089	0.1666	0.4199	0.8509	0.9954	10000
	piD_MSW[8,1]	0.1628	0.2594	3.275E-4	0.03356	0.9154	10000
	piD_MSW[8,2]	0.07529	0.1493	2.205E-4	0.01718	0.5566	10000
	piD_MSW[9,1]	0.09174	0.1444	2.179E-4	0.03078	0.4582	10000
	piD_MSW[9,2]	0.03956	0.06918	-0.007811	0.01453	0.2052	10000
	piD_MSW[10,1]	0.1989	0.1381	0.02195	0.1699	0.5039	10000
	piD_MSW[10,2]	0.2362	0.1486	0.03075	0.2086	0.5985	10000
	piD_MSW[11,1]	0.04028	0.06204	2.143E-4	0.01767	0.1727	10000
	piD_MSW[11,2]	0.03613	0.06427	-0.00911	0.01093	0.2116	10000
	piD_MSW[12,1]	0.07289	0.06657	0.002837	0.05378	0.2117	10000
	piD_MSW[12,2]	0.02788	0.03881	-0.007166	0.01473	0.1174	10000
	piD_MSW[13,1]	0.03284	0.04221	-0.008286	0.01687	0.1268	10000
	piD_MSW[13,2]	0.02408	0.04058	-0.008471	0.008544	0.1198	10000
	piD_MSW[14,1]	0.03934	0.05679	-0.008224	0.01605	0.1922	10000
	piD_MSW[14,2]	0.02781	0.05132	-0.008534	0.009442	0.1581	10000
	piD_MSW[15,1]	0.03877	0.05712	-0.00844	0.01558	0.1902	10000
	piD_MSW[15,2]	0.01986	0.03378	-0.008306	0.00792	0.106	10000
	piD_MSW[16,1]	0.02426	0.03574	-0.007718	0.01008	0.1381	10000
	piD_MSW[16,2]	0.01371	0.022	-0.009861	0.005825	0.07746	10000
	piD_MSW[17,1]	0.04354	0.06452	-0.008617	0.01784	0.2028	10000
	piD_MSW[17,2]	0.03528	0.08301	-0.007643	0.009637	0.2174	10000
	piD_MSW[18,1]	0.05023	0.04099	0.004633	0.03885	0.157	10000
	piD_MSW[18,2]	0.06065	0.0652	-0.001189	0.03942	0.2343	10000
	piD_MSW[19,1]	0.08799	0.08026	0.00474	0.06508	0.2399	10000
	piD_MSW[19,2]	0.02896	0.03775	-0.006088	0.01617	0.1288	10000
	piD_MSW[20,1]	0.02563	0.03645	-0.008115	0.01038	0.1117	10000
	piD_MSW[20,2]	0.01497	0.02419	-0.009471	0.005637	0.07618	10000
	piD_MSW[21,1]	0.02097	0.02958	-0.007704	0.008706	0.1015	10000
	piD_MSW[21,2]	0.01538	0.02662	-6.244E-4	0.005467	0.0947	10000
	piD_MSW[22,1]	0.04022	0.04866	-0.005011	0.02306	0.1722	10000
	piD_MSW[22,2]	0.04106	0.03989	-0.003666	0.0295	0.1366	10000
	piD_MSW[23,1]	0.1756	0.1233	0.02371	0.1486	0.45	10000
	piD_MSW[23,2]	0.0482	0.05433	-0.003939	0.02959	0.2019	10000
	piD_MSW[24,1]	0.03546	0.03997	-0.006772	0.02107	0.141	10000
	piD_MSW[24,2]	0.07018	0.08103	0.002409	0.03922	0.285	10000
	piF_1SW[1,1]	0.04316	0.01346	0.0184	0.0419	0.07485	10000
	piF_1SW[1,2]	0.107	0.02897	0.06219	0.1036	0.176	10000
	piF_1SW[2,1]	0.116	0.01399	0.0875	0.1157	0.1459	10000
	piF_1SW[2,2]	0.06689	0.01796	0.03613	0.06481	0.1084	10000
	piF_1SW[3,1]	0.07977	0.01649	0.04901	0.0791	0.1154	10000
	piF_1SW[3,2]	0.2138	0.04652	0.1353	0.2111	0.3191	10000
	piF_1SW[4,1]	0.06392	0.01417	0.03661	0.06259	0.09524	10000
	piF_1SW[4,2]	0.1051	0.03177	0.05424	0.1012	0.1786	10000
	piF_1SW[5,1]	0.1217	0.02035	0.08421	0.12	0.1633	10000
	piF_1SW[5,2]	0.09827	0.04145	0.03474	0.09318	0.1866	10000
	piF_1SW[6,1]	0.1	0.02107	0.0618	0.09847	0.1486	10000
	piF_1SW[6,2]	0.08028	0.02697	0.03683	0.07784	0.143	10000
	piF_1SW[7,1]	0.1118	0.02396	0.06813	0.1105	0.1626	10000
	piF_1SW[7,2]	0.1276	0.03847	0.06607	0.1227	0.2121	10000
	piF_1SW[8,1]	0.1061	0.0195	0.06908	0.1047	0.1486	10000
	piF_1SW[8,2]	0.07867	0.02831	0.03211	0.07513	0.1424	10000
	piF_1SW[9,1]	0.04676	0.009569	0.027	0.04607	0.07009	10000
	piF_1SW[9,2]	0.05465	0.0183	0.02409	0.05247	0.0958	10000
	piF_1SW[11,1]	0.07736	0.009303	0.05629	0.077	0.09876	10000
	piF_1SW[11,2]	0.07633	0.01535	0.0471	0.07518	0.1123	10000
	piF_1SW[12,1]	0.05328	0.01117	0.02978	0.05277	0.07868	10000
	piF_1SW[12,2]	0.0893	0.02461	0.04646	0.08612	0.1448	10000
	piF_1SW[13,1]	0.0678	0.009638	0.04715	0.06711	0.09095	10000
	piF_1SW[13,2]	0.1078	0.025	0.06582	0.1052	0.164	10000
	piF_1SW[14,1]	0.08993	0.01464	0.06195	0.08891	0.1227	10000
	piF_1SW[14,2]	0.1209	0.03071	0.06897	0.118	0.1917	10000
	piF_1SW[15,1]	0.04798	0.01329	0.02266	0.04659	0.08061	10000
	piF_1SW[15,2]	0.06161	0.02166	0.02687	0.05838	0.111	10000
	piF_1SW[16,1]	0.03765	0.0119	0.01547	0.0364	0.06717	10000
	piF_1SW[16,2]	0.04299	0.01905	0.01159	0.04067	0.08861	10000
	piF_1SW[17,1]	0.06053	0.009645	0.04026	0.06017	0.0831	10000
	piF_1SW[17,2]	0.1113	0.02511	0.0693	0.1093	0.1675	10000
	piF_1SW[18,1]	0.06755	0.01305	0.04181	0.067	0.09778	10000
	piF_1SW[18,2]	0.09365	0.03056	0.0451	0.09016	0.1636	10000
	piF_1SW[19,1]	0.0767	0.01575	0.04626	0.07563	0.1106	10000
	piF_1SW[19,2]	0.1047	0.02946	0.05668	0.1013	0.1687	10000
	piF_1SW[20,1]	0.03797	0.008904	0.01872	0.03727	0.05986	10000
	piF_1SW[20,2]	0.08091	0.0207	0.04474	0.07936	0.1295	10000
	piF_1SW[21,1]	0.08472	0.01263	0.05931	0.08411	0.1141	10000
	piF_1SW[21,2]	0.07553	0.01838	0.0428	0.07331	0.117	10000
	piF_1SW[22,1]	0.04945	0.0103	0.02842	0.04869	0.07427	10000
	piF_1SW[22,2]	0.1591	0.03353	0.1036	0.155	0.2332	10000
	piF_1SW[23,1]	0.03122	0.007904	0.01385	0.03025	0.05106	10000
	piF_1SW[23,2]	0.1028	0.02322	0.06159	0.101	0.155	10000
	piF_1SW[24,1]	0.02276	0.005076	0.007677	0.02216	0.03797	10000
	piF_1SW[24,2]	0.1067	0.02477	0.06501	0.1045	0.1616	10000
	piF_MSW[1,1]	0.08699	0.03812	0.02785	0.08372	0.1813	10000
	piF_MSW[1,2]	0.252	0.07783	0.1338	0.2364	0.4343	10000
	piF_MSW[2,1]	0.1138	0.05	0.04698	0.1002	0.226	10000
	piF_MSW[2,2]	0.1325	0.05018	0.04888	0.1293	0.2252	10000
	piF_MSW[3,1]	0.07766	0.02911	0.03097	0.07548	0.1417	10000
	piF_MSW[3,2]	0.1741	0.05037	0.08769	0.1713	0.2816	10000
	piF_MSW[4,1]	0.08183	0.03138	0.03307	0.07517	0.1557	10000
	piF_MSW[4,2]	0.1512	0.04934	0.06831	0.1498	0.2583	10000
	piF_MSW[5,1]	0.1074	0.04442	0.04122	0.1022	0.2175	10000
	piF_MSW[5,2]	0.1854	0.06725	0.07996	0.1768	0.3194	10000
	piF_MSW[6,1]	0.0774	0.03007	0.03555	0.07255	0.1516	10000
	piF_MSW[6,2]	0.1164	0.03836	0.04963	0.1165	0.1931	10000
	piF_MSW[7,1]	0.1072	0.04536	0.04695	0.09657	0.2222	10000
	piF_MSW[7,2]	0.2053	0.06415	0.1043	0.1999	0.3532	10000
	piF_MSW[8,1]	0.1094	0.04123	0.04936	0.1008	0.2054	10000
	piF_MSW[8,2]	0.1793	0.06385	0.07485	0.1721	0.3161	10000
	piF_MSW[9,1]	0.06713	0.03622	0.01998	0.06284	0.1522	10000
	piF_MSW[9,2]	0.1253	0.05282	0.04848	0.1191	0.2323	10000
	piF_MSW[10,1]	0.07143	0.02819	0.02707	0.06818	0.1397	10000
	piF_MSW[10,2]	0.1707	0.05228	0.08975	0.1649	0.2887	10000
	piF_MSW[11,1]	0.07728	0.02967	0.02768	0.0761	0.1469	10000
	piF_MSW[11,2]	0.2282	0.0662	0.1191	0.2241	0.3839	10000
	piF_MSW[12,1]	0.1651	0.04076	0.09453	0.1621	0.2546	10000
	piF_MSW[12,2]	0.2083	0.07871	0.09488	0.1929	0.3878	10000
	piF_MSW[13,1]	0.1245	0.04357	0.05112	0.1214	0.2076	10000
	piF_MSW[13,2]	0.3337	0.07938	0.1973	0.3324	0.4929	10000
	piF_MSW[14,1]	0.09293	0.03026	0.04441	0.08926	0.1646	10000
	piF_MSW[14,2]	0.1679	0.05242	0.08095	0.1631	0.2743	10000
	piF_MSW[15,1]	0.08141	0.029	0.03511	0.07699	0.1521	10000
	piF_MSW[15,2]	0.1915	0.04887	0.1098	0.187	0.3016	10000
	piF_MSW[16,1]	0.08474	0.02662	0.04261	0.08013	0.1492	10000
	piF_MSW[16,2]	0.1494	0.04261	0.07719	0.1458	0.2353	10000
	piF_MSW[17,1]	0.05199	0.02279	0.01752	0.04893	0.1045	10000
	piF_MSW[17,2]	0.1228	0.04562	0.05765	0.1136	0.231	10000
	piF_MSW[18,1]	0.04857	0.01535	0.02201	0.04706	0.08527	10000
	piF_MSW[18,2]	0.109	0.03431	0.05431	0.1036	0.19	10000
	piF_MSW[19,1]	0.09088	0.02707	0.04279	0.08707	0.151	10000
	piF_MSW[19,2]	0.2223	0.05373	0.1313	0.22	0.3388	10000
	piF_MSW[20,1]	0.06277	0.02494	0.02584	0.06054	0.1215	10000
	piF_MSW[20,2]	0.1128	0.03546	0.05412	0.1098	0.1939	10000
	piF_MSW[21,1]	0.06444	0.02105	0.02981	0.06199	0.1154	10000
	piF_MSW[21,2]	0.1451	0.04208	0.07487	0.1426	0.2394	10000
	piF_MSW[22,1]	0.1163	0.02878	0.06554	0.1143	0.1798	10000
	piF_MSW[22,2]	0.2039	0.05291	0.1193	0.1965	0.3013	10000
	piF_MSW[23,1]	0.06943	0.02667	0.0303	0.0663	0.1323	10000
	piF_MSW[23,2]	0.1583	0.04806	0.08581	0.151	0.2619	10000
	piF_MSW[24,1]	0.06964	0.02092	0.03366	0.06672	0.1174	10000
	piF_MSW[24,2]	0.1435	0.03978	0.07501	0.1424	0.2308	10000
	pi_MP[1,1]	0.6402	0.0865	0.4889	0.647	0.7773	10000
	pi_MP[1,2]	0.355	0.08956	0.1914	0.3522	0.5365	10000
	pi_MP[2,1]	0.6755	0.03949	0.5946	0.6783	0.7474	10000
	pi_MP[2,2]	0.4695	0.06391	0.3514	0.4689	0.5981	10000
	pi_MP[3,1]	0.6926	0.0377	0.6201	0.6931	0.7634	10000
	pi_MP[3,2]	0.3971	0.06656	0.2705	0.397	0.52	10000
	pi_MP[4,1]	0.7005	0.04807	0.6022	0.7025	0.7879	10000
	pi_MP[4,2]	0.5154	0.07297	0.3761	0.5153	0.6515	10000
	pi_MP[5,1]	0.7556	0.04022	0.6874	0.755	0.8325	10000
	pi_MP[5,2]	0.3755	0.07814	0.2302	0.3738	0.5291	10000
	pi_MP[6,1]	0.6463	0.05287	0.5397	0.6467	0.7458	10000
	pi_MP[6,2]	0.4323	0.06382	0.3146	0.4302	0.5586	10000
	pi_MP[7,1]	0.491	0.07129	0.3507	0.4937	0.6215	10000
	pi_MP[7,2]	0.2972	0.06569	0.1782	0.2956	0.4305	10000
	pi_MP[8,1]	0.7374	0.04483	0.6441	0.7384	0.8193	10000
	pi_MP[8,2]	0.4134	0.07972	0.2739	0.4119	0.5784	10000
	pi_MP[9,1]	0.739	0.04614	0.6434	0.7401	0.8219	10000
	pi_MP[9,2]	0.4184	0.08417	0.2538	0.4217	0.5715	10000
	pi_MP[10,1]	0.5893	0.05544	0.4847	0.5905	0.6934	10000
	pi_MP[10,2]	0.4854	0.07342	0.3434	0.4849	0.6248	10000
	pi_MP[11,1]	0.6823	0.02727	0.6289	0.6825	0.7368	10000
	pi_MP[11,2]	0.5023	0.06706	0.3745	0.5024	0.6341	10000
	pi_MP[12,1]	0.7403	0.03682	0.6632	0.7408	0.8096	10000
	pi_MP[12,2]	0.5623	0.06434	0.4371	0.5649	0.6785	10000
	pi_MP[13,1]	0.7413	0.03384	0.6708	0.7423	0.8033	10000
	pi_MP[13,2]	0.382	0.05772	0.2759	0.3793	0.4997	10000
	pi_MP[14,1]	0.6599	0.04505	0.5715	0.6603	0.7406	10000
	pi_MP[14,2]	0.499	0.06875	0.363	0.501	0.6288	10000
	pi_MP[15,1]	0.6674	0.05194	0.5646	0.6694	0.7647	10000
	pi_MP[15,2]	0.3648	0.05942	0.2493	0.3659	0.4777	10000
	pi_MP[16,1]	0.7045	0.06056	0.5913	0.7045	0.8218	10000
	pi_MP[16,2]	0.4723	0.06108	0.3576	0.4708	0.5904	10000
	pi_MP[17,1]	0.6981	0.03579	0.6273	0.6994	0.7655	10000
	pi_MP[17,2]	0.4958	0.07236	0.3648	0.4955	0.6454	10000
	pi_MP[18,1]	0.7907	0.04108	0.7041	0.7934	0.863	10000
	pi_MP[18,2]	0.6325	0.06208	0.5077	0.6366	0.753	10000
	pi_MP[19,1]	0.5994	0.05775	0.4861	0.5977	0.7076	10000
	pi_MP[19,2]	0.3869	0.059	0.2772	0.3855	0.5063	10000
	pi_MP[20,1]	0.6584	0.04139	0.5756	0.6583	0.7397	10000
	pi_MP[20,2]	0.4085	0.06054	0.2922	0.4069	0.5283	10000
	pi_MP[21,1]	0.6314	0.04186	0.5462	0.6322	0.7101	10000
	pi_MP[21,2]	0.5412	0.06093	0.4189	0.5416	0.6555	10000
	pi_MP[22,1]	0.6611	0.03738	0.5868	0.6608	0.7389	10000
	pi_MP[22,2]	0.4255	0.05502	0.3246	0.4251	0.5307	10000
	pi_MP[23,1]	0.6326	0.03567	0.5616	0.6334	0.7015	10000
	pi_MP[23,2]	0.4415	0.06405	0.3123	0.4423	0.5664	10000
	pi_MP[24,1]	0.7855	0.02639	0.7326	0.786	0.8364	10000
	pi_MP[24,2]	0.6159	0.06048	0.4971	0.6139	0.7307	10000
	pi_MP94[1]	0.5097	0.1176	0.3296	0.4948	0.7656	10000
	pi_MP94[2]	0.3018	0.1502	0.09842	0.2714	0.6854	10000
	pi_R[1,1]	0.04738	0.0106	0.02612	0.04611	0.0726	10000
	pi_R[1,2]	0.05525	0.02281	0.01966	0.05163	0.1094	10000
	pi_R[2,1]	0.1035	0.0133	0.07728	0.1028	0.1337	10000
	pi_R[2,2]	0.1995	0.04823	0.1224	0.1936	0.3077	10000
	pi_R[3,1]	0.1009	0.01203	0.07516	0.1005	0.1275	10000
	pi_R[3,2]	0.1313	0.03107	0.07827	0.1288	0.2005	10000
	pi_R[4,1]	0.07245	0.0118	0.04836	0.07126	0.1005	10000
	pi_R[4,2]	0.08456	0.02558	0.04325	0.08124	0.1446	10000
	pi_R[5,1]	0.1336	0.0151	0.1036	0.1331	0.1669	10000
	pi_R[5,2]	0.1422	0.03333	0.08495	0.1397	0.2125	10000
	pi_R[6,1]	0.1194	0.0183	0.08553	0.1188	0.1602	10000
	pi_R[6,2]	0.1675	0.03698	0.1056	0.1646	0.2458	10000
	pi_R[7,1]	0.04493	0.01084	0.02327	0.04373	0.07209	10000
	pi_R[7,2]	0.06759	0.03063	0.02406	0.06213	0.1407	10000
	pi_R[8,1]	0.1711	0.02215	0.1287	0.1706	0.2173	10000
	pi_R[8,2]	0.1623	0.04526	0.08625	0.1573	0.2618	10000
	pi_R[9,1]	0.08453	0.01131	0.06113	0.08421	0.1096	10000
	pi_R[9,2]	0.1607	0.03908	0.09617	0.1567	0.2479	10000
	pi_R[10,1]	0.2138	0.02761	0.1638	0.2122	0.2733	10000
	pi_R[10,2]	0.1963	0.04577	0.1186	0.1938	0.2986	10000
	pi_R[11,1]	0.1917	0.01335	0.1648	0.1918	0.2203	10000
	pi_R[11,2]	0.1657	0.0349	0.104	0.1634	0.2418	10000
	pi_R[12,1]	0.1909	0.02007	0.1534	0.1898	0.2344	10000
	pi_R[12,2]	0.1513	0.02878	0.1011	0.1498	0.2159	10000
	pi_R[13,1]	0.102	0.01081	0.07843	0.1012	0.1266	10000
	pi_R[13,2]	0.1647	0.04131	0.09549	0.1615	0.2481	10000
	pi_R[14,1]	0.1257	0.01584	0.0947	0.1255	0.1589	10000
	pi_R[14,2]	0.1395	0.02937	0.08751	0.137	0.2041	10000
	pi_R[15,1]	0.1277	0.01812	0.09326	0.127	0.1688	10000
	pi_R[15,2]	0.1706	0.03426	0.1133	0.1677	0.2474	10000
	pi_R[16,1]	0.0729	0.01304	0.04793	0.07215	0.103	10000
	pi_R[16,2]	0.1038	0.02496	0.0614	0.1016	0.1602	10000
	pi_R[17,1]	0.1538	0.0143	0.1257	0.1531	0.185	10000
	pi_R[17,2]	0.1287	0.02682	0.08218	0.127	0.1887	10000
	pi_R[18,1]	0.09407	0.01328	0.06815	0.09366	0.1228	10000
	pi_R[18,2]	0.1137	0.02036	0.07519	0.1135	0.1566	10000
	pi_R[19,1]	0.0677	0.01204	0.04332	0.06708	0.09623	10000
	pi_R[19,2]	0.09407	0.02268	0.05457	0.0916	0.1443	10000
	pi_R[20,1]	0.1301	0.01442	0.1022	0.1291	0.1622	10000
	pi_R[20,2]	0.1371	0.02755	0.08987	0.1348	0.1993	10000
	pi_R[21,1]	0.1273	0.0141	0.09872	0.126	0.1568	10000
	pi_R[21,2]	0.1692	0.03089	0.1142	0.1677	0.2359	10000
	pi_R[22,1]	0.1392	0.01587	0.1081	0.1383	0.1729	10000
	pi_R[22,2]	0.1529	0.0282	0.1017	0.152	0.2146	10000
	pi_R[23,1]	0.1797	0.02138	0.1404	0.1783	0.2275	10000
	pi_R[23,2]	0.1566	0.03837	0.09178	0.1537	0.24	10000
	pi_R[24,1]	0.1698	0.01658	0.1373	0.1693	0.2061	10000
	pi_R[24,2]	0.161	0.02812	0.1119	0.1589	0.2217	10000
	pi_oD	0.2097	0.04678	0.1333	0.2027	0.3167	10000
	pi_oF[1]	0.614	0.05804	0.4981	0.615	0.7233	10000
	pi_oF[2]	0.6296	0.04915	0.5319	0.631	0.7208	10000
	pi_oF[3]	0.4043	0.04804	0.3127	0.405	0.4994	10000
	pi_oF[4]	0.6869	0.06324	0.5594	0.6883	0.8005	10000
	pi_oF[5]	0.7757	0.04684	0.6803	0.7779	0.8589	10000
	pi_oF[6]	0.6976	0.07072	0.5468	0.7007	0.8277	10000
	pi_oF[7]	0.7848	0.05432	0.676	0.7862	0.8838	10000
	pi_oF[8]	0.604	0.07129	0.4618	0.6064	0.7406	10000
	pi_oF[9]	0.5586	0.08427	0.391	0.5624	0.712	10000
	rate_lambda	0.00963	0.003129	-0.003231	0.009645	0.02254	10000
	rho_D[1]	0.8555	0.1471	0.4637	0.9043	0.9941	10000
	rho_D[2]	0.7176	0.1825	0.3055	0.76	0.9519	10000
	rho_F[1]	0.06796	0.2932	-0.5028	0.0749	0.6183	10000
	rho_F[2]	0.3648	0.4584	-0.551	0.3913	0.9981	10000
	s[1]	18.04	5.416	9.206	17.47	30.45	10000
	s[2]	3.479	0.9813	1.88	3.351	5.715	10000
	shape_lambda	6.235	1.944	3.204	5.999	10.66	10000
	sigmapi_D[1]	1.984	0.5247	1.209	1.92	3.116	10000
	sigmapi_D[2]	2.559	0.6619	1.575	2.457	3.918	10000
	sigmapi_F[1]	0.5447	0.08837	0.3943	0.536	0.7431	10000
	sigmapi_F[2]	0.5214	0.1276	0.2913	0.5155	0.7817	10000
	sigmapi_MP	0.3584	0.07539	0.2247	0.3538	0.5143	10000
	sigmapi_R	0.2662	0.05278	0.1735	0.2622	0.3827	10000
	sigmapi_oF	0.709	0.2643	0.3563	0.6571	1.316	10000
	test[1]	0.0518	0.2216	-0.01006	-1.603E-6	1.0	10000
	test[2]	0.0112	0.1052	-0.01038	1.537E-6	0.01194	10000
	test[3]	0.0205	0.1417	-0.009946	1.555E-6	0.01525	10000
	test[4]	9.0E-4	0.02999	-0.01003	-1.524E-6	0.01011	10000
	test[5]	0.7379	0.4398	-0.009992	1.0	1.01	10000
	test[6]	0.8767	0.3288	-1.631E-5	1.0	1.01	10000
	test[7]	0.9995	0.02236	0.9898	1.0	1.01	10000
	test[8]	0.993	0.08337	0.9879	1.0	1.01	10000
	test[9]	0.0	1.0E-15	-0.01003	1.522E-6	0.01003	10000
	test[10]	0.139	0.3459	-0.01004	1.317E-5	1.0	10000
History
