"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,175,25,63,15
1985,1243,NA,85,51,36,26
1986,1375,NA,328,46,180,29
1987,3330,NA,187,50,69,22
1988,1324,NA,120,36,76,14
1989,1562,NA,255,70,145,55
1990,608,NA,268,42,218,37
1991,5502,NA,167,62,157,56
1992,4181,NA,208,55,179,53
1993,3664,NA,470,46,419,42
1994,3208,NA,337,49,277,43
1995,3083,NA,181,56,154,55
1996,6430,NA,168,46,139,39
1997,7150,NA,111,12,88,12
1998,6344,NA,159,13,139,12
1999,9298,NA,144,36,129,32
2000,10560,NA,133,33,131,29
2001,11734,NA,188,29,176,29
2002,14797,NA,387,38,376,37
2003,6811,NA,31,64,20,60
2004,3963,NA,89,19,76,16
2005,8864,NA,88,14,76,14
2006,2334,NA,46,31,32,30
2007,2824,NA,65,17,52,15
2008,4876,NA,61,28,54,28
2009,2534,NA,50,21,46,19
2010,7019,NA,147,26,136,21
2011,4565,NA,43,44,37,43
2012,15133,NA,75,17,75,17
2013,4484,NA,86,43,86,43
2014,6552,NA,74,50,74,48
2015,7830,NA,54,39,54,39
2016,9710.5,NA,58,23,58,23
2017,7067,NA,80,17,79,17
2018,5339,NA,35,29,35,29
2019,13516,NA,119,18,119,18
2020,7855,NA,68,50,67,50
2021,31909,NA,44,20,44,20
2022,8485,NA,13,38,13,38
2023,7726,NA,26,9,26,9
