"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,175,25,63,15
1985,1243,NA,85,51,36,26
1986,1380,NA,329,46,181,29
1987,3359,NA,187,50,69,22
1988,1323,NA,119,36,75,14
1989,1559,NA,256,71,146,56
1990,597,NA,268,42,218,37
1991,5526,NA,167,62,157,56
1992,4184,NA,208,55,179,53
1993,3678,NA,471,46,420,42
1994,3222,NA,337,49,277,43
1995,3088,NA,181,56,154,55
1996,6476,NA,168,46,139,39
1997,7201.5,NA,111,12,88,12
1998,6353,NA,159,13,139,12
1999,9352,NA,144,36,129,32
2000,10620,NA,133,33,131,29
2001,11845,NA,188,29,176,29
2002,14929,NA,388,38,377,37
2003,6853,NA,31,64,20,60
2004,3969,NA,88,19,75,16
2005,8941.5,NA,88,14,76,14
2006,2328,NA,46,31,32,30
2007,2822,NA,65,17,52,15
2008,4867,NA,61,28,54,28
2009,2553,NA,50,21,46,19
2010,7140,NA,147,26,136,21
2011,4574,NA,43,44,37,43
2012,15481.5,NA,74,17,74,17
2013,4516,NA,86,44,86,44
2014,6652,NA,74,51,74,49
2015,7966,NA,54,40,54,40
2016,9906,NA,58,23,58,23
2017,7030,NA,80,17,79,17
2018,5380.5,NA,34,29,34,29
2019,13777.5,NA,118,18,118,18
2020,7999,NA,68,51,67,51
2021,32849,NA,44,20,44,20
2022,8725,NA,13,39,13,39
2023,7838.5,NA,33,9,33,9
2024,2957,NA,4,44,4,44
