"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,175,25,63,15
1985,1325,NA,86,51,37,26
1986,1454,NA,327,45,179,28
1987,3373,NA,187,49,69,21
1988,1414,NA,120,36,76,14
1989,1604,NA,254,69,144,54
1990,657,NA,268,42,218,37
1991,5808,NA,167,62,157,56
1992,4376,NA,208,55,179,53
1993,3938,NA,470,46,419,42
1994,3446,NA,336,49,276,43
1995,3318,NA,182,55,155,54
1996,6884.5,NA,168,46,139,39
1997,7615.5,NA,111,12,88,12
1998,6642,NA,159,13,139,12
1999,9703,NA,144,35,129,31
2000,10936,NA,135,33,133,29
2001,12348.5,NA,188,28,176,28
2002,15376,NA,387,38,376,37
2003,7116.5,NA,31,64,20,60
2004,4006,NA,89,19,76,16
2005,9471,NA,89,14,77,14
2006,2428.5,NA,47,31,33,30
2007,2931,NA,65,17,52,15
2008,5017,NA,61,28,54,28
2009,2695,NA,50,21,46,19
2010,7292,NA,147,25,136,20
2011,4717,NA,43,44,37,43
2012,15673.5,NA,75,17,75,17
2013,4719,NA,87,43,87,43
2014,6860,NA,75,50,75,48
2015,8245.5,NA,54,39,54,39
2016,10252,NA,59,23,59,23
2017,7204,NA,81,17,80,17
2018,5585.5,NA,36,29,36,29
2019,13992.5,NA,119,18,119,18
2020,8214.5,NA,67,49,66,49
