"Année","Tacon 0+","Smolts","1HM (retours tot.)","PHM (retours tot.)","1HM (échappement)","PHM (échappement)"
1993,10810,NA,NA,NA,NA,NA
1994,20510,NA,475,74,431,47
1995,10740,6185,775,96,654,40
1996,14880,1988,693,83,577,57
1997,10180,9968,457,71,409,28
1998,6805,4773,577,27,504,21
1999,10890,2595,259,99,231,66
2000,21430,3167,305,48,262,5
2001,3239,11960,317,40,282,31
2002,19320,1250,587,23,561,21
2003,15360,10130,227,59,225,39
2004,25820,7836,1116,65,1018,54
2005,15710,10760,453,127,417,96
2006,16950,7182,891,107,817,76
2007,27040,7551,478,93,426,79
2008,22860,10470,288,87,274,71
2009,18930,13680,270,117,263,103
2010,23380,10560,769,67,700,62
2011,36270,8862,389,218,355,195
2012,33180,8212,384,148,348,115
2013,27220,8424,610,105,577,96
2014,27760,10250,683,139,625,125
2015,46810,6625,604,174,528,137
2016,21980,9779,623,86,489,67
2017,25880,6249,957,143,769,124
2018,17610,4933,303,147,283,121
2019,49330,5085,233,46,213,34
2020,15640,7331,443,43,430,36
2021,34690,8213,393,38,380,36
