"code_site";"code_station";"date_obs_elab";"resultat_obs_elab";"date_prod";"code_statut";"libelle_statut";"code_methode";"libelle_methode";"code_qualification";"libelle_qualification";"longitude";"latitude";"grandeur_hydro_elab";"date";"year";"month";"day"
"G1110410";"G111041010";"1982-01-01";5785;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";12;"Douteuse";1.339146471;49.999780637;"QmJ";1982-01-01;"1982";"01";"01"
"G1110410";"G111041010";"1982-01-02";5814;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-02;"1982";"01";"02"
"G1110410";"G111041010";"1982-01-03";5752;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-03;"1982";"01";"03"
"G1110410";"G111041010";"1982-01-04";5703;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-04;"1982";"01";"04"
"G1110410";"G111041010";"1982-01-05";5711;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-05;"1982";"01";"05"
"G1110410";"G111041010";"1982-01-06";5688;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-06;"1982";"01";"06"
"G1110410";"G111041010";"1982-01-07";5670;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-07;"1982";"01";"07"
"G1110410";"G111041010";"1982-01-08";5653;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-08;"1982";"01";"08"
"G1110410";"G111041010";"1982-01-09";5635;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-09;"1982";"01";"09"
"G1110410";"G111041010";"1982-01-10";5618;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-10;"1982";"01";"10"
"G1110410";"G111041010";"1982-01-11";5600;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-11;"1982";"01";"11"
"G1110410";"G111041010";"1982-01-12";5583;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-12;"1982";"01";"12"
"G1110410";"G111041010";"1982-01-13";5565;"2024-03-08T03:11:25Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.339146471;49.999780637;"QmJ";1982-01-13;"1982";"01";"13"
