"code_site";"code_station";"date_obs_elab";"resultat_obs_elab";"date_prod";"code_statut";"libelle_statut";"code_methode";"libelle_methode";"code_qualification";"libelle_qualification";"longitude";"latitude";"grandeur_hydro_elab";"date";"year";"month";"day"
"G0170420";"G017042010";"2000-01-01";14727;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-01;"2000";"01";"01"
"G0170420";"G017042010";"2000-01-02";14357;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-02;"2000";"01";"02"
"G0170420";"G017042010";"2000-01-03";13777;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-03;"2000";"01";"03"
"G0170420";"G017042010";"2000-01-04";13855;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-04;"2000";"01";"04"
"G0170420";"G017042010";"2000-01-05";13783;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-05;"2000";"01";"05"
"G0170420";"G017042010";"2000-01-06";13294;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-06;"2000";"01";"06"
"G0170420";"G017042010";"2000-01-07";12907;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-07;"2000";"01";"07"
"G0170420";"G017042010";"2000-01-08";12547;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-08;"2000";"01";"08"
"G0170420";"G017042010";"2000-01-09";12135;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-09;"2000";"01";"09"
"G0170420";"G017042010";"2000-01-10";11795;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-10;"2000";"01";"10"
"G0170420";"G017042010";"2000-01-11";11441;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-11;"2000";"01";"11"
"G0170420";"G017042010";"2000-01-12";11226;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-12;"2000";"01";"12"
"G0170420";"G017042010";"2000-01-13";11068;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-13;"2000";"01";"13"
"G0170420";"G017042010";"2000-01-14";10972;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-14;"2000";"01";"14"
"G0170420";"G017042010";"2000-01-15";10938;"2024-11-22T07:26:42Z";16;"Donnée validée";12;"Interpolation";20;"Bonne";1.447744409;50.046068813;"QmJ";2000-01-15;"2000";"01";"15"
