"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"dRR_Oir[1,8]";2.463496464;0.84255256092748;1.1;1.855;2.368;2.966;4.361
"dRR_Oir[1,9]";7.67709168;1.78629055841259;4.61797499736049;6.408;7.533;8.773;11.59
"dRR_Oir[1,10]";15.52358268;2.25954094156077;11.42;13.95;15.4;16.98;20.26
"dRR_Oir[1,11]";33.8595592;3.39978922244166;27.42;31.56;33.74;36.02;40.89
"dRR_Oir[1,12]";0.7503067526;0.463969019130712;0.1506;0.411174997719764;0.652;0.98312499904644;1.91302499363131
"dRR_Oir[1,13]";12.22885814;1.95315336869826;8.745;10.86;12.11;13.47;16.37
"dRR_Oir[1,14]";12.81669594;2.01284984780726;9.173;11.41;12.71;14.1;17.04
"dRR_Oir[1,15]";39.4162188;3.8392463274416;32.43;36.73;39.23;41.92;47.44
"dRR_Oir[1,16]";9.72871142;1.76468080968451;6.58497499814902;8.498;9.611;10.84;13.51
"dRR_Oir[1,17]";13.20573044;2.03488046975441;9.49594999486555;11.78;13.1;14.53;17.44
"dRR_Oir[1,18]";12.1280773;1.97946756684763;8.56497499857695;10.76;12.02;13.4;16.32
"dRR_Oir[1,19]";17.73205848;2.3962540868224;13.4;16.07;17.6;19.27;22.82
"dRR_Oir[1,20]";7.28648948;1.68116091500182;4.376;6.113;7.152;8.315;10.97
"dRR_Oir[1,21]";6.2375149;1.39802852409136;3.82;5.248;6.128;7.114;9.24802499868224
"dRR_Oir[1,22]";13.80609978;2.16268374047691;9.92397499877183;12.3;13.68;15.18;18.37
"dRR_Oir[2,2]";6.277653192;4.67054959781488;1.085;3.019;5.048;8.12924998846804;18.7
"dRR_Oir[2,3]";11.51879603;6.87492663496779;2.75997499558319;6.608;9.993;14.78;28.89
"dRR_Oir[2,5]";5.544873604;4.00500879791472;0.999097499878007;2.763;4.513;7.168;16.0802499242381
"dRR_Oir[2,6]";2.459367193;2.17091288461503;0.3215;1.023;1.835;3.15224997026248;8.35702499854176
"dRR_Oir[2,7]";5.506648962;4.30159564572693;0.893492498772112;2.566;4.317;7.12524998684318;16.97
"dRR_Oir[2,8]";2.7939384862;2.45584040426323;0.3756;1.174;2.074;3.6;9.30907498821955
"dRR_Oir[2,9]";5.675267159;4.44271414806665;0.934794999478425;2.645;4.455;7.364;17.3602499298221
"dRR_Oir[2,10]";7.357611836;4.96066131792939;1.506;3.88;6.141;9.47424999010511;20.2502499398344
"dRR_Oir[2,11]";14.89586218;7.96892124174789;4.20494998840303;9.164;13.32;18.91;34.62
"dRR_Oir[2,12]";0.5446022768;0.616774735721983;0.04835;0.1779;0.3508;0.6742;2.23302499454371
"dRR_Oir[2,13]";8.974993638;5.77530250233783;1.9899749938736;4.883;7.635;11.52;23.8402499488921
"dRR_Oir[2,14]";18.16708464;9.09562078585215;5.666;11.62;16.48;22.8;40.49
"dRR_Oir[2,15]";19.41767878;10.4614254311962;5.44397499776103;11.88;17.3;24.63;45.3202499731118
"dRR_Oir[2,16]";6.205272184;4.44188308287788;1.187;3.13074997005191;5.05849997528912;7.98024998825274;17.7702499314407
"dRR_Oir[2,17]";10.82459073;6.59908834196761;2.58;6.1177499846749;9.371;13.88;27.46
"dRR_Oir[2,18]";6.5854998;4.56839712378077;1.31597499073435;3.398;5.443;8.48924998895706;18.4102499338232
"dRR_Oir[2,19]";6.251524962;4.44752768526836;1.15397498943288;3.16574997038305;5.111;8.084;17.93
"dRR_Oir[2,20]";40.4604607;18.1148738861846;14.75;27.51;37.37;49.76;84.19
"dRR_Oir[2,21]";8.528325846;5.75543099827588;1.798;4.512;7.088;10.96;23.53
"dRR_Oir[2,22]";25.89833894;11.652761212625;9.03292498785437;17.46;23.95;32.14;54.02
"dRR_Oir[3,8]";3.651422954;3.77000173766386;0.400497499695643;1.35;2.5;4.538;13.9902499129252
"dRR_Oir[3,10]";8.455886862;7.73933744257033;1.129;3.455;6.165;10.75;29.26
"dRR_Oir[3,11]";78.5466168;14.3283482426002;53.23;68.43;77.5;87.62;109.5
"dRR_Oir[3,12]";0.46919522904;0.477939207155845;0.04743;0.1688;0.3211;0.594824998423994;1.777
"dRR_Oir[3,13]";5.730594152;2.58968571587572;1.985;3.855;5.302;7.11624998682654;11.94
"dRR_Oir[3,14]";23.20294348;6.56465576168247;12.33;18.51;22.5;27.16;38.07
"dRR_Oir[3,15]";69.2553972;14.267645839051;45.09;59.19;67.99;77.81;100.6
"dRR_Oir[3,16]";15.4484009;5.18567675052798;7.20294999323075;11.72;14.8149991562605;18.49;27.46
"dRR_Oir[3,17]";14.84815002;4.88978957473997;6.96989997201238;11.29;14.27;17.7624994723017;25.8002499527737
"dRR_Oir[3,18]";24.27422596;6.72062424551374;13.1;19.43;23.59;28.34;39.22
"dRR_Oir[3,19]";4.236619688;2.24680033898939;1.20097498984664;2.628;3.809;5.338;9.81502499875836
"dRR_Oir[3,20]";10.20220578;4.41422430811116;3.78894998712934;7.05974998671987;9.443;12.52;20.7202499411987
"dRR_Oir[3,21]";6.36502607;3.00334470291311;2.111;4.181;5.842;7.956;13.69
"dRR_Oir[3,22]";55.0838834;12.1126603091146;34.43;46.47;53.99;62.43;82.0000000000001
"dRR_Oir[4,10]";15.30010054;3.31888245827525;9.734;12.97;14.98;17.28;22.6902499463025
"dRR_Oir[4,11]";34.1528522;5.77377884243912;24.57;30.1374996888913;33.58;37.51;47.0602499741058
"dRR_Oir[4,13]";10.89666388;2.71809273983545;6.42294999240853;8.998;10.62;12.47;17.05
"dRR_Oir[4,14]";5.514777164;1.84816570248076;2.615;4.18974997762218;5.285;6.57724998574705;9.73602499874829
"dRR_Oir[4,16]";7.536837;2.187020118776;4.00294998781763;5.977;7.285;8.804;12.53
"dRR_Oir[4,17]";12.4448125;2.98895221893076;7.555;10.33;12.11;14.21;19.17
"dRR_Oir[4,18]";10.40002564;2.65443292492119;6.02297499797629;8.51374998898797;10.12;11.96;16.3602499255343
"dRR_Oir[4,19]";7.0596522;2.11025927025068;3.645;5.565;6.815;8.294;11.89
