"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"n_tot[12]","129.05525","36.9905907634986","75","103","123","148","220","1.00099671969579","40000"
"n_tot[13]","67.09375","15.3049507341718","46","56","64","75","105","1.00101886778407","33000"
"n_tot[14]","48.307075","11.1351079792752","36","41","46","53","78","1.00104777024468","20000"
"n_tot[15]","244.927925","26.9189895054453","208","226","240","259","312","1.00104706689453","20000"
"n_tot[16]","92.012125","27.5350046739861","53","72","87","106","158","1.00104420287047","21000"
"n_tot[17]","84.2699","51.8512142355456","23","47","72","108","217","1.00097384568061","40000"
"n_tot[18]","119.87735","54.1338689627088","43","81","110","148","253","1.00101877735304","33000"
"n_tot[19]","143.605025","20.4929760845294","112","129","141","155","192","1.0010159449495","35000"
"n_tot[20]","54.129425","17.7391950534798","30","42","51","63","98","1.00097368313537","40000"
"n_tot[21]","100.516575","16.7479174104667","76","89","98","109","141","1.00098245598551","40000"
"n_tot[22]","313.3297","25.0180783737708","271","296","311","328","369.024967030354","1.00103970766284","23000"
"n_tot[23]","232.466525","27.6339559294789","189","213","229","248","297","1.00098007355889","40000"
"n_tot[24]","101.050275","25.5920548463025","66","83","96","113","165","1.00097783724651","40000"
"n_tot[25]","149.113525","28.4868886445149","108","129","144","164","218","1.00097489494309","40000"
"n_tot[26]","135.963875","14.4588051515516","114","125","134","144","170","1.00097498519042","40000"
"n_tot[27]","185.289025","19.9753939875663","155","171","182","196","232","1.00097467118055","40000"
"n_tot[28]","172.644575","13.6978534394662","153","163","170","180","205","1.00098129837907","40000"
"n_tot[29]","170.982375","23.356199437423","138","154","167","183","228","1.00099938690017","40000"
"n_tot[30]","215.88335","30.8198643634018","170","194","211","233","288","1.00100090450223","40000"
"n_tot[31]","133.008425","17.4608168772977","107","120","131","143","174","1.00101277733684","38000"
"n_tot[32]","205.87515","26.2685575052254","167","187","202","220","268","1.00097360218928","40000"
"n_tot[33]","267.63605","41.0761320186436","204","238","262","291","363","1.00098233887185","40000"
"n_tot[34]","385.923625","28.0480348539047","346","366","381","400","454","1.00106327018107","17000"
"n_tot[35]","218.25015","34.1323453692024","165","194","214","238","298","1.00098152682409","40000"
"n_tot[36]","174.044425","25.023594984075","136","156","170","188","233","1.00097348014386","40000"
"n_tot[37]","302.70005","41.7795161316728","242","273","296","325","403","1.00129976118235","4600"
"n_1SW[1]","64.0776","13.1054195675129","48","55","61","70","98","1.00097376775602","40000"
"n_1SW[2]","101.5098","10.1791573492656","87","94","100","107","126","1.00097548515806","40000"
"n_1SW[3]","176.47155","24.8211027711516","141","159","172","189.249505493669","236","1.00101221955905","39000"
"n_1SW[4]","135.933975","20.8354078087","109","121","132","146","188","1.00097938756604","40000"
"n_1SW[5]","103.117625","32.0465468325134","63","80","96","118","184","1.00104241415049","22000"
"n_1SW[6]","182.6467","44.3913515666323","128","151","173","203","294","1.00103111643474","26000"
"n_1SW[7]","74.057325","17.6967233745355","54","62","70","81","119","1.00097454747848","40000"
