"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"pi_Eu00[1]";0.30647395634;0.225392416259748;0.0491394999007671;0.1342;0.2361;0.4223;0.8848
"pi_Eu00[2]";0.5829421248;0.238097490351426;0.1481;0.3922;0.586549997868894;0.782;0.9774
"pi_Eu01[1]";0.337271412;0.226447855381892;0.06421;0.161974994210878;0.272749995417049;0.4584;0.9038
"pi_Eu01[2]";0.39782972187;0.26596431583686;0.0345889994358237;0.1739;0.3446;0.5942;0.9499
"logit_int_Eu[1]";0.780555079434;0.239992584844324;0.332;0.6207;0.7717;0.9306;1.28
"logit_int_Eu[2]";0.04772609412812;0.236957557779558;-0.3862;-0.1036;0.064675;0.177225;0.560505
"logit_flow_Eu[1]";-0.778370497696;0.377420658783657;-1.546;-1.018;-0.772;-0.5316;-0.0471797499999994
"logit_flow_Eu[2]";-0.802699438122;0.285627867483029;-1.369;-1.013;-0.7883;-0.5784;-0.3163
"lflow_fall_Eu[1]";0.55177744008532;0.376694988576855;-0.1841;0.3028;0.5457;0.7967;1.306
"lflow_fall_Eu[2]";0.3946781407034;0.250352576198568;-0.087816;0.256675;0.3631;0.5479;0.9122
"sigmapi_Eu[1]";0.906402898;0.244400082317102;0.504;0.7373;0.882449998583489;1.045;1.465
"sigmapi_Eu[2]";0.32171719572;0.2586688848308;0.00714294999317387;0.1077;0.2752;0.480024998047112;0.9221
"epsilon_Eu[1,1]";-0.2406018558188;0.726615051914309;-1.578025;-0.734225;-0.2759;0.2275;1.271
"epsilon_Eu[1,2]";-0.00694171057852;0.923704420776627;-1.778;-0.63505;-0.01796;0.604825;1.864025
"epsilon_Eu[2,1]";1.046301130006;0.601012433751186;-0.07719525;0.6334;1.026;1.437;2.292
"epsilon_Eu[2,2]";0.488336447258;0.96304313086436;-1.382;-0.1683;0.4868;1.146;2.365025
"epsilon_Eu[3,1]";0.0723243471244;0.530327050832059;-0.9072075;-0.2869;0.047575;0.4053;1.193
"epsilon_Eu[3,2]";0.1375071771124;0.905200344474008;-1.682;-0.446525;0.13645;0.733525;1.909
"epsilon_Eu[4,1]";-0.00532934401839999;0.702406651491398;-1.358025;-0.4757;-0.013095;0.4546;1.408
"epsilon_Eu[4,2]";0.02229399502324;0.958530599577188;-1.917;-0.6028;0.02088;0.653425;1.913
"epsilon_Eu[5,1]";0.139354326027;0.715060853917401;-1.19;-0.354025;0.1161;0.6043;1.622
"epsilon_Eu[5,2]";0.2053943454683;0.956898829739236;-1.736;-0.4235;0.22655;0.8475;2.039
"epsilon_Eu[6,1]";0.661856499297;0.764486458732437;-0.7743025;0.149;0.62635;1.143;2.282
"epsilon_Eu[6,2]";0.2098761915674;0.934111788642053;-1.652025;-0.4184;0.2255;0.8416;1.994025
"epsilon_Eu[7,1]";-0.0897366313756;0.788447480491541;-1.573025;-0.62905;-0.1047;0.4142;1.544
"epsilon_Eu[7,2]";0.201457582017156;0.944418966909698;-1.63;-0.437825;0.1916;0.838425;2.072
"epsilon_Eu[8,1]";0.24145897658628;0.645176523989816;-0.959215;-0.2002;0.2154;0.657625;1.581025
"epsilon_Eu[8,2]";0.2026020513238;0.962319856316747;-1.704;-0.433225;0.21565;0.8428;2.086025
"epsilon_Eu[9,1]";0.7822648750188;0.824848004544293;-0.818805;0.2256;0.77425;1.332;2.426025
"epsilon_Eu[9,2]";0.1868244862096;0.96824339946619;-1.679;-0.473625;0.1793;0.8374;2.095025
"epsilon_Eu[10,1]";-0.27298468739486;0.983111760601933;-2.052025;-0.973625;-0.3238;0.3824;1.76
"epsilon_Eu[10,2]";-0.1481227648642;0.969083768245527;-2.017;-0.803225;-0.15755;0.494725;1.804
