"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pi_Eu00[1]","0.2869279715","0.222811677547279","0.0431072465734878","0.1208","0.212249994110718","0.392024997608774","0.878604999445223","1.00099327113087","20000"
"pi_Eu00[2]","0.588240861","0.239002165735292","0.147197499171674","0.399","0.592349997889761","0.7892","0.9787","1.00094862814257","20000"
"pi_Eu01[1]","0.300510398","0.216344709908463","0.0540894999098505","0.1371","0.2343","0.408124997703097","0.869707498739075","1.00108163531101","11000"
"pi_Eu01[2]","0.3961253433","0.267613684499117","0.033069749963139","0.1694","0.3407","0.5941","0.948802499871557","1.00096142120981","20000"
"logit_int_Eu[1]","0.74718048945","0.225874241425741","0.3155","0.5972","0.7407","0.8918","1.21","1.00098791690518","20000"
"logit_int_Eu[2]","0.18179351015945","0.284198516560428","-0.3438","-0.0109825","0.16925","0.360825","0.776229999999997","1.00100880493718","20000"
"logit_flow_Eu[1]","-0.627185458957","0.338977561814271","-1.299","-0.84635","-0.625","-0.40365","0.0295422499999998","1.00167594077824","2100"
"logit_flow_Eu[2]","-0.7512826747845","0.31543440409537","-1.383025","-0.955","-0.74795","-0.5453","-0.133185000000001","1.0011136859367","9100"
"lflow_fall_Eu[1]","0.4782295423045","0.346459497588162","-0.1986175","0.25005","0.478","0.704525","1.169","1.00139071792078","3400"
"lflow_fall_Eu[2]","0.3692795610675","0.307971587701661","-0.2372125","0.1679","0.3681","0.56945","0.9877025","1.00104615964246","15000"
"sigmapi_Eu[1]","0.9389891","0.215808302732695","0.564387494598418","0.788874998811549","0.921","1.067","1.413","1.00111267079042","9100"
"sigmapi_Eu[2]","0.638417003","0.259610381329662","0.207792494716465","0.4539","0.6111","0.792","1.225","1.00094846582125","20000"
"epsilon_Eu[1,1]","-0.19602115623","0.689629116492232","-1.501","-0.6674","-0.21705","0.248825","1.220025","1.00095111289886","20000"
"epsilon_Eu[1,2]","-0.001248563308","0.856774955154669","-1.642","-0.578225","-0.027495","0.563325","1.736025","1.00101105699999","20000"
"epsilon_Eu[2,1]","1.000802612265","0.571841393872053","-0.05834025","0.606575","0.9752","1.374","2.18307499999999","1.00097083409624","20000"
"epsilon_Eu[2,2]","0.741487656166","0.848191998864174","-0.92391","0.180075","0.7337","1.312","2.433","1.0009514535223","20000"
"epsilon_Eu[3,1]","0.1082624704325","0.525882829426257","-0.8776425","-0.24415","0.091755","0.447925","1.17","1.00097494476165","20000"
"epsilon_Eu[3,2]","0.1157262891225","0.817905874730189","-1.447","-0.43265","0.1015","0.6486","1.756025","1.00095108582883","20000"
"epsilon_Eu[4,1]","-0.031650386446","0.686416536255882","-1.363","-0.494325","-0.03164","0.427375","1.326","1.00105731992513","14000"
"epsilon_Eu[4,2]","0.0796974672525","0.863243230309406","-1.584","-0.500425","0.073735","0.649525","1.791","1.00103671188203","17000"
"epsilon_Eu[5,1]","0.0391985079585","0.718238025198717","-1.297","-0.44595","0.008616","0.500225","1.556","1.00098280888762","20000"
"epsilon_Eu[5,2]","0.299658982753","0.863399154561221","-1.353025","-0.28715","0.2774","0.874425","2.032","1.00103570292508","17000"
"epsilon_Eu[6,1]","0.623323145155","0.767223515410586","-0.791105","0.0916725","0.59335","1.11725","2.224025","1.00141187136119","3200"
"epsilon_Eu[6,2]","0.3281599872065","0.868395071888348","-1.325025","-0.25845","0.3094","0.8872","2.084025","1.00095953395045","20000"
