"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pi_Eu00[1]","0.513","0.249","0.108","0.306","0.496","0.711","0.967","1.001","20000"
"pi_Eu00[2]","0.632","0.228","0.187","0.458","0.649","0.824","0.982","1.001","20000"
"pi_Eu01[1]","0.269","0.199","0.052","0.126","0.207","0.352","0.826","1.001","20000"
"pi_Eu01[2]","0.469","0.268","0.052","0.238","0.444","0.687","0.964","1.001","7800"
"logit_int_Eu[1]","1.112","0.221","0.706","0.963","1.105","1.253","1.581","1.001","15000"
"logit_int_Eu[2]","0.913","0.299","0.392","0.709","0.89","1.094","1.575","1.001","16000"
"logit_flow_Eu[1]","-0.603","0.323","-1.243","-0.812","-0.602","-0.393","0.041","1.001","5300"
"logit_flow_Eu[2]","-0.645","0.364","-1.357","-0.883","-0.647","-0.405","0.073","1.001","11000"
"lflow_fall_Eu[1]","0.475","0.326","-0.169","0.258","0.474","0.69","1.118","1.001","20000"
"lflow_fall_Eu[2]","0.331","0.351","-0.369","0.103","0.331","0.559","1.026","1.001","7300"
"sigmapi_Eu[1]","0.919","0.218","0.546","0.767","0.899","1.049","1.399","1.001","20000"
"sigmapi_Eu[2]","0.802","0.29","0.301","0.603","0.776","0.975","1.448","1.001","11000"
"epsilon_Eu[1,1]","-0.298","0.716","-1.644","-0.786","-0.322","0.164","1.185","1.001","7400"
"epsilon_Eu[1,2]","0.047","0.82","-1.519","-0.51","0.023","0.572","1.71","1.001","20000"
"epsilon_Eu[2,1]","0.818","0.578","-0.241","0.419","0.797","1.187","2.023","1.001","10000"
"epsilon_Eu[2,2]","0.797","0.83","-0.81","0.236","0.786","1.35","2.441","1.001","20000"
"epsilon_Eu[3,1]","-0.041","0.542","-1.06","-0.407","-0.056","0.307","1.085","1.001","19000"
"epsilon_Eu[3,2]","0.148","0.79","-1.332","-0.397","0.119","0.661","1.749","1.001","20000"
"epsilon_Eu[4,1]","-0.144","0.701","-1.484","-0.615","-0.157","0.319","1.258","1.001","20000"
"epsilon_Eu[4,2]","0.053","0.849","-1.575","-0.521","0.04","0.609","1.744","1.001","9900"
"epsilon_Eu[5,1]","0.044","0.745","-1.363","-0.466","0.018","0.531","1.568","1.001","7700"
"epsilon_Eu[5,2]","0.323","0.865","-1.333","-0.262","0.309","0.891","2.061","1.001","20000"
