"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu_B","0.29","0.026","0.238","0.272","0.29","0.307","0.341","1.001","18000"
"sigmap_B","0.608","0.105","0.438","0.533","0.596","0.668","0.848","1.001","9100"
"logit_int_Eu","-2.605","0.086","-2.779","-2.662","-2.604","-2.548","-2.438","1.001","20000"
"logit_flow_Eu","-0.083","0.089","-0.261","-0.141","-0.083","-0.025","0.094","1.001","20000"
"sigmap_Eu","0.405","0.075","0.282","0.352","0.396","0.449","0.575","1.001","3300"
"p_B[1]","0.322","0.109","0.146","0.243","0.309","0.386","0.569","1.003","980"
"p_B[2]","0.317","0.11","0.14","0.236","0.304","0.383","0.569","1.005","630"
"p_B[3]","0.285","0.105","0.122","0.209","0.269","0.346","0.527","1.003","900"
"p_B[4]","0.344","0.113","0.166","0.26","0.33","0.411","0.604","1.003","810"
"p_B[5]","0.373","0.036","0.304","0.348","0.372","0.396","0.445","1.001","20000"
"p_B[6]","0.248","0.105","0.092","0.17","0.233","0.308","0.497","1.001","3000"
"p_B[7]","0.248","0.105","0.094","0.17","0.231","0.307","0.499","1.003","940"
"p_B[8]","0.323","0.032","0.261","0.3","0.322","0.344","0.388","1.001","20000"
"p_B[9]","0.38","0.033","0.317","0.358","0.38","0.402","0.446","1.001","20000"
"p_B[10]","0.258","0.116","0.077","0.172","0.242","0.328","0.524","1.001","18000"
"p_B[11]","0.253","0.116","0.074","0.167","0.239","0.322","0.517","1.001","20000"
"p_B[12]","0.411","0.02","0.372","0.398","0.411","0.425","0.452","1.001","7100"
"p_B[13]","0.468","0.038","0.396","0.443","0.468","0.493","0.543","1.001","14000"
"p_B[14]","0.254","0.115","0.08","0.169","0.237","0.323","0.516","1.001","20000"
"p_B[15]","0.16","0.028","0.11","0.141","0.159","0.178","0.22","1.001","9300"
"p_B[16]","0.259","0.116","0.079","0.174","0.243","0.327","0.523","1.001","8900"
"p_B[17]","0.26","0.026","0.212","0.243","0.26","0.278","0.312","1.001","7800"
"p_B[18]","0.563","0.022","0.52","0.548","0.563","0.578","0.605","1.001","20000"
"p_B[19]","0.398","0.024","0.352","0.382","0.398","0.414","0.446","1.001","20000"
"p_B[20]","0.385","0.034","0.321","0.362","0.384","0.408","0.452","1.001","18000"
"p_B[21]","0.399","0.027","0.348","0.381","0.399","0.417","0.452","1.001","9600"
"p_B[22]","0.323","0.018","0.286","0.31","0.323","0.335","0.36","1.001","11000"
"p_B[23]","0.276","0.039","0.204","0.248","0.274","0.301","0.355","1.001","20000"
"p_B[24]","0.376","0.041","0.297","0.348","0.376","0.404","0.459","1.001","20000"
"p_B[25]","0.284","0.017","0.251","0.272","0.284","0.295","0.318","1.001","20000"
"p_B[26]","0.302","0.018","0.267","0.289","0.301","0.314","0.338","1.001","8600"
"p_B[27]","0.27","0.038","0.199","0.243","0.268","0.295","0.348","1.001","16000"
"p_B[28]","0.158","0.025","0.111","0.14","0.157","0.174","0.211","1.001","14000"
"p_B[29]","0.259","0.021","0.22","0.246","0.259","0.273","0.301","1.001","20000"
"p_B[30]","0.446","0.02","0.407","0.433","0.446","0.46","0.487","1.001","20000"
"p_B[31]","0.279","0.032","0.22","0.257","0.278","0.3","0.343","1.001","20000"
"p_B[32]","0.124","0.02","0.088","0.11","0.123","0.136","0.166","1.001","2800"
"p_B[33]","0.247","0.024","0.201","0.23","0.246","0.263","0.296","1.001","20000"
"p_B[34]","0.255","0.117","0.073","0.169","0.239","0.325","0.522","1.001","20000"
"p_B[35]","0.225","0.047","0.139","0.191","0.223","0.255","0.325","1.002","2100"
"p_B[36]","0.142","0.026","0.095","0.124","0.141","0.159","0.198","1.001","4400"
"p_B95","0.192","0.192","0.022","0.063","0.121","0.243","0.777","1.001","6100"
"p_B96","0.103","0.077","0.028","0.056","0.082","0.124","0.309","1.001","20000"
"p_B99","0.253","0.161","0.068","0.14","0.21","0.319","0.698","1.001","14000"
"p_B02","0.222","0.205","0.029","0.078","0.147","0.291","0.818","1.001","7500"
"p_B20","0.085","0.132","0.006","0.019","0.038","0.085","0.523","1.001","20000"
"p_Btot[1]","0.322","0.109","0.146","0.243","0.309","0.386","0.569","1.003","980"
"p_Btot[2]","0.317","0.11","0.14","0.236","0.304","0.383","0.569","1.005","630"
"p_Btot[3]","0.285","0.105","0.122","0.209","0.269","0.346","0.527","1.003","900"
"p_Btot[4]","0.344","0.113","0.166","0.26","0.33","0.411","0.604","1.003","810"
"p_Btot[5]","0.373","0.036","0.304","0.348","0.372","0.396","0.445","1.001","20000"
"p_Btot[6]","0.248","0.105","0.092","0.17","0.233","0.308","0.497","1.001","3000"
"p_Btot[7]","0.248","0.105","0.094","0.17","0.231","0.307","0.499","1.003","940"
"p_Btot[8]","0.323","0.032","0.261","0.3","0.322","0.344","0.388","1.001","20000"
"p_Btot[9]","0.38","0.033","0.317","0.358","0.38","0.402","0.446","1.001","20000"
"p_Btot[10]","0.043","0.047","0.007","0.015","0.027","0.051","0.181","1.001","3000"
"p_Btot[11]","0.02","0.007","0.01","0.015","0.019","0.024","0.037","1.001","20000"
"p_Btot[12]","0.411","0.02","0.372","0.398","0.411","0.425","0.452","1.001","7100"
"p_Btot[13]","0.468","0.038","0.396","0.443","0.468","0.493","0.543","1.001","14000"
"p_Btot[14]","0.052","0.019","0.023","0.038","0.049","0.062","0.097","1.001","20000"
"p_Btot[15]","0.16","0.028","0.11","0.141","0.159","0.178","0.22","1.001","9300"
"p_Btot[16]","0.05","0.05","0.008","0.019","0.033","0.061","0.198","1.001","20000"
"p_Btot[17]","0.26","0.026","0.212","0.243","0.26","0.278","0.312","1.001","7800"
"p_Btot[18]","0.563","0.022","0.52","0.548","0.563","0.578","0.605","1.001","20000"
"p_Btot[19]","0.398","0.024","0.352","0.382","0.398","0.414","0.446","1.001","20000"
"p_Btot[20]","0.385","0.034","0.321","0.362","0.384","0.408","0.452","1.001","18000"
"p_Btot[21]","0.399","0.027","0.348","0.381","0.399","0.417","0.452","1.001","9600"
"p_Btot[22]","0.323","0.018","0.286","0.31","0.323","0.335","0.36","1.001","11000"
