"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"epsilon_B[10]","-0.176","0.856","-1.635","-0.747","-0.206","0.317","1.367","1.036","28"
"epsilon_B[11]","0.158","0.817","-1.641","-0.107","0.217","0.455","1.493","1.692","5"
"epsilon_B[12]","0.599","0.273","-0.017","0.492","0.589","0.812","0.99","1.913","4"
"epsilon_B[13]","0.532","0.658","-0.379","0.048","0.352","1.135","1.625","4.76","2"
"epsilon_B[14]","-0.128","1.072","-1.641","-0.86","-0.436","0.33","1.964","1.134","13"
"epsilon_B[15]","-0.686","0.671","-1.869","-1.189","-0.732","-0.114","0.214","3.724","2"
"epsilon_B[16]","0.291","0.868","-1.565","-0.043","0.376","0.749","1.795","2.297","3"
"epsilon_B[17]","-0.891","0.569","-1.661","-1.367","-0.998","-0.379","-0.045","6.12","2"
"epsilon_B[18]","1.228","0.615","0.286","0.753","1.162","1.717","2.205","3.531","2"
"epsilon_B[19]","0.492","0.336","-0.118","0.355","0.495","0.687","1.131","2.542","3"
"epsilon_B[20]","-0.077","0.66","-1.019","-0.598","-0.13","0.441","0.945","5.68","2"
"epsilon_B[21]","0.684","0.278","0.062","0.559","0.698","0.83","1.115","1.582","6"
"epsilon_B[22]","0.037","0.239","-0.427","-0.122","0.037","0.211","0.402","1.657","5"
"epsilon_B[23]","-0.196","0.288","-0.665","-0.376","-0.228","-0.083","0.373","1.003","28"
"epsilon_B[24]","0.436","0.244","-0.126","0.308","0.43","0.689","0.766","0.98","28"
"epsilon_B[25]","-0.092","0.279","-0.688","-0.233","-0.053","0.095","0.331","1.391","7"
"epsilon_B[26]","-0.775","0.735","-1.729","-1.436","-0.946","0.003","0.198","6.743","2"
"epsilon_B[27]","-0.042","0.432","-0.724","-0.359","-0.079","0.257","0.723","2.919","3"
"epsilon_B[28]","-0.892","0.455","-1.743","-1.248","-0.811","-0.507","-0.266","3.349","3"
"epsilon_B[29]","-0.942","0.753","-1.924","-1.62","-0.919","-0.242","0.052","10.064","2"
"epsilon_B[30]","0.361","0.675","-0.659","-0.229","0.311","0.961","1.301","6.708","2"
"epsilon_B[31]","-0.161","0.293","-0.627","-0.412","-0.129","0.077","0.265","1.058","22"
"epsilon_B[32]","-1.241","0.913","-2.46","-2.098","-1.306","-0.36","0.098","6.682","2"
"epsilon_B[33]","-0.081","0.292","-0.553","-0.282","-0.055","0.137","0.373","2.323","3"
"epsilon_B[34]","-1.196","1.06","-2.505","-2.165","-1.539","-0.409","0.785","2.789","3"
"epsilon_B[35]","-0.383","0.652","-1.199","-0.885","-0.547","0.031","0.819","2.143","3"
"epsilon_B[36]","-0.891","0.629","-1.862","-1.457","-0.964","-0.249","-0.106","5.606","2"
"epsilon_B[37]","-1.124","0.263","-1.662","-1.305","-1.058","-0.984","-0.769","1.162","15"
"p_Eu[1]","0.043","0.035","0.005","0.008","0.033","0.075","0.095","8.243","2"
"p_Eu[2]","0.115","0.019","0.091","0.104","0.112","0.121","0.155","1.149","20"
"p_Eu[3]","0.095","0.021","0.073","0.079","0.089","0.108","0.137","3.208","3"
"p_Eu[4]","0.099","0.036","0.055","0.074","0.088","0.124","0.177","1.491","6"
"p_Eu[5]","0.103","0.019","0.083","0.088","0.098","0.111","0.148","3.309","3"
"p_Eu[6]","0.088","0.017","0.069","0.075","0.081","0.104","0.118","3.377","3"
"p_Eu[7]","0.078","0.028","0.035","0.055","0.078","0.091","0.131","1.04","28"
"p_Eu[8]","0.123","0.057","0.065","0.085","0.105","0.159","0.26","2.551","3"
"p_Eu[9]","0.051","0.036","0.014","0.015","0.042","0.082","0.109","14.12","2"
"p_Eu[10]","0.074","0.008","0.065","0.068","0.07","0.079","0.09","2.065","4"
"p_Eu[11]","0.087","0.011","0.071","0.077","0.087","0.096","0.11","3.505","2"
"p_Eu[12]","0.046","0.019","0.018","0.031","0.045","0.064","0.075","5.611","2"
"p_Eu[13]","0.073","0.016","0.053","0.062","0.072","0.081","0.107","3.228","3"
"p_Eu[14]","0.096","0.007","0.086","0.091","0.096","0.099","0.11","0.995","28"
"p_Eu[15]","0.098","0.019","0.065","0.087","0.096","0.112","0.134","1.115","28"
"p_Eu[16]","0.048","0.012","0.032","0.041","0.047","0.053","0.075","3.117","3"
"p_Eu[17]","0.122","0.026","0.096","0.103","0.112","0.13","0.185","2.822","3"
"p_Eu[18]","0.054","0.04","0.011","0.014","0.039","0.094","0.101","16.309","2"
"p_Eu[19]","0.072","0.027","0.044","0.05","0.063","0.083","0.126","3.707","2"
"p_Eu[20]","0.065","0.014","0.048","0.055","0.061","0.074","0.091","1.261","10"
"p_Eu[21]","0.033","0.028","0.005","0.006","0.02","0.058","0.073","13.704","2"
"p_Eu[22]","0.061","0.015","0.037","0.048","0.062","0.075","0.082","4.71","2"
"p_Eu[23]","0.125","0.016","0.1","0.11","0.124","0.134","0.154","1.078","22"
"p_Eu[24]","0.076","0.045","0.038","0.047","0.068","0.078","0.19","2.908","3"
"p_Eu[25]","0.06","0.016","0.038","0.049","0.058","0.072","0.09","3.321","3"
"p_Eu[26]","0.076","0.06","0.025","0.048","0.057","0.078","0.27","1.177","28"
"p_Eu[27]","0.056","0.055","0.018","0.026","0.034","0.047","0.202","1.673","5"
"p_Eu[28]","0.067","0.019","0.042","0.048","0.069","0.082","0.094","2.458","3"
"p_Eu[29]","0.061","0.022","0.031","0.041","0.058","0.078","0.097","5.474","2"
"epsilon_Eu[1]","-0.902","1.19","-2.531","-1.947","-1.012","0.289","0.781","6.949","2"
"epsilon_Eu[2]","0.921","0.46","0.293","0.589","0.855","1.078","1.949","1.838","4"
"epsilon_Eu[3]","0.863","0.499","0.148","0.447","0.827","1.191","1.713","1.05","28"
"epsilon_Eu[4]","0.363","0.794","-0.568","-0.3","0.25","0.865","1.979","1.581","5"
"epsilon_Eu[5]","0.262","0.602","-0.796","-0.168","0.209","0.574","1.325","1.199","11"
"epsilon_Eu[6]","0.329","0.422","-0.446","0.098","0.345","0.672","0.928","2.427","3"
"epsilon_Eu[7]","0.343","0.616","-0.709","-0.084","0.402","0.821","1.244","0.987","28"
"epsilon_Eu[8]","1.019","0.538","0.207","0.761","0.986","1.278","2.276","1.382","8"
"epsilon_Eu[9]","-0.377","1.074","-2.017","-1.302","-0.322","0.552","1.068","7.651","2"
"epsilon_Eu[10]","-0.157","0.479","-1.088","-0.436","-0.118","0.099","0.777","1.863","4"
"epsilon_Eu[11]","0.113","0.529","-0.804","-0.057","0.08","0.473","1.046","1.424","7"
"epsilon_Eu[12]","-0.85","0.395","-1.48","-1.093","-0.83","-0.603","-0.079","1.372","7"
"epsilon_Eu[13]","-0.197","0.565","-1.184","-0.525","0","0.188","0.683","3.338","3"
"epsilon_Eu[14]","0.969","0.487","0.319","0.536","0.903","1.302","1.833","1.898","4"
"epsilon_Eu[15]","0.713","0.445","-0.027","0.453","0.752","0.976","1.511","1.408","6"
"epsilon_Eu[16]","-0.865","0.852","-2.193","-1.629","-0.679","-0.136","0.336","6.374","2"
