"smolt year","smolt","adults","survival rate (%)"
1982,3384,NA,NA
1983,3160,101,3.2
1984,2766,140,5.06
1985,4465,215,4.82
1986,1980,173,8.74
1987,1893,146,7.71
1988,NA,229,NA
1989,NA,100,NA
1990,NA,204,NA
1991,NA,164,NA
1992,1906,67,3.52
1993,1740,51,2.93
1994,2445,135,5.52
1995,1758,49,2.79
1996,1644,45,2.74
1997,6264,281,4.49
1998,1653,40,2.42
1999,654,71,10.86
2000,1761,124,7.04
2001,NA,134,NA
2002,1864,41,2.2
2003,2982,131,4.39
2004,7549,378,5.01
2005,5192,129,2.48
2006,2696,83,3.08
2007,5429,188,3.46
2008,6633,133,2.01
2009,1153,173,15
2010,2846,175,6.15
2011,6441,209,3.24
2012,6414,201,3.13
2013,1856,185,9.97
2014,2677,153,5.72
2015,7499,239,3.19
2016,7757,NA,NA
2017,1511,NA,NA
