"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,222,28,0.47,3.92
1985,200,59,0.66,5.49
1986,66,48,0.37,3.06
1987,161,13,0.16,1.32
1988,126,73,0.62,5.18
1989,177,26,0.38,3.2
1990,77,16,0.21,1.77
1991,46,5,0.09,0.74
1992,38,9,0.14,1.2
1993,102,11,0.15,1.27
1994,41,13,0.23,1.92
1995,134,3,0.29,2.42
1996,247,7,0.53,4.41
1997,39,6,0.12,0.97
1998,155,15,0.35,2.9
1999,200,31,0.48,3.96
2000,230,32,0.72,5.97
2001,175,15,0.34,2.85
2002,283,37,0.73,6.09
2003,180,32,0.56,4.63
2004,323,75,1.2,10.02
2005,138,24,0.32,2.68
2006,175,38,0.63,5.27
2007,182,28,0.48,4.03
2008,94,21,0.38,3.2
2009,137,26,0.36,3.01
2010,474,23,1.05,8.74
2011,203,72,0.92,7.65
2012,201,53,0.46,3.8
2013,256,64,0.7,5.83
2014,225,56,0.78,6.54
2015,120,46,0.55,4.57
2016,271,30,0.63,5.23
2017,213,44,0.57,4.77
