"Year","1SW (%)","MSW (%)"
1994,8.1,25.6
1995,9.5,12.2
1996,12.6,12.6
1997,7.8,11.6
1998,12.5,18.5
1999,9.7,7.5
2000,13.1,24.4
2001,9.8,15.8
2002,4.3,4.5
2003,0,12.1
2004,7.7,15.6
2005,6,20
2006,7.9,28.8
2007,10.4,12.9
2008,4.2,16.1
2009,1.9,11.1
2010,7.6,4.6
2011,7.3,5.6
2012,9,17.9
2013,4.8,6.8
2014,8.2,8.9
2015,8.7,17.1
2016,5.3,11.5
2017,3.8,9.1
