"smolt year","smolt","adults","survival rate (%)"
1982,2822,NA,NA
1983,3673,100,2.72
1984,3950.5,138,3.49
1985,3950.5,215,5.44
1986,1993,169,8.48
1987,1931,141,7.3
1988,NA,226,NA
1989,NA,100,NA
1990,NA,205,NA
1991,NA,164,NA
1992,1975,67,3.39
1993,1745,50,2.87
1994,2439,136,5.58
1995,1534,49,3.19
1996,1668,45,2.7
1997,6266,278,4.44
1998,1645,40,2.43
1999,672,72,10.71
2000,1778,123,6.92
2001,NA,133,NA
2002,1778,40,2.25
2003,2985,133,4.46
2004,7555,379,5.02
2005,5187,129,2.49
2006,2688,83,3.09
2007,5417,187,3.45
2008,6640,132,1.99
2009,1158,174,15.03
2010,2878,174,6.05
2011,6437,209,3.25
2012,6422,199,3.1
2013,1885,182,9.66
2014,2705,151,5.58
2015,7484,237,3.17
2016,7765,513,6.61
2017,1516,NA,NA
2018,4537,NA,NA
