"smolt year","smolt","adults","survival rate (%)"
1984,NA,248,NA
1985,NA,79,NA
1986,744,234,31.45
1987,355,152,42.82
1988,413,193,46.73
1989,823,82,9.96
1990,809,55,6.8
1991,199,49,24.62
1992,674,115,17.06
1993,227,44,19.38
1994,566,141,24.91
1995,743,253,34.05
1996,999,54,5.41
1997,472,186,39.41
1998,1073,232,21.62
1999,261,245,93.87
2000,2163,212,9.8
2001,1353,315,23.28
2002,2366,255,10.78
2003,1232,347,28.17
2004,1233,176,14.27
2005,846,203,24
2006,1355,203,14.98
2007,954,120,12.58
2008,2152,160,7.43
2009,3385,546,16.13
2010,1407,256,18.19
2011,1804,265,14.69
2012,1362,312,22.91
2013,1285,271,21.09
2014,1567,150,9.57
2015,2296,315,13.72
2016,1943,NA,NA
2017,1655,NA,NA
