"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,63,45,0.42,1.17
1985,100,37,0.46,1.29
1986,172,38,0.64,1.78
1987,134,43,0.58,1.61
1988,94,35,0.44,1.23
1989,172,47,0.7,1.94
1990,70,54,0.49,1.37
1991,160,30,0.56,1.56
1992,137,45,0.59,1.65
1993,48,27,0.28,0.78
1994,43,19,0.22,0.61
1995,110,7,0.31,0.86
1996,35,26,0.24,0.68
1997,31,14,0.16,0.45
1998,228,14,0.63,1.74
1999,27,50,0.37,1.03
2000,55,13,0.22,0.61
2001,88,17,0.33,0.93
2002,109,35,0.47,1.31
2003,25,24,0.21,0.57
2004,83,15,0.29,0.8
2005,261,50,0.92,2.54
2006,107,118,0.96,2.66
2007,71,22,0.3,0.85
2008,131,12,0.39,1.07
2009,85,56,0.54,1.49
2010,137,47,0.61,1.69
2011,135,37,0.54,1.51
2012,131,39,0.55,1.52
2013,136,78,0.8,2.21
2014,118,63,0.66,1.84
2015,119,64,0.66,1.85
2016,176,32,0.61,1.7
2017,444,61,1.43,3.96
2018,97,69,0.65,1.79
