"smolt year","smolt","adults","survival rate (%)"
1984,NA,249,NA
1985,NA,79,NA
1986,744,238,31.99
1987,356,151,42.42
1988,413,197,47.7
1989,823,85,10.33
1990,805,54,6.71
1991,199,46,23.12
1992,673,115,17.09
1993,227,47,20.7
1994,575,148,25.74
1995,742,266,35.85
1996,998,54,5.41
1997,479,181,37.79
1998,1079,230,21.32
1999,261,242,92.72
2000,2162,211,9.76
2001,1368,314,22.95
2002,2364,255,10.79
2003,1232,349,28.33
2004,1230,175,14.23
2005,845,202,23.91
2006,1358,203,14.95
2007,954,119,12.47
2008,2161,164,7.59
2009,3393,542,15.97
2010,1414,255,18.03
2011,1803,265,14.7
2012,1361,315,23.14
2013,1295,267,20.62
2014,1576,153,9.71
2015,2310,317,13.72
2016,2004,255,12.72
2017,1657,220,13.28
2018,2219,NA,NA
2019,1236,NA,NA
