"smolt year","smolt","adults","survival rate (%)"
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,483,NA
1994,NA,696,NA
1995,6237,597,9.57
1996,2005,424,21.15
1997,9964,556,5.58
1998,4775,233,4.88
1999,2612,301,11.52
2000,3174,295,9.29
2001,11980,593,4.95
2002,1244,277,22.27
2003,10120,1120,11.07
2004,7830,493,6.3
2005,10760,895,8.32
2006,7144,505,7.07
2007,7550,375,4.97
2008,10530,317,3.01
2009,13680,889,6.5
2010,10550,467,4.43
2011,8835,444,5.03
2012,8161,694,8.5
2013,8282,769,9.29
2014,10250,591,5.77
2015,6615,613,9.27
2016,9769,895,9.16
2017,6240,315,5.05
2018,4891,NA,NA
2019,5100,NA,NA
