"smolt year","smolt","adults","survival rate (%)"
1982,3586,NA,NA
1983,3680,94,2.55
1984,2679,136,5.08
1985,4518,213,4.71
1986,2000,164,8.2
1987,1655,138,8.34
1988,NA,223,NA
1989,NA,99,NA
1990,NA,204,NA
1991,NA,162,NA
1992,1685,66,3.92
1993,1743,52,2.98
1994,2455,141,5.74
1995,1837,50,2.72
1996,2089,46,2.2
1997,6294,283,4.5
1998,1680,42,2.5
1999,773,75,9.7
2000,1623,120,7.39
2001,NA,130,NA
2002,1859,43,2.31
2003,2961,133,4.49
2004,7608,381,5.01
2005,5233,128,2.45
2006,2742,88,3.21
2007,5490,179,3.26
2008,6630,131,1.98
2009,1144,171,14.95
2010,2932,171,5.83
2011,6427,206,3.21
2012,6400,189,2.95
2013,1874,124,6.62
2014,2608,183,7.02
2015,7522,294,3.91
2016,7796,382,4.9
2017,1501,131,8.73
2018,4301,NA,NA
2019,6609,NA,NA
