"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,461,52,0.97,1.61
1995,673,38,1.23,2.05
1996,618,62,1.25,2.08
1997,405,30,0.77,1.28
1998,489,21,0.86,1.44
1999,232,63,0.65,1.08
2000,271,4,0.45,0.75
2001,283,30,0.58,0.96
2002,537,20,0.94,1.56
2003,228,39,0.53,0.85
2004,1020,53,1.84,2.91
2005,417,99,1.1,1.74
2006,813,73,1.6,2.54
2007,430,80,1.03,1.64
2008,271,72,0.75,1.19
2009,254,102,0.86,1.36
2010,697,60,1.37,2.17
2011,350,192,1.41,2.24
2012,343,113,1.05,1.47
2013,570,95,1.32,1.92
2014,626,121,1.53,2.22
2015,526,140,1.45,2.12
2016,500,69,1.1,1.6
2017,782,124,1.78,2.6
