"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,444,54,0.95,1.58
1995,635,39,1.17,1.95
1996,567,61,1.17,1.94
1997,402,30,0.77,1.28
1998,488,22,0.87,1.44
1999,228,68,0.66,1.1
2000,270,5,0.46,0.76
2001,274,31,0.57,0.95
2002,555,21,0.97,1.61
2003,225,38,0.52,0.83
2004,1022,52,1.84,2.92
2005,418,98,1.1,1.74
2006,816,75,1.62,2.57
2007,433,79,1.04,1.64
2008,273,72,0.75,1.19
2009,256,102,0.86,1.36
2010,698,61,1.37,2.17
2011,352,191,1.41,2.23
2012,348,115,1.07,1.49
2013,572,96,1.33,1.94
2014,630,122,1.54,2.24
2015,523,139,1.44,2.1
2016,490,68,1.07,1.56
2017,770,123,1.76,2.56
2018,281,125,1,1.46
2019,210,34,0.49,0.71
