=============================
DIAGNOSTICS
=============================
Number of chains:  2 
Number of iterations:  50000 
2023 - Nivelle - tacon 
[1] "model/model_tacon-Nivelle.R"
[1] "2023"
2023 - Nivelle - adult 
[1] "model/model_adult-Nivelle.R"
RStudioGD 
        2 
                           mean           sd          2.5%          25%         50%          75%         97.5%     Rhat  n.eff
p_11_1[8]          2.793128e-01 5.633148e-02  1.764000e-01  2.39800e-01  2.7700e-01  3.16300e-01  3.964000e-01 1.001300   4800
p_11_2[9]          1.383238e-01 4.850706e-02  6.126000e-02  1.03400e-01  1.3200e-01  1.67100e-01  2.497000e-01 1.001198   7200
p_11_2[10]         1.411678e-01 2.952333e-02  8.872000e-02  1.20200e-01  1.3930e-01  1.60100e-01  2.040000e-01 1.000989 100000
p_11_2[11]         1.579471e-01 3.674091e-02  9.301000e-02  1.31900e-01  1.5550e-01  1.81200e-01  2.366000e-01 1.001016  54000
p_11_2[12]         1.149719e-01 3.500537e-02  5.633000e-02  8.97500e-02  1.1160e-01  1.36500e-01  1.933000e-01 1.001005  91000
p_11_2[13]         7.404345e-02 2.298715e-02  3.669000e-02  5.75500e-02  7.1450e-02  8.76225e-02  1.260000e-01 1.001010  71000
p_11_2[14]         7.132556e-02 2.842942e-02  2.724975e-02  5.07300e-02  6.7430e-02  8.78300e-02  1.370000e-01 1.000995 100000
p_11_2[15]         1.017554e-01 3.182730e-02  4.971000e-02  7.89800e-02  9.8270e-02  1.20800e-01  1.732000e-01 1.000989 100000
p_11_2[16]         1.097224e-01 3.510187e-02  5.229975e-02  8.44575e-02  1.0590e-01  1.30600e-01  1.886000e-01 1.000989 100000
p_11_2[17]         1.005982e-01 3.364566e-02  4.615000e-02  7.63700e-02  9.6770e-02  1.20500e-01  1.770000e-01 1.000993 100000
p_11_2[18]         1.358125e-01 3.613137e-02  7.420975e-02  1.10000e-01  1.3290e-01  1.58300e-01  2.149000e-01 1.001546   2700
p_11_2[19]         1.183536e-01 2.880598e-02  6.785000e-02  9.77700e-02  1.1630e-01  1.36700e-01  1.803000e-01 1.001288   5000
p_11_2[20]         1.629907e-01 4.813865e-02  8.277000e-02  1.28400e-01  1.5830e-01  1.92400e-01  2.702000e-01 1.001013  61000
p_11_2[21]         1.402425e-01 4.602820e-02  6.505000e-02  1.06900e-01  1.3510e-01  1.68100e-01  2.441000e-01 1.001016  55000
p_11_2[22]         1.765424e-01 5.546582e-02  8.421975e-02  1.36600e-01  1.7100e-01  2.10700e-01  2.986000e-01 1.001265   5400
p_11_2[23]         1.601813e-01 5.199362e-02  7.533975e-02  1.22600e-01  1.5450e-01  1.91700e-01  2.772000e-01 1.001087  15000
p_11_2[24]         1.491890e-01 5.137156e-02  6.612000e-02  1.12000e-01  1.4320e-01  1.80200e-01  2.657000e-01 1.001005  90000
p_11_2[25]         1.464733e-01 4.908840e-02  6.676975e-02  1.10900e-01  1.4100e-01  1.75900e-01  2.575000e-01 1.001018  51000
p_11_2[26]         1.221283e-01 4.661413e-02  4.926975e-02  8.84500e-02  1.1590e-01  1.49100e-01  2.307000e-01 1.001015  56000
p_11_2[27]         1.179122e-01 3.808798e-02  5.506000e-02  9.06000e-02  1.1390e-01  1.40900e-01  2.036000e-01 1.001252   5700
p_11_2[28]         1.070043e-01 4.015422e-02  4.340000e-02  7.79400e-02  1.0210e-01  1.30500e-01  2.001000e-01 1.000993 100000
p_11_2[29]         8.237578e-02 3.707985e-02  2.750000e-02  5.55600e-02  7.6550e-02  1.02800e-01  1.718000e-01 1.000989 100000
p_11_2[30]         7.427134e-02 2.881881e-02  2.900000e-02  5.33700e-02  7.0590e-02  9.12300e-02  1.401000e-01 1.001007  82000
p_11_2[31]         6.226046e-02 2.652804e-02  2.180000e-02  4.30400e-02  5.8500e-02  7.73000e-02  1.245000e-01 1.001045  27000
p_11_2[32]         1.114492e-01 4.209984e-02  4.534000e-02  8.09900e-02  1.0610e-01  1.36000e-01  2.082000e-01 1.000998 100000
p_11_2[33]         8.234117e-02 3.696960e-02  2.781000e-02  5.58000e-02  7.6480e-02  1.02400e-01  1.704000e-01 1.001050  24000
p_11_2[34]         9.710565e-02 4.409998e-02  3.347000e-02  6.52800e-02  8.9685e-02  1.20600e-01  2.041000e-01 1.001124  11000
p_11_2[35]         9.894593e-02 4.199116e-02  3.584000e-02  6.86300e-02  9.2500e-02  1.22000e-01  1.984000e-01 1.000989 100000
p_11_2[36]         9.914690e-02 4.147576e-02  3.633000e-02  6.90900e-02  9.3050e-02  1.22500e-01  1.968000e-01 1.001082  16000
p_11_2[37]         7.335093e-02 3.063939e-02  2.717975e-02  5.12500e-02  6.8800e-02  9.04900e-02  1.456000e-01 1.001007  79000
p_11_2[38]         1.017544e-01 4.825750e-02  3.264975e-02  6.71600e-02  9.3510e-02  1.27100e-01  2.179025e-01 1.000990 100000
p_11_2[39]         1.135615e-01 4.671189e-02  4.255975e-02  7.99000e-02  1.0670e-01  1.39800e-01  2.235000e-01 1.001007  83000
p_11_2[40]         1.038664e-01 4.977331e-02  3.349975e-02  6.82100e-02  9.4940e-02  1.29300e-01  2.262000e-01 1.000989 100000
pi_U[1,1]          8.977107e-01 3.592684e-02  8.155000e-01  8.76600e-01  9.0210e-01  9.23600e-01  9.550000e-01 1.000989 100000
pi_U[1,2]          8.403955e-01 6.781872e-02  6.817000e-01  8.01600e-01  8.4970e-01  8.89600e-01  9.446000e-01 1.001141   9800
pi_U[2,1]          9.009366e-01 4.419282e-02  7.958000e-01  8.76875e-01  9.0790e-01  9.32900e-01  9.660000e-01 1.001216   6600
pi_U[2,2]          8.522593e-01 6.092732e-02  7.112975e-01  8.16300e-01  8.6030e-01  8.96700e-01  9.476000e-01 1.001064  20000
pi_U[3,1]          8.759458e-01 3.806843e-02  7.900000e-01  8.53200e-01  8.8010e-01  9.03500e-01  9.378000e-01 1.001062  20000
pi_U[3,2]          8.589377e-01 5.813184e-02  7.267000e-01  8.24000e-01  8.6640e-01  9.01600e-01  9.498000e-01 1.001038  30000
pi_U[4,1]          8.819531e-01 3.573526e-02  8.023000e-01  8.60200e-01  8.8565e-01  9.07700e-01  9.411000e-01 1.001073  18000
pi_U[4,2]          8.409346e-01 6.067257e-02  7.032000e-01  8.04300e-01  8.4800e-01  8.85100e-01  9.382000e-01 1.000989 100000
pi_U[5,1]          8.061492e-01 5.256774e-02  6.913000e-01  7.73300e-01  8.1070e-01  8.44000e-01  8.955000e-01 1.001165   8500
pi_U[5,2]          7.768409e-01 7.520846e-02  6.091975e-01  7.30800e-01  7.8490e-01  8.31600e-01  9.006000e-01 1.001147   9400
pi_U[6,1]          9.137246e-01 3.152173e-02  8.418000e-01  8.95300e-01  9.1770e-01  9.36400e-01  9.634000e-01 1.001022  45000
pi_U[6,2]          8.021273e-01 6.576631e-02  6.560000e-01  7.61500e-01  8.0900e-01  8.49900e-01  9.106000e-01 1.001083  16000
pi_U[7,1]          8.764371e-01 3.397364e-02  8.015000e-01  8.55400e-01  8.7950e-01  9.00700e-01  9.339000e-01 1.000990 100000
pi_U[7,2]          8.568599e-01 5.898701e-02  7.214000e-01  8.22000e-01  8.6450e-01  9.00000e-01  9.491000e-01 1.001034  33000
pi_U[8,1]          9.242215e-01 3.193736e-02  8.497000e-01  9.06100e-01  9.2880e-01  9.47400e-01  9.728000e-01 1.001055  22000
pi_U[8,2]          7.685998e-01 7.761274e-02  5.957000e-01  7.20500e-01  7.7670e-01  8.25000e-01  8.968025e-01 1.001134  10000
pi_U[9,1]          8.599109e-01 2.891503e-02  7.979000e-01  8.41600e-01  8.6190e-01  8.80400e-01  9.112000e-01 1.000990 100000
pi_U[9,2]          8.581535e-01 5.397393e-02  7.346000e-01  8.26200e-01  8.6470e-01  8.97300e-01  9.438000e-01 1.000991 100000
pi_U[10,1]         8.424431e-01 2.413913e-02  7.922000e-01  8.26700e-01  8.4360e-01  8.59200e-01  8.867000e-01 1.001135  10000
