"mean"	"sd"	"q0.025"	"q0.05"	"q0.25"	"q0.5"	"q0.75"	"q0.95"	"q0.975"
NA	NA	NA	NA	NA	NA	NA	NA	NA
0	0	0	0	0	0	0	0	0
0.130799044315366	0.00920214559377863	0.11558172866556	0.117426053376899	0.12418386666859	0.129859424645191	0.136401279808897	0.146907834461842	0.151057950388338
0.133685445659535	0.00776068494496077	0.120944362721581	0.122722378462111	0.128243194787269	0.132734652352907	0.138213347495419	0.147491324237139	0.151296109434427
0.176257606028572	0.0176166343585575	0.147196232442732	0.150614794231923	0.163559944950786	0.174470156999342	0.187397420686966	0.207584707961306	0.215113622704434
0.108315745744711	0.00806852788036803	0.0948447121303587	0.096559949782564	0.102740180295974	0.107533046162792	0.113035346942982	0.12296166926164	0.126272714417002
0.0602583839375118	0.0104130485106859	0.043324870275395	0.0455403982757343	0.052885076851583	0.0591572894784113	0.0661659337693205	0.0790608198580133	0.0838406099049841
0.0218961147170068	0.00384773566268424	0.0156210270617368	0.0163899631417415	0.0191627152561377	0.0215172835544791	0.0241366470990045	0.0286197235566967	0.0306045930642832
0.00752382353536319	0.00221326720752775	0.00424674048906649	0.00459465284181136	0.00603608015264422	0.00720046078153281	0.00860823623044289	0.0116213097244419	0.0128527333407853
0.0126613444801611	0.000191316662578598	0.0122726790265052	0.0123413278964537	0.012532551976499	0.0126650150663279	0.0127920620719327	0.0129638644609631	0.0130257315046195
0.104014862633914	0.0169208755478289	0.0760874628153034	0.0797421794742466	0.0915830928938064	0.102419948991291	0.114566628710409	0.13412764459157	0.141913067671189
0.0280663499040674	0.00516485454530754	0.0200460091700032	0.020978749389091	0.0244548722723122	0.0273635874067598	0.0308995035044543	0.0373042775488195	0.0401121264064933
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
