"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"n[10,2]","27.8254","4.94011488497523","22","24","27","30","40","1.00095481076767","20000"
"n[10,3]","6.713","2.84544123587034","4","5","6","8","14","1.00095909628721","20000"
"n[10,4]","7.2646","3.33071186416299","4","5","6","9","16","1.00101655089668","20000"
"n[11,1]","27.3259","10.2132073644979","15","20","25","32","54","1.00104457640834","16000"
"n[11,2]","29.99205","8.56874307967034","20","24","28","34","52","1.0009857547966","20000"
"n[11,3]","3.97805","3.39233600851681","1","2","3","5","13","1.0009532003507","20000"
"n[11,4]","14.88765","8.71437458993614","4","9","13","19","37","1.00094857835714","20000"
"n[12,1]","84.61645","6.14180962654936","75","80","84","88","99","1.00100405500769","20000"
"n[12,2]","58.07115","4.48836216756707","51","55","57","61","69","1.00097174581429","20000"
"n[12,3]","0.7996","1.43287909368685","0","0","0","1","5","1.00102603772849","19000"
"n[12,4]","7.4269","4.69495032113503","3","4","6","9","20","1.00099512202071","20000"
"n[13,1]","144.06565","23.1879715408379","107","127","141","158","197","1.00101950545371","20000"
"n[13,2]","110.3999","16.9474228349634","83","98","109","120","149","1.00101236596196","20000"
"n[13,3]","1.78205","2.58323081654981","0","0","1","2","9","1.00109305010481","10000"
"n[13,4]","13.4796","8.81060526741829","3","7","11","18","35","1.00098671601341","20000"
"n[14,1]","40.25845","3.69085826322767","36","38","39","42","50","1.00098545739186","20000"
"n[14,2]","23.29045","2.29398167278986","21","22","23","24","29","1.00097942218448","20000"
"n[14,3]","3.62815","4.71834618452651","0","0.75","2","5","17","1.00115807965618","7200"
"n[14,4]","16.07325","12.1894919345796","2","7","13","22","47","1.00102240144077","20000"
"n[15,1]","106.45225","26.9193657531177","66","87","102","121","170","1.00098962762099","20000"
"n[15,2]","53.88795","14.0791621177468","33","44","52","61","88","1.0009498515252","20000"
"n[15,3]","2.08195","2.60694725803962","0","0","1","3","9","1.00108269806055","11000"
"n[15,4]","15.408","6.7131057856602","7","11","14","19","32","1.0010262333368","19000"
"n[16,1]","137.20785","14.7498517376892","114","127","135","146","172","1.00098416199336","20000"
"n[16,2]","67.02255","7.83176916972892","55","61","66","71","85","1.00113157203973","8200"
"n[16,3]","8.59435","3.58343970641428","5","6","8","10","18","1.00097246781182","20000"
"n[16,4]","24.8954","8.77074142448954","15","19","23","29","48","1.00100871402316","20000"
"n[17,1]","122.58455","31.0534662668414","76","100","118","140","196","1.00099589190532","20000"
"n[17,2]","110.2828","25.0211575886559","73","93","106","124","169","1.00095149035642","20000"
"n[17,3]","10.20055","6.88012329121544","2","5","8","13","28","1.00096074075844","20000"
"n[17,4]","23.68865","12.5831763872998","7","15","21","30","55","1.00109386158576","10000"
"n[18,1]","116.4808","7.80672649763846","105","111","115","121","135","1.00100383969934","20000"
