"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int_MC[1]","0.081","0.294","-0.488","-0.111","0.079","0.272","0.674","1.002","2300"
"logit_int_MC[2]","-0.295","0.307","-0.883","-0.503","-0.305","-0.094","0.337","1.001","10000"
"logit_flow_MC[1]","-0.672","0.302","-1.276","-0.871","-0.671","-0.474","-0.082","1.001","9100"
"logit_flow_MC[2]","-0.723","0.3","-1.331","-0.915","-0.716","-0.52","-0.15","1.001","3400"
"sigmap_eff[1]","1.768","0.229","1.376","1.608","1.747","1.907","2.276","1.001","10000"
"sigmap_eff[2]","1.423","0.263","0.976","1.235","1.399","1.588","1.995","1.001","10000"
"shape_lambda","2.432","0.544","1.506","2.045","2.383","2.768","3.62","1.001","10000"
"rate_lambda","0.012","0.003","0.007","0.01","0.012","0.014","0.019","1.001","10000"
"s[1]","16.907","3.394","11.1","14.55","16.62","18.96","24.28","1.001","10000"
"s[2]","9.214","1.866","6.052","7.911","9.042","10.32","13.32","1.001","10000"
"s[3]","1.309","0.289","0.833","1.104","1.28","1.475","1.979","1.001","5800"
"s[4]","3.786","0.824","2.42","3.206","3.711","4.276","5.663","1.001","10000"
"Plambda[1,1]","0.542","0.039","0.466","0.515","0.542","0.568","0.617","1.001","10000"
"Plambda[1,2]","0.229","0.027","0.178","0.21","0.229","0.247","0.285","1.001","10000"
"Plambda[1,3]","0.061","0.016","0.035","0.05","0.06","0.071","0.095","1.001","10000"
"Plambda[1,4]","0.168","0.028","0.117","0.148","0.166","0.186","0.228","1.001","10000"
"Plambda[2,1]","0.5","0.037","0.426","0.476","0.501","0.526","0.57","1.001","10000"
"Plambda[2,2]","0.25","0.027","0.199","0.231","0.25","0.268","0.304","1.001","10000"
"Plambda[2,3]","0.127","0.027","0.082","0.108","0.125","0.143","0.186","1.001","10000"
"Plambda[2,4]","0.123","0.026","0.079","0.104","0.12","0.138","0.181","1.001","10000"
"Plambda[3,1]","0.673","0.056","0.558","0.636","0.675","0.712","0.777","1.001","10000"
"Plambda[3,2]","0.185","0.038","0.117","0.158","0.183","0.21","0.266","1.001","10000"
"Plambda[3,3]","0.043","0.031","0.006","0.021","0.036","0.058","0.118","1.001","10000"
"Plambda[3,4]","0.099","0.045","0.031","0.065","0.091","0.125","0.205","1.001","7100"
"Plambda[4,1]","0.514","0.069","0.381","0.467","0.514","0.561","0.648","1.001","10000"
"Plambda[4,2]","0.169","0.045","0.091","0.137","0.165","0.197","0.267","1.001","10000"
"Plambda[4,3]","0.052","0.017","0.025","0.04","0.051","0.063","0.091","1.001","10000"
"Plambda[4,4]","0.265","0.055","0.166","0.226","0.262","0.3","0.381","1.002","2200"
"Plambda[5,1]","0.619","0.033","0.553","0.596","0.619","0.641","0.684","1.001","10000"
"Plambda[5,2]","0.179","0.026","0.131","0.161","0.178","0.195","0.232","1.001","3300"
"Plambda[5,3]","0.089","0.02","0.054","0.075","0.087","0.101","0.132","1.001","10000"
"Plambda[5,4]","0.114","0.022","0.074","0.099","0.113","0.128","0.16","1.001","5300"
"Plambda[6,1]","0.597","0.039","0.515","0.572","0.599","0.625","0.669","1.002","2000"
"Plambda[6,2]","0.293","0.031","0.233","0.272","0.293","0.314","0.356","1.001","6200"
"Plambda[6,3]","0.038","0.021","0.009","0.022","0.033","0.048","0.092","1.001","10000"
"Plambda[6,4]","0.072","0.032","0.026","0.049","0.066","0.089","0.148","1.001","3700"
"Plambda[7,1]","0.542","0.078","0.388","0.49","0.543","0.596","0.692","1.001","10000"
"Plambda[7,2]","0.358","0.071","0.225","0.308","0.355","0.404","0.507","1.001","10000"
"Plambda[7,3]","0.035","0.025","0.005","0.017","0.029","0.047","0.098","1.001","4400"
"Plambda[7,4]","0.066","0.035","0.017","0.04","0.059","0.084","0.153","1.001","10000"
"Plambda[8,1]","0.552","0.061","0.43","0.511","0.553","0.594","0.666","1.001","10000"
"Plambda[8,2]","0.269","0.05","0.175","0.233","0.267","0.302","0.372","1.001","10000"
"Plambda[8,3]","0.045","0.03","0.006","0.023","0.038","0.06","0.121","1.001","10000"
"Plambda[8,4]","0.134","0.05","0.055","0.098","0.128","0.164","0.25","1.001","10000"
"Plambda[9,1]","0.498","0.065","0.372","0.454","0.498","0.543","0.622","1.001","10000"
"Plambda[9,2]","0.297","0.056","0.194","0.258","0.295","0.333","0.414","1.001","10000"
"Plambda[9,3]","0.087","0.038","0.029","0.058","0.081","0.109","0.175","1.001","10000"
"Plambda[9,4]","0.118","0.044","0.048","0.087","0.113","0.144","0.22","1.001","10000"
"Plambda[10,1]","0.653","0.052","0.545","0.619","0.655","0.689","0.749","1.001","10000"
"Plambda[10,2]","0.221","0.037","0.153","0.195","0.219","0.245","0.296","1.002","1500"
"Plambda[10,3]","0.029","0.021","0.004","0.014","0.024","0.039","0.085","1.002","1100"
"Plambda[10,4]","0.098","0.044","0.032","0.065","0.09","0.122","0.202","1.001","5000"
"Plambda[11,1]","0.464","0.064","0.34","0.421","0.464","0.507","0.591","1.001","10000"
"Plambda[11,2]","0.413","0.063","0.296","0.369","0.412","0.456","0.541","1.001","10000"
"Plambda[11,3]","0.02","0.019","0.001","0.007","0.014","0.027","0.07","1.001","6900"
"Plambda[11,4]","0.103","0.044","0.037","0.071","0.096","0.127","0.207","1.001","8400"
"Plambda[12,1]","0.55","0.045","0.46","0.521","0.552","0.581","0.636","1.001","10000"
"Plambda[12,2]","0.366","0.041","0.287","0.338","0.365","0.392","0.448","1.001","7400"
"Plambda[12,3]","0.013","0.013","0","0.004","0.009","0.018","0.048","1.001","10000"
"Plambda[12,4]","0.071","0.037","0.021","0.044","0.063","0.089","0.162","1.001","4800"
"Plambda[13,1]","0.54","0.047","0.446","0.508","0.54","0.572","0.63","1.001","10000"
"Plambda[13,2]","0.401","0.046","0.314","0.37","0.4","0.431","0.492","1.001","10000"
"Plambda[13,3]","0.013","0.013","0","0.004","0.008","0.017","0.05","1.001","10000"
"Plambda[13,4]","0.047","0.032","0.009","0.024","0.039","0.063","0.13","1.001","10000"
"Plambda[14,1]","0.521","0.057","0.408","0.482","0.522","0.56","0.63","1.001","10000"
"Plambda[14,2]","0.296","0.048","0.206","0.263","0.294","0.327","0.394","1.001","10000"
"Plambda[14,3]","0.028","0.026","0.001","0.01","0.021","0.04","0.096","1.001","10000"
"Plambda[14,4]","0.155","0.053","0.07","0.117","0.149","0.187","0.274","1.001","4900"
"Plambda[15,1]","0.547","0.058","0.431","0.509","0.548","0.587","0.657","1.001","10000"
"Plambda[15,2]","0.282","0.049","0.193","0.248","0.28","0.313","0.383","1.001","10000"
"Plambda[15,3]","0.044","0.02","0.016","0.03","0.041","0.055","0.091","1.001","10000"
"Plambda[15,4]","0.127","0.039","0.065","0.099","0.122","0.149","0.216","1.001","10000"
"Plambda[16,1]","0.578","0.046","0.483","0.548","0.58","0.61","0.663","1.001","10000"
"Plambda[16,2]","0.286","0.035","0.22","0.261","0.285","0.309","0.356","1.001","10000"
"Plambda[16,3]","0.041","0.026","0.008","0.023","0.036","0.054","0.108","1.001","6200"
"Plambda[16,4]","0.095","0.042","0.033","0.064","0.089","0.118","0.193","1.001","10000"
"Plambda[17,1]","0.495","0.052","0.394","0.46","0.494","0.53","0.598","1.001","10000"
"Plambda[17,2]","0.425","0.051","0.326","0.39","0.424","0.46","0.527","1.001","10000"
"Plambda[17,3]","0.03","0.016","0.008","0.019","0.027","0.038","0.071","1.001","10000"
"Plambda[17,4]","0.05","0.024","0.018","0.033","0.045","0.061","0.107","1.001","10000"
"Plambda[18,1]","0.542","0.041","0.458","0.515","0.543","0.57","0.62","1.001","10000"
"Plambda[18,2]","0.286","0.033","0.223","0.263","0.285","0.308","0.353","1.001","10000"
"Plambda[18,3]","0.068","0.025","0.029","0.05","0.064","0.082","0.128","1.001","10000"
"Plambda[18,4]","0.104","0.032","0.053","0.082","0.101","0.123","0.177","1.001","10000"
"Plambda[19,1]","0.495","0.041","0.415","0.468","0.495","0.523","0.575","1.001","10000"
"Plambda[19,2]","0.395","0.039","0.319","0.369","0.395","0.421","0.474","1.001","10000"
"Plambda[19,3]","0.008","0.006","0.001","0.004","0.007","0.011","0.022","1.001","10000"
"Plambda[19,4]","0.101","0.023","0.062","0.085","0.099","0.115","0.152","1.001","10000"
"Plambda[20,1]","0.468","0.036","0.396","0.443","0.468","0.493","0.537","1.001","10000"
"Plambda[20,2]","0.26","0.029","0.206","0.24","0.259","0.278","0.317","1.001","10000"
"Plambda[20,3]","0.053","0.018","0.024","0.04","0.051","0.064","0.095","1.001","10000"
"Plambda[20,4]","0.219","0.036","0.155","0.194","0.217","0.242","0.296","1.001","10000"
"Plambda[21,1]","0.504","0.032","0.439","0.482","0.504","0.526","0.567","1.001","10000"
"Plambda[21,2]","0.415","0.031","0.354","0.395","0.415","0.436","0.476","1.001","10000"
"Plambda[21,3]","0.02","0.013","0.004","0.011","0.017","0.025","0.052","1.001","10000"
"Plambda[21,4]","0.061","0.025","0.026","0.043","0.057","0.074","0.121","1.001","10000"
"Plambda[22,1]","0.559","0.043","0.473","0.53","0.559","0.588","0.641","1.001","10000"
"Plambda[22,2]","0.237","0.035","0.173","0.213","0.236","0.26","0.308","1.001","10000"
"Plambda[22,3]","0.01","0.009","0","0.003","0.007","0.014","0.034","1.001","6500"
"Plambda[22,4]","0.194","0.039","0.126","0.166","0.191","0.219","0.279","1.001","10000"
"Plambda[23,1]","0.515","0.043","0.43","0.486","0.515","0.544","0.598","1.001","10000"
"Plambda[23,2]","0.345","0.038","0.272","0.319","0.344","0.37","0.42","1.001","10000"
"Plambda[23,3]","0.02","0.014","0.002","0.01","0.016","0.026","0.056","1.001","9900"
"Plambda[23,4]","0.121","0.036","0.064","0.095","0.117","0.141","0.204","1.001","10000"
"Plambda[24,1]","0.587","0.038","0.509","0.562","0.588","0.613","0.658","1.001","3600"
"Plambda[24,2]","0.306","0.032","0.245","0.284","0.306","0.328","0.371","1.001","10000"
"Plambda[24,3]","0.026","0.019","0.003","0.012","0.021","0.034","0.074","1.002","2100"
"Plambda[24,4]","0.081","0.03","0.037","0.06","0.076","0.097","0.152","1.001","10000"
"Plambda[25,1]","0.428","0.061","0.309","0.386","0.427","0.469","0.549","1.001","10000"
"Plambda[25,2]","0.372","0.057","0.264","0.332","0.371","0.41","0.487","1.001","10000"
"Plambda[25,3]","0.028","0.02","0.004","0.014","0.024","0.038","0.078","1.001","10000"
"Plambda[25,4]","0.172","0.051","0.088","0.136","0.167","0.201","0.286","1.001","10000"
"Plambda[26,1]","0.576","0.07","0.439","0.529","0.577","0.623","0.711","1.001","10000"
"Plambda[26,2]","0.267","0.058","0.164","0.226","0.264","0.305","0.388","1.001","10000"
"Plambda[26,3]","0.039","0.024","0.008","0.021","0.034","0.051","0.1","1.001","10000"
"Plambda[26,4]","0.118","0.048","0.046","0.083","0.111","0.147","0.23","1.001","10000"
"Plambda[27,1]","0.55","0.041","0.47","0.523","0.55","0.578","0.631","1.001","10000"
"Plambda[27,2]","0.318","0.038","0.248","0.292","0.317","0.342","0.396","1.001","7600"
"Plambda[27,3]","0.015","0.008","0.004","0.009","0.014","0.02","0.036","1.001","10000"
"Plambda[27,4]","0.116","0.029","0.07","0.096","0.113","0.133","0.182","1.002","2300"
"Plambda[28,1]","0.429","0.045","0.34","0.4","0.429","0.46","0.515","1.001","10000"
"Plambda[28,2]","0.375","0.043","0.291","0.346","0.374","0.403","0.46","1.001","10000"
"Plambda[28,3]","0.054","0.026","0.016","0.036","0.05","0.069","0.119","1.001","10000"
"Plambda[28,4]","0.142","0.041","0.075","0.113","0.137","0.165","0.235","1.001","10000"
"Plambda[29,1]","0.542","0.061","0.421","0.502","0.542","0.584","0.661","1.001","4200"
"Plambda[29,2]","0.225","0.047","0.142","0.192","0.222","0.255","0.321","1.001","9400"
"Plambda[29,3]","0.049","0.022","0.017","0.033","0.045","0.06","0.101","1.001","5800"
"Plambda[29,4]","0.184","0.048","0.104","0.151","0.179","0.212","0.292","1.001","10000"
"Plambda[30,1]","0.577","0.051","0.475","0.543","0.578","0.611","0.674","1.001","10000"
"Plambda[30,2]","0.25","0.041","0.175","0.221","0.248","0.276","0.336","1.001","10000"
"Plambda[30,3]","0.03","0.019","0.005","0.016","0.026","0.039","0.079","1.001","10000"
"Plambda[30,4]","0.144","0.045","0.074","0.112","0.138","0.17","0.246","1.001","10000"
"Plambda[31,1]","0.569","0.062","0.448","0.527","0.57","0.611","0.689","1.001","10000"
"Plambda[31,2]","0.264","0.051","0.173","0.227","0.261","0.297","0.37","1.001","10000"
"Plambda[31,3]","0.033","0.018","0.008","0.02","0.029","0.042","0.076","1.001","10000"
"Plambda[31,4]","0.135","0.037","0.073","0.108","0.131","0.157","0.219","1.001","10000"
"Plambda[32,1]","0.485","0.065","0.358","0.441","0.485","0.529","0.611","1.001","10000"
"Plambda[32,2]","0.318","0.059","0.211","0.277","0.316","0.355","0.442","1.001","10000"
"Plambda[32,3]","0.02","0.014","0.003","0.01","0.017","0.027","0.056","1.001","10000"
"Plambda[32,4]","0.176","0.047","0.096","0.143","0.172","0.205","0.281","1.001","10000"
"Plambda[33,1]","0.578","0.045","0.485","0.548","0.579","0.609","0.663","1.001","10000"
"Plambda[33,2]","0.279","0.035","0.212","0.254","0.278","0.302","0.35","1.001","6000"
"Plambda[33,3]","0.017","0.016","0.001","0.005","0.012","0.022","0.06","1.001","10000"
"Plambda[33,4]","0.127","0.045","0.058","0.094","0.12","0.152","0.23","1.001","10000"
"Plambda[34,1]","0.613","0.066","0.483","0.569","0.613","0.659","0.737","1.001","10000"
"Plambda[34,2]","0.223","0.052","0.132","0.187","0.219","0.256","0.335","1.001","10000"
"Plambda[34,3]","0.035","0.022","0.007","0.02","0.03","0.046","0.09","1.001","10000"
"Plambda[34,4]","0.129","0.043","0.06","0.097","0.123","0.154","0.229","1.001","10000"
"Plambda[35,1]","0.489","0.073","0.35","0.44","0.49","0.539","0.631","1.001","10000"
"Plambda[35,2]","0.349","0.066","0.227","0.303","0.346","0.393","0.485","1.001","4300"
"Plambda[35,3]","0.038","0.019","0.012","0.024","0.035","0.049","0.084","1.001","3400"
"Plambda[35,4]","0.123","0.041","0.059","0.094","0.118","0.147","0.218","1.001","3800"
"Plambda[36,1]","0.585","0.047","0.489","0.554","0.585","0.617","0.674","1.001","10000"
"Plambda[36,2]","0.281","0.041","0.204","0.252","0.279","0.308","0.364","1.001","9700"
"Plambda[36,3]","0.049","0.022","0.017","0.033","0.045","0.061","0.102","1.001","10000"
"Plambda[36,4]","0.086","0.029","0.04","0.065","0.082","0.102","0.154","1.001","5000"
"Plambda[37,1]","0.514","0.042","0.433","0.487","0.514","0.542","0.596","1.002","2300"
"Plambda[37,2]","0.353","0.039","0.279","0.327","0.352","0.379","0.432","1.002","2100"
"Plambda[37,3]","0.03","0.015","0.008","0.019","0.028","0.039","0.066","1.001","10000"
"Plambda[37,4]","0.102","0.026","0.058","0.084","0.1","0.118","0.159","1.001","10000"
"Plambda[38,1]","0.655","0.051","0.55","0.621","0.656","0.69","0.751","1.001","10000"
"Plambda[38,2]","0.252","0.044","0.17","0.221","0.251","0.28","0.344","1.001","10000"
"Plambda[38,3]","0.024","0.017","0.003","0.012","0.02","0.032","0.068","1.001","4200"
"Plambda[38,4]","0.069","0.03","0.024","0.047","0.064","0.085","0.141","1.001","10000"
"Plambda[39,1]","0.547","0.075","0.4","0.496","0.549","0.598","0.693","1.001","9800"
"Plambda[39,2]","0.272","0.067","0.152","0.224","0.269","0.314","0.413","1.001","10000"
"Plambda[39,3]","0.052","0.034","0.007","0.027","0.045","0.07","0.138","1.001","6100"
"Plambda[39,4]","0.129","0.053","0.044","0.09","0.122","0.161","0.251","1.001","5200"
"Plambda[40,1]","0.49","0.081","0.331","0.435","0.49","0.544","0.646","1.001","10000"
"Plambda[40,2]","0.306","0.074","0.173","0.255","0.302","0.354","0.459","1.001","10000"
"Plambda[40,3]","0.085","0.047","0.019","0.051","0.077","0.112","0.2","1.001","10000"
"Plambda[40,4]","0.119","0.053","0.038","0.08","0.112","0.151","0.238","1.001","5200"
"Plambda[41,1]","0.556","0.078","0.396","0.503","0.558","0.61","0.706","1.001","10000"
"Plambda[41,2]","0.269","0.065","0.153","0.223","0.266","0.312","0.406","1.001","10000"
"Plambda[41,3]","0.045","0.039","0.002","0.016","0.035","0.062","0.146","1.001","10000"
"Plambda[41,4]","0.13","0.065","0.032","0.083","0.122","0.167","0.281","1.001","10000"
"Plambda0[1]","0.536","0.087","0.358","0.478","0.537","0.597","0.701","1.001","10000"
"Plambda0[2]","0.292","0.081","0.147","0.234","0.287","0.344","0.461","1.001","10000"
"Plambda0[3]","0.034","0.017","0.01","0.022","0.031","0.043","0.077","1.001","10000"
"Plambda0[4]","0.138","0.05","0.06","0.102","0.132","0.167","0.253","1.001","10000"
"mup_recap[1]","0.221","0.035","0.157","0.197","0.219","0.243","0.296","1.001","10000"
"mup_recap[2]","0.325","0.03","0.269","0.305","0.324","0.343","0.387","1.001","6300"
"mup_recap[3]","0.118","0.034","0.059","0.093","0.115","0.138","0.192","1.001","10000"
