"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int_MC[1]","0.068","0.313","-0.542","-0.14","0.066","0.275","0.696","1.001","3600"
"logit_int_MC[2]","-0.348","0.306","-0.937","-0.553","-0.349","-0.148","0.269","1.001","3600"
"logit_flow_MC[1]","-0.715","0.315","-1.351","-0.913","-0.714","-0.498","-0.121","1.002","910"
"logit_flow_MC[2]","-0.794","0.299","-1.4","-0.987","-0.791","-0.59","-0.227","1.001","3600"
"sigmap_eff[1]","1.802","0.24","1.393","1.627","1.781","1.95","2.341","1.001","3600"
"sigmap_eff[2]","1.39","0.253","0.942","1.216","1.368","1.547","1.943","1.001","3600"
"shape_lambda","3.331","0.805","1.959","2.771","3.253","3.82","5.105","1.001","2100"
"rate_lambda","0.016","0.004","0.009","0.013","0.016","0.019","0.025","1.002","1500"
"s[1]","16.934","3.369","11.276","14.59","16.625","19.03","24.391","1.001","3300"
"s[2]","9.219","1.828","6.077","7.922","9.039","10.357","13.141","1.001","2000"
"s[3]","1.253","0.282","0.791","1.054","1.227","1.416","1.87","1.002","1400"
"s[4]","3.774","0.819","2.419","3.2","3.665","4.268","5.591","1.001","2600"
"Plambda[1,1]","0.543","0.039","0.469","0.516","0.543","0.569","0.618","1.001","3600"
"Plambda[1,2]","0.23","0.027","0.176","0.211","0.23","0.248","0.283","1.001","2000"
"Plambda[1,3]","0.061","0.015","0.034","0.05","0.059","0.07","0.095","1.004","440"
"Plambda[1,4]","0.166","0.028","0.116","0.147","0.165","0.184","0.226","1.001","2700"
"Plambda[2,1]","0.5","0.037","0.426","0.477","0.501","0.525","0.57","1.001","3600"
"Plambda[2,2]","0.25","0.027","0.2","0.232","0.249","0.268","0.304","1.001","3600"
"Plambda[2,3]","0.127","0.027","0.082","0.108","0.124","0.144","0.188","1.001","3600"
"Plambda[2,4]","0.122","0.025","0.079","0.105","0.121","0.138","0.176","1.001","3600"
"Plambda[3,1]","0.675","0.056","0.56","0.639","0.677","0.714","0.775","1.001","2500"
"Plambda[3,2]","0.185","0.037","0.118","0.159","0.183","0.209","0.262","1.001","3600"
"Plambda[3,3]","0.041","0.03","0.005","0.02","0.035","0.055","0.115","1.001","3600"
"Plambda[3,4]","0.099","0.046","0.031","0.065","0.093","0.124","0.21","1.001","3600"
"Plambda[4,1]","0.514","0.068","0.383","0.468","0.514","0.56","0.647","1.001","2600"
"Plambda[4,2]","0.17","0.046","0.091","0.138","0.167","0.199","0.269","1.002","1200"
"Plambda[4,3]","0.052","0.017","0.025","0.04","0.05","0.062","0.092","1.001","3300"
"Plambda[4,4]","0.263","0.054","0.165","0.225","0.26","0.297","0.379","1.003","590"
"Plambda[5,1]","0.619","0.034","0.549","0.597","0.62","0.642","0.683","1.001","3600"
"Plambda[5,2]","0.178","0.026","0.127","0.161","0.178","0.194","0.232","1.001","3600"
"Plambda[5,3]","0.089","0.02","0.054","0.075","0.087","0.101","0.133","1.001","3600"
"Plambda[5,4]","0.114","0.022","0.075","0.098","0.113","0.128","0.162","1.001","3600"
"Plambda[6,1]","0.599","0.04","0.515","0.574","0.601","0.626","0.672","1.001","3600"
"Plambda[6,2]","0.293","0.031","0.233","0.272","0.292","0.314","0.356","1.001","3600"
"Plambda[6,3]","0.036","0.021","0.009","0.021","0.032","0.046","0.087","1.001","3500"
"Plambda[6,4]","0.072","0.032","0.026","0.049","0.066","0.089","0.147","1.001","3600"
"Plambda[7,1]","0.548","0.079","0.389","0.495","0.548","0.601","0.705","1.001","3600"
"Plambda[7,2]","0.356","0.072","0.22","0.305","0.352","0.405","0.505","1.001","3600"
"Plambda[7,3]","0.033","0.024","0.004","0.016","0.027","0.044","0.095","1.001","3600"
"Plambda[7,4]","0.063","0.035","0.016","0.038","0.057","0.082","0.15","1.002","1200"
"Plambda[8,1]","0.552","0.061","0.43","0.51","0.553","0.594","0.664","1.001","3600"
"Plambda[8,2]","0.27","0.05","0.176","0.235","0.268","0.303","0.37","1.001","3600"
"Plambda[8,3]","0.044","0.031","0.006","0.022","0.036","0.058","0.123","1.001","3600"
"Plambda[8,4]","0.135","0.049","0.055","0.1","0.13","0.163","0.245","1.001","3600"
"Plambda[9,1]","0.5","0.066","0.373","0.455","0.5","0.545","0.626","1.001","3600"
"Plambda[9,2]","0.297","0.056","0.193","0.259","0.294","0.331","0.412","1.001","3600"
"Plambda[9,3]","0.086","0.039","0.027","0.058","0.081","0.108","0.177","1.001","3600"
"Plambda[9,4]","0.117","0.043","0.048","0.085","0.111","0.143","0.219","1.001","3600"
"Plambda[10,1]","0.653","0.052","0.544","0.62","0.655","0.688","0.748","1.001","3600"
"Plambda[10,2]","0.222","0.037","0.153","0.196","0.22","0.246","0.302","1.001","3600"
"Plambda[10,3]","0.028","0.021","0.003","0.013","0.023","0.038","0.081","1.001","3600"
"Plambda[10,4]","0.098","0.046","0.032","0.064","0.09","0.123","0.204","1.001","3600"
"Plambda[11,1]","0.466","0.065","0.337","0.423","0.466","0.509","0.594","1.001","3600"
"Plambda[11,2]","0.414","0.064","0.296","0.37","0.412","0.455","0.542","1.002","1300"
"Plambda[11,3]","0.019","0.017","0.001","0.006","0.013","0.026","0.064","1.001","3600"
"Plambda[11,4]","0.101","0.043","0.034","0.07","0.095","0.126","0.202","1.001","3600"
"Plambda[12,1]","0.552","0.044","0.463","0.521","0.553","0.583","0.636","1.002","3600"
"Plambda[12,2]","0.366","0.04","0.288","0.339","0.365","0.392","0.447","1.001","3600"
"Plambda[12,3]","0.013","0.013","0","0.004","0.009","0.017","0.046","1.001","3600"
"Plambda[12,4]","0.07","0.037","0.021","0.043","0.063","0.089","0.162","1.001","3600"
"Plambda[13,1]","0.541","0.047","0.45","0.508","0.541","0.572","0.633","1.005","390"
"Plambda[13,2]","0.403","0.046","0.315","0.37","0.402","0.434","0.494","1.003","550"
"Plambda[13,3]","0.012","0.013","0","0.003","0.008","0.016","0.048","1.001","3600"
