"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int_MC[1]","0.05","0.325","-0.586","-0.168","0.05","0.264","0.694","1.001","9100"
"logit_int_MC[2]","-0.494","0.323","-1.126","-0.709","-0.498","-0.283","0.156","1.001","22000"
"logit_flow_MC[1]","-0.508","0.325","-1.158","-0.722","-0.505","-0.291","0.124","1.001","22000"
"logit_flow_MC[2]","-0.349","0.302","-0.955","-0.547","-0.346","-0.148","0.236","1.001","22000"
"sigmap_eff[1]","1.891","0.248","1.473","1.717","1.869","2.042","2.435","1.001","22000"
"sigmap_eff[2]","1.568","0.267","1.106","1.381","1.548","1.73","2.153","1.001","9600"
"shape_lambda","4.15","1.043","2.424","3.412","4.041","4.782","6.474","1.001","8600"
"rate_lambda","0.019","0.005","0.011","0.016","0.019","0.022","0.031","1.001","22000"
"s[1]","17.562","3.554","11.5","15.07","17.25","19.73","25.44","1.001","22000"
"s[2]","9.603","1.943","6.296","8.243","9.424","10.78","13.9","1.001","22000"
"s[3]","1.355","0.312","0.84","1.135","1.324","1.542","2.05","1.001","22000"
"s[4]","4.128","0.914","2.605","3.483","4.036","4.683","6.167","1.001","22000"
"Plambda[1,1]","0.539","0.039","0.463","0.513","0.539","0.566","0.615","1.001","22000"
"Plambda[1,2]","0.229","0.027","0.178","0.21","0.228","0.247","0.285","1.001","22000"
"Plambda[1,3]","0.062","0.016","0.035","0.051","0.061","0.072","0.097","1.001","22000"
"Plambda[1,4]","0.17","0.029","0.119","0.15","0.168","0.189","0.231","1.001","22000"
"Plambda[2,1]","0.503","0.036","0.429","0.479","0.504","0.528","0.572","1.001","7100"
"Plambda[2,2]","0.251","0.027","0.199","0.233","0.25","0.269","0.306","1.001","22000"
"Plambda[2,3]","0.125","0.026","0.08","0.106","0.122","0.141","0.183","1.001","3300"
"Plambda[2,4]","0.121","0.025","0.079","0.104","0.119","0.137","0.178","1.001","22000"
"Plambda[3,1]","0.664","0.057","0.545","0.626","0.666","0.704","0.769","1.001","8300"
"Plambda[3,2]","0.185","0.038","0.116","0.158","0.182","0.209","0.265","1.001","22000"
"Plambda[3,3]","0.045","0.031","0.006","0.022","0.037","0.06","0.124","1.001","22000"
"Plambda[3,4]","0.107","0.048","0.035","0.072","0.1","0.135","0.219","1.001","8500"
"Plambda[4,1]","0.513","0.067","0.383","0.468","0.514","0.559","0.644","1.001","22000"
"Plambda[4,2]","0.172","0.045","0.093","0.14","0.168","0.2","0.269","1.001","22000"
"Plambda[4,3]","0.052","0.017","0.025","0.04","0.05","0.062","0.09","1.001","22000"
"Plambda[4,4]","0.263","0.054","0.168","0.225","0.26","0.297","0.376","1.001","22000"
"Plambda[5,1]","0.616","0.034","0.548","0.594","0.617","0.64","0.681","1.001","9800"
"Plambda[5,2]","0.178","0.026","0.13","0.16","0.177","0.195","0.232","1.001","8200"
"Plambda[5,3]","0.089","0.02","0.054","0.075","0.088","0.102","0.132","1.001","18000"
"Plambda[5,4]","0.116","0.023","0.075","0.1","0.115","0.13","0.166","1.001","22000"
"Plambda[6,1]","0.59","0.041","0.504","0.564","0.592","0.618","0.666","1.001","18000"
"Plambda[6,2]","0.29","0.031","0.231","0.269","0.29","0.311","0.353","1.001","22000"
"Plambda[6,3]","0.04","0.022","0.01","0.024","0.036","0.051","0.096","1.001","5600"
"Plambda[6,4]","0.079","0.034","0.03","0.054","0.074","0.098","0.163","1.001","22000"
"Plambda[7,1]","0.547","0.078","0.392","0.494","0.548","0.601","0.696","1.001","22000"
"Plambda[7,2]","0.346","0.07","0.217","0.296","0.343","0.392","0.491","1.001","22000"
"Plambda[7,3]","0.036","0.026","0.005","0.017","0.03","0.048","0.106","1.001","22000"
"Plambda[7,4]","0.071","0.038","0.017","0.043","0.064","0.091","0.162","1.001","22000"
"Plambda[8,1]","0.548","0.061","0.426","0.507","0.549","0.59","0.664","1.001","22000"
"Plambda[8,2]","0.268","0.05","0.176","0.233","0.266","0.301","0.37","1.001","22000"
"Plambda[8,3]","0.045","0.03","0.006","0.023","0.039","0.06","0.123","1.001","22000"
"Plambda[8,4]","0.139","0.051","0.057","0.102","0.132","0.17","0.257","1.001","22000"
"Plambda[9,1]","0.497","0.064","0.371","0.454","0.498","0.542","0.623","1.001","22000"
"Plambda[9,2]","0.298","0.056","0.195","0.26","0.296","0.335","0.412","1.001","17000"
"Plambda[9,3]","0.085","0.038","0.028","0.057","0.079","0.107","0.175","1.001","22000"
"Plambda[9,4]","0.12","0.044","0.049","0.088","0.114","0.145","0.22","1.001","16000"
"Plambda[10,1]","0.646","0.053","0.537","0.612","0.649","0.683","0.742","1.001","22000"
"Plambda[10,2]","0.22","0.037","0.152","0.195","0.219","0.244","0.294","1.001","15000"
"Plambda[10,3]","0.03","0.022","0.004","0.014","0.025","0.04","0.085","1.001","21000"
"Plambda[10,4]","0.104","0.046","0.034","0.07","0.097","0.13","0.212","1.001","22000"
"Plambda[11,1]","0.458","0.064","0.332","0.415","0.459","0.502","0.583","1.001","22000"
"Plambda[11,2]","0.405","0.062","0.289","0.363","0.404","0.447","0.533","1.001","22000"
"Plambda[11,3]","0.022","0.02","0.001","0.008","0.016","0.03","0.074","1.001","22000"
"Plambda[11,4]","0.115","0.049","0.04","0.08","0.107","0.143","0.23","1.001","22000"
"Plambda[12,1]","0.54","0.047","0.445","0.509","0.541","0.572","0.628","1.001","22000"
"Plambda[12,2]","0.358","0.041","0.278","0.33","0.357","0.385","0.441","1.001","22000"
"Plambda[12,3]","0.016","0.015","0.001","0.005","0.011","0.022","0.056","1.001","22000"
"Plambda[12,4]","0.087","0.043","0.026","0.055","0.079","0.111","0.191","1.001","11000"
"Plambda[13,1]","0.529","0.048","0.433","0.497","0.53","0.562","0.622","1.001","22000"
"Plambda[13,2]","0.393","0.045","0.306","0.361","0.392","0.423","0.484","1.001","6500"
"Plambda[13,3]","0.016","0.016","0.001","0.005","0.011","0.022","0.058","1.001","22000"
"Plambda[13,4]","0.062","0.037","0.012","0.035","0.055","0.082","0.154","1.001","8100"
"Plambda[14,1]","0.517","0.057","0.404","0.479","0.518","0.557","0.626","1.001","10000"
"Plambda[14,2]","0.294","0.048","0.204","0.26","0.292","0.326","0.394","1.001","22000"
"Plambda[14,3]","0.029","0.026","0.001","0.01","0.022","0.04","0.097","1.001","10000"
"Plambda[14,4]","0.16","0.055","0.072","0.12","0.153","0.193","0.284","1.001","22000"
"Plambda[15,1]","0.549","0.058","0.434","0.51","0.549","0.589","0.659","1.001","22000"
"Plambda[15,2]","0.282","0.049","0.192","0.248","0.28","0.314","0.383","1.001","22000"
"Plambda[15,3]","0.043","0.02","0.015","0.029","0.04","0.054","0.09","1.001","22000"
"Plambda[15,4]","0.126","0.039","0.064","0.098","0.121","0.149","0.216","1.001","22000"
"Plambda[16,1]","0.578","0.045","0.484","0.549","0.579","0.61","0.663","1.001","22000"
"Plambda[16,2]","0.286","0.035","0.221","0.262","0.286","0.31","0.356","1.001","22000"
"Plambda[16,3]","0.04","0.025","0.008","0.022","0.035","0.052","0.104","1.001","15000"
"Plambda[16,4]","0.095","0.041","0.033","0.065","0.089","0.119","0.192","1.001","22000"
"Plambda[17,1]","0.493","0.053","0.39","0.457","0.492","0.529","0.596","1.001","22000"
"Plambda[17,2]","0.421","0.051","0.324","0.386","0.42","0.455","0.523","1.001","22000"
"Plambda[17,3]","0.032","0.017","0.009","0.02","0.028","0.04","0.076","1.001","22000"
"Plambda[17,4]","0.054","0.026","0.019","0.036","0.049","0.067","0.119","1.001","16000"
"Plambda[18,1]","0.541","0.041","0.458","0.514","0.543","0.569","0.619","1.001","20000"
"Plambda[18,2]","0.286","0.033","0.222","0.262","0.285","0.308","0.352","1.001","22000"
"Plambda[18,3]","0.067","0.025","0.029","0.049","0.064","0.081","0.126","1.001","6100"
"Plambda[18,4]","0.106","0.033","0.054","0.082","0.102","0.125","0.181","1.001","22000"
"Plambda[19,1]","0.494","0.041","0.413","0.466","0.494","0.521","0.574","1.001","22000"
"Plambda[19,2]","0.393","0.039","0.318","0.366","0.392","0.419","0.472","1.001","22000"
"Plambda[19,3]","0.008","0.006","0.001","0.004","0.007","0.011","0.023","1.001","6100"
"Plambda[19,4]","0.105","0.024","0.064","0.088","0.103","0.12","0.158","1.001","22000"
"Plambda[20,1]","0.468","0.036","0.397","0.444","0.468","0.492","0.537","1.001","22000"
"Plambda[20,2]","0.26","0.029","0.203","0.24","0.259","0.279","0.318","1.001","4500"
"Plambda[20,3]","0.053","0.018","0.024","0.04","0.051","0.064","0.094","1.001","22000"
"Plambda[20,4]","0.219","0.036","0.155","0.194","0.217","0.243","0.298","1.001","12000"
"Plambda[21,1]","0.501","0.033","0.435","0.479","0.501","0.524","0.565","1.001","22000"
"Plambda[21,2]","0.413","0.032","0.351","0.392","0.413","0.435","0.476","1.001","22000"
"Plambda[21,3]","0.021","0.013","0.004","0.011","0.018","0.027","0.055","1.001","22000"
"Plambda[21,4]","0.065","0.027","0.027","0.046","0.06","0.079","0.13","1.001","22000"
"Plambda[22,1]","0.559","0.044","0.472","0.53","0.559","0.589","0.642","1.001","22000"
"Plambda[22,2]","0.238","0.035","0.173","0.214","0.237","0.261","0.309","1.001","22000"
"Plambda[22,3]","0.01","0.009","0","0.004","0.008","0.014","0.034","1.001","22000"
"Plambda[22,4]","0.194","0.039","0.126","0.166","0.19","0.218","0.279","1.001","22000"
"Plambda[23,1]","0.513","0.043","0.428","0.485","0.514","0.543","0.595","1.001","22000"
"Plambda[23,2]","0.343","0.038","0.271","0.317","0.342","0.368","0.421","1.001","22000"
"Plambda[23,3]","0.02","0.014","0.003","0.01","0.017","0.027","0.057","1.001","22000"
"Plambda[23,4]","0.123","0.036","0.065","0.097","0.119","0.144","0.208","1.001","22000"
