"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"Plambda[6,4]";0.0734030085;0.0333896196074166;0.0273889992873761;0.04912;0.06708;0.090952499896928;0.155702499217575
"Plambda[7,1]";0.54966374;0.084767537234187;0.380897499679979;0.4941;0.5495;0.6084;0.7156
"Plambda[7,2]";0.35492156;0.076222594363847;0.215894997740632;0.3031;0.3512;0.4032;0.516902499764249
"Plambda[7,3]";0.03428898733;0.0268013606504505;0.00385797499684044;0.015807499406802;0.027314999542376;0.0454849991756732;0.1068
"Plambda[7,4]";0.0611260602;0.0347512145200774;0.0138989985944589;0.03592;0.054164997923013;0.0789024998811875;0.146902499170726
"Plambda[8,1]";0.53747191;0.0633887776003329;0.4103;0.4941;0.5393;0.5814;0.656804999257914
"Plambda[8,2]";0.261059354;0.0519008327509946;0.1658;0.225374995839651;0.259049995174677;0.2936;0.3714
"Plambda[8,3]";0.04993965547;0.0341669992308148;0.00671427346925946;0.02521;0.0420749997029115;0.0666224998592888;0.1366
"Plambda[8,4]";0.15152916;0.0580403437383388;0.0595462453875007;0.1094;0.1442;0.185924994958548;0.284522465373061
"Plambda[9,1]";0.48735048;0.0676763859488013;0.353;0.4421;0.488749997442455;0.5332;0.618502499802972
"Plambda[9,2]";0.29519005;0.0588036292475113;0.188;0.254174996311113;0.2922;0.3332;0.418102499708549
"Plambda[9,3]";0.093425023;0.0420975151197478;0.0293794998339964;0.06289;0.08698;0.117624992032013;0.196202499379031
"Plambda[9,4]";0.124034018;0.0479493081148263;0.0490087493778978;0.08981;0.1174;0.152224993842701;0.2364
"Plambda[10,1]";0.65406721;0.0521874446467134;0.546297499776881;0.6202;0.6561;0.690424998642206;0.749702499837449
"Plambda[10,2]";0.21754572;0.0375986259768776;0.147097499171111;0.1914;0.2162;0.2423;0.293202499584421
"Plambda[10,3]";0.02845806749;0.0216254551287428;0.00298467430800266;0.0130074992790772;0.0227149994497028;0.0380549990147568;0.0864467397426423
"Plambda[10,4]";0.099928983;0.0474973998340416;0.03178;0.06516;0.0921049998642853;0.126;0.211002499422573
"Plambda[11,1]";0.46262956;0.0667761663008965;0.330894998526159;0.4181;0.4623;0.507824998154013;0.5924
"Plambda[11,2]";0.42361162;0.0652562526569423;0.298697499591892;0.3798;0.4223;0.4669;0.554002499780035
"Plambda[11,3]";0.01724020561247;0.0166251143597004;0.000466302100345791;0.00507024983355526;0.01237;0.02409;0.0618012495072406
"Plambda[11,4]";0.0965190015;0.043708422851525;0.0316194998457612;0.06538;0.08958;0.1196;0.202
"Plambda[12,1]";0.55348769;0.0431817476927148;0.466397499738653;0.5247;0.5548;0.5837;0.6346
"Plambda[12,2]";0.36964154;0.0400374921105937;0.292297499582954;0.342;0.3687;0.3964;0.4487
"Plambda[12,3]";0.0126806162001;0.012957389367225;0.000296996804098079;0.00366399959046229;0.00865399948000923;0.01732;0.04778
"Plambda[12,4]";0.0641901898;0.0351022077281432;0.0188697499353908;0.0392649990447888;0.0562099991104785;0.08086;0.150804996770061
"Plambda[13,1]";0.54189522;0.0466988264648151;0.4506;0.5111;0.5422;0.573;0.633602499807667
"Plambda[13,2]";0.41241295;0.0440086027386578;0.328997499629485;0.3805;0.412849996972266;0.4428;0.500802499756671
"Plambda[13,3]";0.00978472458588;0.0112985044724861;0.000162394996995717;0.00233274995980564;0.00599749997915798;0.01304;0.0438704998889096
"Plambda[13,4]";0.03590672882;0.0267250024693224;0.00600594999188134;0.0171;0.02836;0.0468724998000036;0.1089
"Plambda[14,1]";0.50783308;0.0594768615969281;0.387397499685349;0.468874998000391;0.5084;0.5478;0.6242
"Plambda[14,2]";0.29166771;0.0483504239764841;0.201397499394663;0.2589;0.2902;0.3235;0.390502499687953
