"Année","Tacon 0+","Smolts (tous)","Smolts 1+","1HM (échappement)","PHM (échappement)"
1993,10810,NA,NA,NA,NA
1994,20510,NA,NA,436,47
1995,10740,6155,5768,651,40
1996,14880,2013,1580,582,57
1997,10180,9996,9826,410,28
1998,6805,4893,3896,503,21
1999,10890,2616,1708,231,65
2000,21430,3062,2699,260,5
2001,3239,11810,10960,282,31
2002,19320,1263,738,561,21
2003,15360,10160,9906,226,39
2004,25820,7891,7256,1019,53
2005,15710,10790,7807,417,95
2006,16950,7216,4893,817,75
2007,27040,7572,4075,426,78
2008,22860,10480,6721,274,71
2009,18930,13740,11610,263,102
2010,23380,10580,7603,700,62
2011,36270,8872,6789,355,196
2012,33180,8299,6377,348,115
2013,27220,8469,6518,577,96
2014,27760,10280,7409,625,125
2015,46810,6623,4757,527,137
2016,21980,9781,8579,489,67
2017,25880,6266,3702,769,124
2018,17610,5163,3871,283,120
2019,49330,5265,2768,213,34
2020,15640,9355,8362,429,36
2021,34690,8261,4257,379,36
