"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1993,10080,NA,NA,NA,NA,NA
1994,18540,NA,499,76,454,49
1995,9365,6218,754,94,635,39
1996,13680,2005,683,87,567,62
1997,9311,9966,452,72,405,30
1998,6138,4771,561,28,488,22
1999,10080,2614,257,102,229,68
2000,19480,3169,311,47,269,5
2001,3183,12000,309,40,274,31
2002,18000,1244,587,23,560,21
2003,14190,10120,227,58,226,38
2004,23890,7832,1120,64,1023,52
2005,14630,10760,456,128,420,96
2006,15720,7139,892,103,818,71
2007,24700,7551,485,93,432,79
2008,21280,10520,290,87,277,72
2009,17570,13690,269,116,262,102
2010,21380,10540,768,66,700,62
2011,33180,8817,388,216,354,193
2012,30700,8150,386,144,350,112
2013,25070,8288,610,106,578,98
2014,25530,10260,690,137,631,123
2015,43270,6608,600,174,524,137
2016,20440,9773,624,87,494,68
2017,23860,6228,956,142,773,124
2018,16150,4889,306,151,286,126
2019,45660,5105,233,45,214,33
2020,14330,5051,442,44,435,38
