"","2.5%","25%","50%","75%","97.5%"
"1993",7917.95,10037.5,11430,12980,16810
"1994",14269.75,18460,21030,24140,31630
"1995",7867.92,9633.75,10700,11932.5,14850.25
"1996",10290,12770,14300,16110,20390.25
"1997",6198.97,8241.75,9595.5,11150,15080
"1998",4813.97,5991,6735,7611.25,9700.4
"1999",7343.82,9807,11415,13300,18060.25
"2000",16199.75,19550,21630,24030,29710.5
"2001",2343.97,2865,3188.5,3555,4428.05
"2002",13980,16960,18765,20860,25650
"2003",7997.97,11580,14010,16910,24770.25
"2004",19680,23290,25575,28250,34700
"2005",9665.87,12720,14760,17070,22880
"2006",11670,14490,16210,18250,23010.25
"2007",20229.75,24630,27460,30622.5,38300
"2008",17339.75,20510,22530,24750,30260
"2009",13489.75,16370,18240,20340,25300
"2010",17609.75,20937.5,22960,25360,30740
"2011",27789.25,32700,35700,39260,47900.75
"2012",24659.75,30400,33910,37990,47970.25
"2013",20640,24430,26745,29502.5,35860.25
"2014",21339.75,25210,27690,30500,37340
"2015",35109.5,43037.5,48095,53850,68050
"2016",16730,19830,21625,23770,28800.5
"2017",19899.75,23510,25830,28600,34940
"2018",13280,15880,17440,19240,23660
"2019",36589.75,45290,50625,57000,72490
"2020",11740,14340,15930,17720,21920
"2021",26090,32420,36310,40672.5,50830.75
"2022",16459.5,19947.5,22140,24610,30470.5
"2023",8728.9,11480,13245,15280,20040.25
"2024",7267.87,9582.75,11085,12830,17080.25
