"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1993,10180,NA,NA,NA,NA,NA
1994,18740,NA,509,80,466,53
1995,9441,6227,776,90,659,38
1996,13550,2002,696,82,580,57
1997,9155,9964,461,71,414,31
1998,6158,4769,573,27,501,21
1999,10230,2614,257,98,230,66
2000,19530,3170,305,48,263,7
2001,3182,11980,323,41,288,32
2002,17850,1243,595,22,568,20
2003,13850,10120,224,57,223,38
2004,23920,7833,1115,65,1019,53
2005,14380,10750,452,129,417,98
2006,15530,7147,889,109,815,77
2007,24850,7546,485,94,433,80
2008,21310,10520,286,87,272,72
2009,17450,13680,263,116,256,102
2010,21340,10550,763,66,696,61
2011,33150,8847,386,215,353,192
2012,30930,8148,381,149,345,117
2013,25050,8303,602,105,570,97
2014,25550,10250,683,137,625,124
2015,43500,6609,597,175,523,139
2016,20350,9770,618,87,492,68
2017,23900,6230,952,142,776,123
2018,16150,4894,298,149,279,124
2019,46010,5102,229,46,210,34
