## Mettre à jour en recopiant les 17 dernières lignes pour les colonnes Z, S, H /!\ Conserver l'ordre;;;;;;;
## Y est l'année donc ajouter le nouvel index de l'année (17 lignes);;;;;;;
## Site: mettre à jour en incrémentant de un en un (17 lignes);;;;;;;
## Nat: idem que Site;;;;;;;
Site;Nat;Comp;Res;Y;Z;S;H
212;212;;;20;4;486.4;2
213;213;;;20;4;84.7;2
214;214;;;20;4;2066;2
215;215;;;8;5;710;1
216;216;;;8;5;596;1
217;217;;;8;5;762;2
218;218;;;9;5;710;1
219;219;;;9;5;596;1
220;220;;;9;5;762;2
221;221;;;10;5;710;1
222;222;;;10;5;518;1
223;223;;;10;5;123;2
224;224;;;10;5;840;2
225;225;;;11;5;931;1
226;226;;;11;5;483;1
227;227;;;11;5;123;2
228;228;;;11;5;875;2
229;229;;;12;5;1064;1
230;230;;;12;5;405;1
231;231;;;12;5;123;2
232;232;;;12;5;953;2
233;233;;;14;5;931;1
234;234;;;14;5;405;1
235;235;;;14;5;123;2
236;236;;;14;5;953;2
237;237;;;17;5;931;1
238;238;;;17;5;518;1
239;239;;;17;5;123;2
240;240;;;17;5;164;2
241;241;;;18;5;931;1
242;242;;;18;5;518;1
243;243;;;18;5;123;2
244;244;;;18;5;840;2
245;245;;;20;5;156;1
246;246;;;20;5;123;2
247;247;;;20;5;1202;2
248;;1;;13;3;362;1
249;;2;;13;3;247;1
250;;3;;13;3;209.13;1
251;;4;;13;3;1462;1
252;;5;;13;3;574;1
253;;6;;13;3;232;2
254;;7;;13;3;185.87;2
255;;8;;13;3;706;2
256;;9;;15;3;362;1
257;;10;;15;3;209.13;1
258;;11;;15;3;1462;1
259;;12;;15;3;574;1
260;;13;;15;3;232;2
261;;14;;15;3;185.87;2
262;;15;;15;3;706;2
263;;16;;16;3;362;1
264;;17;;16;3;209.13;1
265;;18;;16;3;1462;1
266;;19;;16;3;574;1
267;;20;;16;3;232;2
268;;21;;16;3;697.87;2
269;;22;;16;3;706;2
270;;23;;13;4;523;1
271;;24;;13;4;1138;1
272;;25;;13;4;911;1
273;;26;;13;4;858;1
274;;27;;13;4;195;2
275;;28;;13;4;531;2
276;;29;;13;4;756;2
277;;30;;15;4;523;1
278;;31;;15;4;1138;1
279;;32;;15;4;465;1
280;;33;;15;4;364.4;1
281;;34;;15;4;858;1
282;;35;;15;4;195;2
283;;36;;15;4;531;2
284;;37;;15;4;1856.6;2
285;;38;;16;4;523;1
286;;39;;16;4;1138;1
287;;40;;16;4;465;1
288;;41;;16;4;911;1
289;;42;;16;4;858;1
290;;43;;16;4;195;2
291;;44;;16;4;531;2
292;;45;;16;4;2066;2
293;;46;;17;4;523;1
294;;47;;17;4;1138;1
295;;48;;17;4;465;1
296;;49;;17;4;911;1
297;;50;;17;4;858;1
298;;51;;17;4;195;2
299;;52;;17;4;531;2
300;;53;;17;4;2066;2
301;;54;;19;4;523;1
302;;55;;19;4;1138;1
303;;56;;19;4;465;1
304;;57;;19;4;911;1
305;;58;;19;4;858;1
306;;59;;19;4;195;2
307;;60;;19;4;570;2
308;;61;;19;4;2066;2
309;;62;;21;4;195;2
310;;63;;21;4;531;2
311;;64;;21;4;2066;2
312;;65;;22;4;465;1
313;;66;;22;4;911;1
314;;67;;22;4;195;2
315;;68;;22;4;531;2
316;;69;;22;4;2066;2
317;;70;;13;5;931;1
318;;71;;13;5;405;1
319;;72;;13;5;953;2
320;;73;;15;5;710;1
321;;74;;15;5;682;1
322;;75;;15;5;123;2
323;;76;;15;5;676;2
324;;77;;16;5;710;1
325;;78;;16;5;405;1
326;;79;;16;5;123;2
327;;80;;16;5;277;2
328;;81;;19;5;931;1
329;;82;;19;5;156;1
330;;83;;19;5;123;2
331;;84;;19;5;1202;2
332;;85;;21;5;123;2
333;;86;;21;5;867;2
334;;87;;22;5;518;1
335;;88;;22;5;123;2
336;;89;;22;5;840;2
337;;;1;3;4;523;1
338;;;2;3;4;1138;1
339;;;3;3;4;465;1
340;;;4;3;4;911;1
341;;;5;3;4;858;1
342;;;6;3;4;195;2
343;;;7;3;4;366;2
344;;;8;3;4;1191;2
345;;;9;4;4;523;1
346;;;10;4;4;1138;1
347;;;11;4;4;465;1
348;;;12;4;4;911;1
349;;;13;4;4;858;1
350;;;14;4;4;195;2
351;;;15;4;4;366;2
352;;;16;4;4;999;2
353;;;17;5;4;523;1
354;;;18;5;4;1285;1
355;;;19;5;4;465;1
356;;;20;5;4;911;1
357;;;21;5;4;858;1
358;;;22;5;4;195;2
359;;;23;5;4;366;2
360;;;24;5;4;1191;2
361;;;25;6;4;532;1
362;;;26;6;4;1138;1
363;;;27;6;4;465;1
364;;;28;6;4;911;1
365;;;29;6;4;858;1
366;;;30;6;4;195;2
367;;;31;6;4;366;2
368;;;32;6;4;1191;2
369;;;33;7;4;523;1
370;;;34;7;4;1138;1
371;;;35;7;4;465;1
372;;;36;7;4;911;1
373;;;37;7;4;858;1
374;;;38;7;4;195;2
375;;;39;7;4;366;2
376;;;40;7;4;1191;2
377;;;41;3;5;931;1
378;;;42;3;5;448;1
379;;;43;3;5;123;2
380;;;44;3;5;910;2
381;;;45;4;5;931;1
382;;;46;4;5;604;1
383;;;47;4;5;123;2
384;;;48;4;5;754;2
385;;;49;5;5;931;1
386;;;50;5;5;518;1
387;;;51;5;5;123;2
388;;;52;5;5;840;2
389;;;53;6;5;710;1
390;;;54;6;5;518;1
391;;;55;6;5;123;2
392;;;56;6;5;840;2
393;;;57;7;5;710;1
394;;;58;7;5;596;1
395;;;59;7;5;123;2
396;;;60;7;5;762;2
397;;;61;8;7;191;1
398;;;62;8;7;185;2
399;;;63;9;7;191;1
400;;;64;9;7;185;2
401;;;65;11;7;191;1
402;;;66;11;7;185;2
403;;;67;6;8;132.3;1
404;;;68;6;8;120;1
405;;;69;6;8;259.3;1
406;;;70;6;8;235;1
407;;;71;6;8;162.3;1
408;;;72;6;8;108.8;1
409;;;73;6;8;155.2;2
410;;;74;6;8;78;2
411;;;75;6;8;287.6;2
412;;;76;6;8;102.7;2
413;;;77;6;8;125.9;2
414;;;78;6;8;42.6;2
415;;;79;11;8;514;1
416;;;80;11;8;271;1
417;;;81;11;8;79;2
418;;;82;11;8;45;2
419;;;83;12;8;257;1
420;;;84;12;8;928;1
421;;;85;12;8;144;2
422;;;86;12;8;256;2
423;248;;;20;3;209.13;1
424;249;;;20;3;1462;1
425;250;;;21;3;430;1
426;251;;;21;3;1462;1
427;252;;;22;3;441.13;1
428;253;;;22;3;1462;1
429;254;;;20;4;523;1
430;255;;;20;4;1182.6;1
431;256;;;20;4;380.3;1
432;257;;;20;4;911;1
433;258;;;20;4;858;1
434;259;;;20;5;931;1
435;;90;;21;4;523;1
436;;91;;21;4;1138;1
437;;92;;21;4;228;1
438;;93;;21;4;911;1
439;;94;;21;4;858;1
440;;95;;22;4;523;1
441;;96;;22;4;1138;1
442;;97;;22;4;858;1
443;;98;;21;5;710;1
444;;99;;21;5;405;1
445;;100;;22;5;931;1
446;260;;;20;3;884;1
447;261;;;22;3;449;1
448;262;;;22;3;341;1
449;263;;;23;3;462;1
450;264;;;23;3;1462;1
451;265;;;23;3;449;1
452;266;;;23;3;341;1
453;267;;;20;4;457;1
454;268;;;20;4;777;1
455;269;;;20;5;325;1
456;270;;;23;5;931;1
457;271;;;23;5;230;1
458;272;;;23;5;325;1
459;;101;;24;3;462;1
460;;102;;24;3;1462;1
461;;103;;24;3;449;1
462;;104;;24;3;341;1
463;;105;;25;3;462;1
464;;106;;25;3;1462;1
465;;107;;25;3;449;1
466;;108;;25;3;341;1
467;;109;;22;4;660;1
468;;110;;22;4;290;1
469;;111;;22;4;629;1
470;;112;;22;4;479;1
471;;113;;22;4;1542;1
472;;114;;22;4;457;1
473;;115;;22;4;777;1
474;;116;;23;4;660;1
475;;117;;23;4;523;1
476;;118;;23;4;1138;1
477;;119;;23;4;290;1
478;;120;;23;4;629;1
479;;121;;23;4;479;1
480;;122;;23;4;1542;1
481;;123;;23;4;457;1
482;;124;;23;4;777;1
483;;125;;23;4;858;1
484;;126;;24;4;660;1
485;;127;;24;4;523;1
486;;128;;24;4;1138;1
487;;129;;24;4;68;1
488;;130;;24;4;629;1
489;;131;;24;4;479;1
490;;132;;24;4;1542;1
491;;133;;24;4;457;1
492;;134;;24;4;777;1
493;;135;;24;4;858;1
494;;136;;25;4;660;1
495;;137;;25;4;523;1
496;;138;;25;4;1138;1
497;;139;;25;4;68;1
498;;140;;25;4;629;1
499;;141;;25;4;479;1
500;;142;;25;4;1542;1
501;;143;;25;4;457;1
502;;144;;25;4;777;1
503;;145;;25;4;858;1
504;;146;;22;5;230;1
505;;147;;22;5;325;1
506;;148;;24;5;931;1
507;;149;;24;5;230;1
508;;150;;24;5;325;1
509;;151;;25;5;931;1
510;;152;;25;5;230;1
511;;153;;25;5;325;1
