"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"
232200	161100	572400	284400	257400	577800	707400	747900	927000	1333000	970200	818100	603900	321300	343800	476100	423000	572400	1152000	387900	252000	311400	270900	185400	340200	242100	350100	293400	162900	483300	349200	305100	207000	252900	224100	310500	382500	232200
263700	176400	485100	297900	211500	567000	871200	577800	802800	1267000	9e+05	727200	616500	328500	346500	500400	481500	579600	1028000	406800	238500	270900	225000	187200	300600	244800	355500	321300	212400	444600	354600	295200	250200	254700	260100	322200	387000	184500
222300	193500	666900	281700	315000	553500	785700	706500	736200	1503000	883800	748800	639900	333000	351000	462600	441000	527400	1137000	369900	254700	312300	245700	178200	338400	214200	349200	316800	185400	420300	347400	318600	261900	233100	251100	260100	495000	214200
220500	166500	549000	284400	184500	684000	766800	800100	848700	1300000	1036000	656100	639000	345600	396900	437400	459900	514800	991800	430200	291600	291600	231300	198900	301500	221400	348300	326700	178200	482400	372600	312300	261900	265500	219600	284400	420300	180900
192600	210600	549900	368100	168300	614700	784800	740700	779400	1281000	894600	723600	608400	331200	360000	423000	393300	515700	1101000	394200	270900	327600	275400	191700	285300	212400	369000	321300	333900	454500	418500	392400	258300	226800	244800	305100	381600	170100
224100	270000	630000	269100	220500	505800	883800	639000	713700	1418000	976500	671400	642600	316800	371700	432000	408600	532800	1095000	446400	246600	343800	228600	175500	309600	220500	391500	373500	268200	487800	409500	449100	217800	224100	263700	288000	390600	186300
216900	230400	505800	258300	288900	602100	904500	657900	778500	1296000	936000	694800	597600	316800	403200	497700	381600	565200	1039000	429300	272700	276300	273600	176400	302400	213300	360900	316800	264600	459900	387000	389700	225000	241200	302400	245700	420300	163800
293400	217800	585900	259200	252000	583200	693900	625500	797400	1330000	965700	726300	633600	315000	384300	443700	388800	512100	1016000	394200	267300	303300	303300	179100	291600	215100	414900	297900	224100	423000	422100	458100	241200	243000	316800	252000	375300	216000
213300	178200	506700	228600	177300	515700	710100	603900	777600	1321000	996300	841500	644400	342000	339300	419400	527400	509400	1016000	380700	252900	305100	227700	167400	324000	192600	392400	293400	277200	433800	493200	374400	213300	291600	233100	287100	546300	197100
378000	162900	602100	381600	301500	614700	737100	693900	928800	1364000	1009000	675000	657900	363600	349200	460800	379800	549000	1055000	471600	254700	364500	221400	193500	292500	261000	366300	302400	209700	432000	411300	336600	224100	222300	253800	242100	395100	177300
279000	304200	540900	296100	240300	616500	738000	661500	802800	1384000	930600	774900	621000	329400	387000	494100	494100	585900	1034000	378000	250200	285300	242100	208800	342000	232200	367200	325800	338400	478800	376200	355500	269100	232200	237600	298800	489600	162000
285300	216000	574200	530100	216000	667800	816300	796500	925200	1397000	856800	745200	633600	335700	369000	428400	393300	589500	1088000	382500	252900	264600	291600	194400	334800	230400	339300	300600	227700	505800	431100	400500	240300	275400	335700	261000	346500	168300
233100	193500	566100	240300	206100	730800	738000	651600	768600	1446000	985500	768600	631800	329400	334800	447300	444600	539100	1139000	372600	338400	300600	290700	211500	319500	194400	355500	360000	198900	470700	376200	356400	216900	228600	250200	257400	659700	171000
222300	179100	645300	300600	251100	720900	805500	691200	770400	1373000	850500	745200	666000	340200	366300	425700	450900	506700	1116000	423000	280800	268200	218700	218700	306900	248400	390600	324000	279900	540900	324900	304200	206100	275400	217800	281700	488700	140400
243000	177300	532800	267300	183600	608400	771300	570600	847800	1311000	1002000	721800	685800	382500	376200	479700	427500	524700	1108000	382500	296100	280800	221400	246600	336600	220500	334800	309600	216000	438300	310500	304200	213300	275400	239400	284400	450000	134100
270000	250200	630000	306900	187200	540900	816300	679500	778500	1467000	1057000	779400	654300	333900	371700	459900	486900	518400	1015000	451800	289800	324900	297900	178200	335700	237600	369900	322200	185400	367200	342000	394200	236700	231300	261900	239400	378900	186300
240300	204300	577800	297000	195300	527400	698400	707400	795600	1268000	992700	632700	616500	322200	332100	464400	405000	497700	1031000	373500	288000	256500	243900	190800	318600	205200	353700	315000	234900	459000	431100	385200	214200	254700	219600	333900	425700	175500
229500	151200	654300	396900	281700	756900	646200	648000	755100	1497000	951300	690300	611100	342000	364500	467100	405000	482400	1065000	389700	250200	306000	288000	177300	332100	213300	395100	358200	230400	418500	401400	414900	226800	226800	232200	359100	407700	217800
247500	216900	564300	365400	180900	632700	704700	617400	778500	1461000	999900	746100	599400	324000	332100	424800	592200	518400	1024000	429300	268200	304200	228600	174600	299700	194400	366300	333000	230400	422100	339300	304200	209700	327600	234000	248400	324000	183600
190800	169200	520200	312300	201600	578700	718200	600300	818100	1284000	784800	661500	606600	315000	358200	460800	465300	547200	1062000	391500	293400	282600	238500	179100	312300	180000	359100	319500	259200	424800	424800	268200	284400	279900	266400	306900	363600	147600
