"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mup_11_1","0.239","0.043","0.162","0.209","0.236","0.266","0.329","1.001","55000"
"sigmap_11_1","0.558","0.1","0.379","0.494","0.551","0.613","0.778","1.001","78000"
"mup_11_2","0.106","0.014","0.08","0.096","0.105","0.115","0.135","1.001","1e+05"
"sigmap_11_2","0.544","0.088","0.374","0.487","0.541","0.597","0.729","1.001","3400"
"mupi_U[1]","0.885","0.014","0.856","0.876","0.885","0.894","0.91","1.001","1e+05"
"mupi_U[2]","0.822","0.027","0.765","0.804","0.823","0.841","0.872","1.001","4300"
"sigmapi_U[1]","0.542","0.074","0.403","0.493","0.54","0.588","0.697","1.001","16000"
"sigmapi_U[2]","0.538","0.088","0.368","0.482","0.536","0.592","0.72","1.001","10000"
"sigmapi_Ol","0.638","0.133","0.45","0.552","0.615","0.697","0.969","1.001","13000"
"eps_Ol[29]","0.927","0.67","-0.338","0.473","0.909","1.363","2.299","1.001","22000"
"eps_Ol[30]","1.652","0.629","0.487","1.219","1.63","2.062","2.948","1.001","5300"
"eps_Ol[31]","0.032","0.6","-1.116","-0.372","0.023","0.427","1.239","1.001","1e+05"
"eps_Ol[32]","0.097","0.614","-1.1","-0.314","0.091","0.5","1.329","1.001","1e+05"
"eps_Ol[33]","-0.394","0.677","-1.671","-0.851","-0.417","0.039","1.004","1.001","1e+05"
"eps_Ol[34]","0.099","0.705","-1.184","-0.379","0.059","0.543","1.596","1.001","5800"
"eps_Ol[35]","-0.559","0.68","-1.849","-1.014","-0.58","-0.123","0.841","1.001","1e+05"
"eps_Ol[36]","-0.182","0.591","-1.307","-0.577","-0.196","0.2","1.023","1.001","1e+05"
"eps_Ol[37]","-0.116","0.601","-1.287","-0.522","-0.119","0.285","1.074","1.001","12000"
"eps_Ol[38]","-1.984","0.777","-3.431","-2.508","-2.012","-1.495","-0.351","1.001","32000"
"eps_Ol[39]","0.533","0.668","-0.744","0.083","0.518","0.969","1.891","1.001","7900"
"eps_Ol[40]","-1.121","0.758","-2.567","-1.629","-1.14","-0.63","0.435","1.001","1e+05"
"mupi_EF","0.245","0.043","0.168","0.216","0.243","0.272","0.338","1.001","1e+05"
"sigmapi_EF","0.591","0.108","0.422","0.522","0.578","0.643","0.844","1.001","18000"
"mup_n12[1]","0.707","0.033","0.639","0.685","0.708","0.73","0.769","1.001","22000"
"mup_n12[2]","0.601","0.035","0.531","0.579","0.602","0.625","0.667","1.001","62000"
"mup_n12[3]","0.574","0.065","0.445","0.53","0.574","0.618","0.7","1.001","1e+05"
"mup_n12[4]","0.512","0.04","0.435","0.485","0.512","0.538","0.593","1.001","1e+05"
"sigmap_12[1]","0.616","0.098","0.46","0.549","0.604","0.669","0.845","1.001","67000"
"sigmap_12[2]","0.578","0.083","0.432","0.522","0.572","0.627","0.764","1.001","29000"
"sigmap_12[3]","0.658","0.183","0.437","0.547","0.616","0.713","1.15","1.001","4600"
"sigmap_12[4]","0.61","0.099","0.448","0.542","0.598","0.663","0.841","1.001","12000"
"mup_21","0.659","0.029","0.6","0.64","0.659","0.679","0.716","1.001","16000"
"sigmap_21","0.563","0.083","0.414","0.508","0.558","0.613","0.742","1.001","23000"
"p_11_1[1]","0.227","0.051","0.135","0.191","0.224","0.26","0.333","1.001","1e+05"
"p_11_1[2]","0.213","0.06","0.109","0.169","0.208","0.252","0.341","1.001","7300"
