"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mup_11_1","0.239","0.043","0.162","0.209","0.237","0.266","0.33","1.001","6100"
"sigmap_11_1","0.561","0.104","0.375","0.495","0.554","0.617","0.79","1.001","10000"
"mup_11_2","0.105","0.014","0.079","0.096","0.105","0.114","0.136","1.001","3200"
"sigmap_11_2","0.549","0.092","0.373","0.49","0.545","0.604","0.743","1.001","20000"
"mupi_U[1]","0.885","0.014","0.856","0.876","0.886","0.895","0.911","1.001","12000"
"mupi_U[2]","0.829","0.026","0.774","0.812","0.83","0.847","0.877","1.001","20000"
"sigmapi_U[1]","0.552","0.076","0.412","0.501","0.549","0.6","0.711","1.001","20000"
"sigmapi_U[2]","0.537","0.093","0.353","0.478","0.536","0.594","0.725","1.001","9700"
"sigmapi_Ol","0.678","0.151","0.478","0.577","0.647","0.742","1.06","1.001","20000"
"eps_Ol[17]","2.041","0.549","1","1.659","2.03","2.402","3.174","1.001","4800"
"eps_Ol[29]","0.882","0.653","-0.352","0.437","0.876","1.305","2.212","1.001","20000"
"eps_Ol[30]","1.603","0.626","0.429","1.175","1.582","2.012","2.891","1.001","20000"
"eps_Ol[31]","0.013","0.582","-1.127","-0.374","0.005","0.39","1.171","1.001","20000"
"eps_Ol[32]","0.027","0.592","-1.12","-0.371","0.023","0.414","1.212","1.001","5100"
"eps_Ol[33]","-0.294","0.662","-1.555","-0.738","-0.31","0.126","1.06","1.001","20000"
"eps_Ol[34]","0.25","0.682","-1.019","-0.214","0.22","0.685","1.665","1.001","13000"
"eps_Ol[35]","-0.428","0.651","-1.678","-0.862","-0.439","-0.01","0.91","1.001","20000"
"eps_Ol[36]","-0.082","0.578","-1.177","-0.476","-0.096","0.29","1.111","1.001","20000"
"eps_Ol[37]","-0.243","0.576","-1.372","-0.632","-0.248","0.14","0.888","1.001","20000"
"eps_Ol[38]","-1.712","0.719","-3.095","-2.199","-1.725","-1.241","-0.234","1.001","10000"
"mupi_EF","0.245","0.044","0.167","0.215","0.242","0.272","0.339","1.001","20000"
"sigmapi_EF","0.596","0.109","0.421","0.525","0.582","0.649","0.851","1.001","20000"
"mup_n12[1]","0.714","0.033","0.647","0.692","0.715","0.736","0.776","1.001","20000"
"mup_n12[2]","0.606","0.035","0.536","0.584","0.607","0.629","0.673","1.001","20000"
"mup_n12[3]","0.584","0.066","0.453","0.54","0.586","0.629","0.712","1.001","20000"
"mup_n12[4]","0.509","0.04","0.43","0.482","0.508","0.536","0.589","1.001","16000"
"sigmap_12[1]","0.619","0.098","0.461","0.552","0.606","0.672","0.849","1.001","20000"
"sigmap_12[2]","0.581","0.085","0.433","0.524","0.575","0.631","0.769","1.001","15000"
"sigmap_12[3]","0.67","0.19","0.442","0.554","0.625","0.729","1.184","1.001","20000"
"sigmap_12[4]","0.608","0.099","0.443","0.541","0.597","0.662","0.84","1.001","20000"
"mup_21","0.65","0.03","0.591","0.63","0.65","0.67","0.707","1.001","8800"
"sigmap_21","0.56","0.083","0.404","0.504","0.556","0.611","0.734","1.001","20000"
"p_11_1[1]","0.228","0.051","0.135","0.192","0.225","0.26","0.334","1.001","20000"
"p_11_1[2]","0.214","0.06","0.111","0.171","0.209","0.251","0.342","1.001","9300"
"p_11_1[3]","0.249","0.049","0.159","0.214","0.248","0.282","0.351","1.001","9100"
"p_11_1[4]","0.154","0.04","0.084","0.125","0.151","0.179","0.241","1.001","20000"
"p_11_1[5]","0.283","0.056","0.18","0.245","0.281","0.32","0.398","1.001","20000"
"p_11_1[6]","0.35","0.057","0.243","0.31","0.348","0.387","0.464","1.001","20000"
"p_11_1[7]","0.178","0.058","0.081","0.137","0.172","0.214","0.304","1.001","4400"
"p_11_1[8]","0.282","0.057","0.176","0.242","0.28","0.319","0.398","1.001","20000"
"p_11_2[9]","0.138","0.049","0.061","0.103","0.132","0.166","0.251","1.001","20000"
"p_11_2[10]","0.141","0.029","0.089","0.12","0.139","0.16","0.203","1.001","9600"
"p_11_2[11]","0.157","0.037","0.093","0.131","0.155","0.181","0.237","1.001","20000"
"p_11_2[12]","0.115","0.035","0.056","0.09","0.112","0.137","0.192","1.001","20000"
"p_11_2[13]","0.074","0.023","0.037","0.057","0.071","0.088","0.127","1.001","20000"
"p_11_2[14]","0.071","0.029","0.027","0.05","0.067","0.087","0.138","1.001","7100"
"p_11_2[15]","0.102","0.032","0.05","0.079","0.098","0.121","0.174","1.001","20000"
"p_11_2[16]","0.109","0.035","0.052","0.084","0.106","0.13","0.188","1.001","20000"
"p_11_2[17]","0.099","0.033","0.045","0.075","0.095","0.119","0.175","1.001","20000"
"p_11_2[18]","0.135","0.036","0.074","0.109","0.132","0.157","0.213","1.001","20000"
"p_11_2[19]","0.118","0.029","0.068","0.097","0.115","0.136","0.18","1.001","20000"
"p_11_2[20]","0.163","0.048","0.082","0.128","0.158","0.194","0.271","1.001","20000"
"p_11_2[21]","0.14","0.046","0.065","0.106","0.135","0.167","0.243","1.001","20000"
"p_11_2[22]","0.178","0.056","0.084","0.137","0.172","0.212","0.305","1.002","2500"
"p_11_2[23]","0.16","0.052","0.075","0.122","0.153","0.192","0.277","1.001","10000"
"p_11_2[24]","0.15","0.052","0.067","0.112","0.144","0.18","0.267","1.001","20000"
"p_11_2[25]","0.147","0.05","0.066","0.111","0.142","0.178","0.259","1.001","20000"
"p_11_2[26]","0.122","0.047","0.049","0.088","0.115","0.149","0.231","1.001","20000"
"p_11_2[27]","0.118","0.038","0.055","0.091","0.114","0.141","0.203","1.001","9200"
"p_11_2[28]","0.107","0.041","0.043","0.078","0.102","0.131","0.202","1.001","14000"
"p_11_2[29]","0.082","0.038","0.027","0.055","0.077","0.103","0.173","1.001","20000"
"p_11_2[30]","0.074","0.029","0.029","0.053","0.071","0.091","0.142","1.001","20000"
"p_11_2[31]","0.062","0.026","0.021","0.042","0.058","0.076","0.123","1.001","20000"
"p_11_2[32]","0.111","0.042","0.045","0.081","0.106","0.136","0.209","1.001","20000"
"p_11_2[33]","0.081","0.037","0.027","0.055","0.076","0.102","0.169","1.001","20000"
"p_11_2[34]","0.097","0.045","0.032","0.065","0.089","0.121","0.207","1.001","20000"
"p_11_2[35]","0.098","0.042","0.036","0.068","0.092","0.121","0.196","1.001","5200"
"p_11_2[36]","0.099","0.042","0.036","0.069","0.093","0.122","0.199","1.001","11000"
"p_11_2[37]","0.073","0.031","0.027","0.051","0.069","0.09","0.145","1.001","8100"
"p_11_2[38]","0.093","0.043","0.03","0.062","0.086","0.116","0.197","1.001","20000"
"pi_U[1,1]","0.898","0.036","0.815","0.877","0.902","0.924","0.955","1.001","10000"
"pi_U[1,2]","0.845","0.067","0.688","0.806","0.854","0.893","0.947","1.001","20000"
"pi_U[2,1]","0.9","0.045","0.793","0.876","0.908","0.933","0.966","1.001","3900"
"pi_U[2,2]","0.858","0.06","0.719","0.823","0.866","0.901","0.95","1.001","20000"
"pi_U[3,1]","0.877","0.038","0.792","0.854","0.88","0.904","0.939","1.001","20000"
"pi_U[3,2]","0.865","0.056","0.738","0.832","0.872","0.906","0.952","1.001","4500"
"pi_U[4,1]","0.882","0.036","0.802","0.861","0.886","0.908","0.941","1.001","20000"
"pi_U[4,2]","0.845","0.06","0.708","0.809","0.852","0.888","0.94","1.001","20000"
"pi_U[5,1]","0.804","0.053","0.69","0.771","0.809","0.842","0.894","1.001","20000"
"pi_U[5,2]","0.782","0.074","0.615","0.737","0.79","0.836","0.905","1.001","20000"
"pi_U[6,1]","0.915","0.031","0.843","0.896","0.919","0.938","0.964","1.001","20000"
"pi_U[6,2]","0.808","0.064","0.664","0.769","0.815","0.854","0.914","1.001","17000"
"pi_U[7,1]","0.876","0.034","0.801","0.855","0.879","0.901","0.934","1.001","20000"
"pi_U[7,2]","0.86","0.058","0.725","0.826","0.867","0.902","0.952","1.001","9600"
"pi_U[8,1]","0.925","0.032","0.85","0.907","0.93","0.948","0.973","1.001","20000"
"pi_U[8,2]","0.775","0.076","0.606","0.728","0.783","0.829","0.9","1.001","20000"
"pi_U[9,1]","0.86","0.029","0.798","0.842","0.862","0.881","0.912","1.001","20000"
"pi_U[9,2]","0.862","0.052","0.744","0.831","0.868","0.9","0.945","1.001","2800"
"pi_U[10,1]","0.843","0.024","0.793","0.827","0.844","0.86","0.887","1.001","20000"
"pi_U[10,2]","0.788","0.075","0.619","0.742","0.796","0.842","0.909","1.001","12000"
"pi_U[11,1]","0.834","0.036","0.758","0.81","0.836","0.859","0.899","1.001","20000"
"pi_U[11,2]","0.804","0.071","0.645","0.76","0.812","0.855","0.919","1.001","20000"
"pi_U[12,1]","0.921","0.021","0.874","0.907","0.923","0.936","0.957","1.001","20000"
"pi_U[12,2]","0.748","0.077","0.579","0.701","0.756","0.804","0.876","1.001","16000"
"pi_U[13,1]","0.938","0.019","0.896","0.926","0.939","0.951","0.969","1.001","20000"
"pi_U[13,2]","0.831","0.053","0.711","0.798","0.837","0.869","0.921","1.001","20000"
"pi_U[14,1]","0.938","0.022","0.887","0.924","0.94","0.954","0.973","1.001","20000"
"pi_U[14,2]","0.838","0.071","0.669","0.798","0.848","0.889","0.945","1.001","20000"
"pi_U[15,1]","0.915","0.024","0.864","0.901","0.917","0.932","0.955","1.001","19000"
"pi_U[15,2]","0.737","0.094","0.524","0.681","0.749","0.806","0.887","1.001","20000"
"pi_U[16,1]","0.89","0.027","0.831","0.873","0.892","0.909","0.936","1.001","20000"
"pi_U[16,2]","0.729","0.078","0.561","0.68","0.736","0.785","0.862","1.001","20000"
"pi_U[17,1]","0.864","0.053","0.739","0.833","0.871","0.903","0.946","1.001","4400"
"pi_U[17,2]","0.819","0.079","0.632","0.774","0.831","0.876","0.939","1.001","20000"
"pi_U[18,1]","0.886","0.026","0.83","0.869","0.887","0.904","0.931","1.001","20000"
"pi_U[18,2]","0.779","0.071","0.619","0.734","0.787","0.83","0.894","1.001","20000"
"pi_U[19,1]","0.764","0.029","0.705","0.744","0.764","0.784","0.818","1.001","20000"
"pi_U[19,2]","0.838","0.059","0.703","0.803","0.845","0.88","0.932","1.001","5100"
"pi_U[20,1]","0.893","0.044","0.79","0.868","0.9","0.926","0.96","1.001","6600"
"pi_U[20,2]","0.899","0.041","0.807","0.874","0.904","0.928","0.963","1.001","20000"
"pi_U[21,1]","0.884","0.039","0.797","0.861","0.889","0.912","0.946","1.001","13000"
"pi_U[21,2]","0.861","0.059","0.723","0.827","0.869","0.904","0.951","1.001","20000"
"pi_U[22,1]","0.877","0.037","0.793","0.854","0.88","0.904","0.939","1.001","9600"
"pi_U[22,2]","0.842","0.069","0.68","0.804","0.852","0.892","0.946","1.001","20000"
