"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"sex_ratio_MSW[41]","0.262","0.053","0.179","0.225","0.257","0.29","0.387","1.001","6900"
"pmale_1SW[1]","0.364","0.023","0.323","0.348","0.363","0.378","0.411","1.001","3700"
"pmale_1SW[2]","0.552","0.031","0.49","0.531","0.553","0.573","0.614","1.001","6900"
"pmale_1SW[3]","0.492","0.019","0.457","0.479","0.491","0.504","0.528","1.001","6900"
"pmale_1SW[4]","0.38","0.019","0.346","0.367","0.379","0.392","0.418","1.001","6900"
"pmale_1SW[5]","0.551","0.032","0.49","0.529","0.55","0.573","0.615","1.001","3900"
"pmale_1SW[6]","0.496","0.024","0.448","0.479","0.496","0.512","0.544","1.001","3700"
"pmale_1SW[7]","0.424","0.017","0.392","0.412","0.423","0.435","0.458","1.001","6900"
"pmale_1SW[8]","0.479","0.025","0.43","0.462","0.479","0.497","0.53","1.001","6900"
"pmale_1SW[9]","0.468","0.016","0.437","0.457","0.468","0.478","0.5","1.001","6900"
"pmale_1SW[10]","0.423","0.012","0.4","0.415","0.423","0.431","0.446","1.002","2100"
"pmale_1SW[11]","0.448","0.016","0.418","0.437","0.448","0.458","0.48","1.001","6900"
"pmale_1SW[12]","0.457","0.014","0.432","0.448","0.457","0.467","0.486","1.001","6900"
"pmale_1SW[13]","0.42","0.011","0.401","0.413","0.42","0.427","0.444","1.001","6900"
"pmale_1SW[14]","0.368","0.014","0.343","0.358","0.367","0.376","0.4","1.001","6900"
"pmale_1SW[15]","0.523","0.014","0.497","0.513","0.523","0.532","0.553","1.001","6900"
"pmale_1SW[16]","0.523","0.015","0.494","0.513","0.522","0.532","0.555","1.001","2900"
"pmale_1SW[17]","0.558","0.02","0.519","0.544","0.557","0.571","0.599","1.001","6900"
"pmale_1SW[18]","0.537","0.015","0.508","0.527","0.537","0.547","0.569","1.001","6900"
"pmale_1SW[19]","0.519","0.013","0.493","0.51","0.519","0.528","0.546","1.001","6900"
"pmale_1SW[20]","0.43","0.042","0.355","0.4","0.429","0.454","0.516","1.001","6900"
"pmale_1SW[21]","0.471","0.025","0.425","0.454","0.471","0.488","0.521","1.001","6900"
"pmale_1SW[22]","0.442","0.026","0.394","0.424","0.442","0.459","0.495","1.001","6900"
"pmale_1SW[23]","0.531","0.038","0.458","0.5","0.531","0.556","0.608","1.001","3400"
"pmale_1SW[24]","0.523","0.029","0.467","0.5","0.523","0.541","0.581","1.001","6900"
"pmale_1SW[25]","0.438","0.033","0.375","0.415","0.438","0.459","0.507","1.001","6900"
"pmale_1SW[26]","0.63","0.029","0.569","0.612","0.63","0.648","0.685","1.001","6900"
"pmale_1SW[27]","0.529","0.017","0.497","0.518","0.529","0.54","0.563","1.001","6900"
"pmale_1SW[28]","0.382","0.03","0.327","0.359","0.381","0.4","0.447","1.001","6900"
"pmale_1SW[29]","0.638","0.054","0.529","0.603","0.639","0.676","0.737","1.001","6900"
"pmale_1SW[30]","0.468","0.033","0.404","0.447","0.468","0.489","0.536","1.001","6900"
