model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 44 s
model is updating
5000 updates took 223 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	d_Sc_pred[4,6]	6.058	2.14	2.733	5.805	11.06	10000
	d_Sc_pred[4,7]	11.29	4.385	4.748	10.67	21.4	10000
	d_Sc_pred[4,8]	12.59	3.678	6.683	12.16	21.31	10000
	d_Sc_pred[4,9]	2.369	0.8936	1.046	2.236	4.45	10000
	d_Sc_pred[4,10]	13.08	3.489	7.521	12.64	21.22	10000
	d_Sc_pred[4,11]	8.744	3.011	4.168	8.248	16.0	10000
	d_Sc_pred[4,12]	23.43	5.804	13.64	23.12	36.88	10000
	d_Sc_pred[4,13]	12.43	3.612	6.85	11.92	21.02	10000
	d_Sc_pred[4,14]	11.04	3.024	6.138	10.65	17.75	10000
	d_Sc_pred[4,15]	24.35	6.62	13.5	23.64	38.41	10000
	d_Sc_pred[4,16]	14.98	3.945	8.573	14.54	24.64	10000
	d_Sc_pred[4,17]	14.27	3.693	8.208	13.96	22.41	10000
	d_Sc_pred[4,18]	11.82	3.237	6.669	11.44	18.88	10000
	d_Sc_pred[4,19]	35.04	7.728	21.76	34.47	51.57	10000
	d_Sc_pred[4,20]	35.27	9.557	19.73	33.98	57.38	10000
	d_Sc_pred[4,21]	26.59	6.09	16.17	26.21	38.94	10000
	d_Sc_pred[4,22]	27.68	6.683	15.86	26.78	42.25	10000
	d_Sc_pred[4,23]	38.28	9.952	21.85	37.12	60.32	10000
	d_Sc_pred[4,24]	14.12	3.643	8.162	13.77	21.61	10000
	d_Sc_pred[4,25]	29.59	7.165	17.48	29.02	44.0	10000
	d_Sc_pred[5,1]	4.718	1.801	2.049	4.432	9.036	10000
	d_Sc_pred[5,2]	9.544	3.351	4.45	9.057	16.83	10000
	d_Sc_pred[5,3]	5.543	1.888	2.637	5.285	9.678	10000
	d_Sc_pred[5,4]	5.356	1.689	2.706	5.144	9.078	10000
	d_Sc_pred[5,5]	5.797	1.948	2.802	5.511	10.43	10000
	d_Sc_pred[5,6]	3.842	1.448	1.692	3.603	7.285	10000
	d_Sc_pred[5,7]	6.987	2.844	2.899	6.496	13.29	10000
	d_Sc_pred[5,8]	12.53	3.697	6.6	12.12	20.82	10000
	d_Sc_pred[5,9]	1.656	0.6529	0.6895	1.546	3.183	10000
	d_Sc_pred[5,10]	12.29	3.329	6.937	11.91	19.9	10000
	d_Sc_pred[5,11]	9.988	3.474	4.905	9.43	17.76	10000
	d_Sc_pred[5,12]	15.88	4.339	8.521	15.41	25.44	10000
	d_Sc_pred[5,13]	10.77	3.23	5.586	10.33	18.21	10000
	d_Sc_pred[5,14]	6.867	2.075	3.636	6.608	11.52	10000
	d_Sc_pred[5,15]	13.09	4.006	6.809	12.54	21.5	10000
	d_Sc_pred[5,16]	16.11	4.401	8.969	15.67	25.25	10000
	d_Sc_pred[5,17]	10.47	2.889	5.809	10.14	16.78	10000
	d_Sc_pred[5,18]	17.07	4.403	9.837	16.72	25.7	10000
	d_Sc_pred[5,19]	28.22	6.626	17.02	27.5	41.9	10000
	d_Sc_pred[5,20]	20.13	6.057	10.49	19.48	33.79	10000
	d_Sc_pred[5,21]	12.21	3.318	6.779	11.86	19.23	10000
	d_Sc_pred[5,22]	15.05	4.089	8.331	14.65	24.45	10000
	d_Sc_pred[5,23]	20.89	6.058	11.25	20.14	33.47	10000
	d_Sc_pred[5,24]	11.92	3.254	6.571	11.52	19.02	10000
	d_Sc_pred[5,25]	17.41	4.697	9.489	17.0	27.71	10000
	d_Sc_pred[6,1]	4.948	1.876	2.211	4.653	9.459	10000
	d_Sc_pred[6,2]	8.205	2.992	3.778	7.744	15.27	10000
	d_Sc_pred[6,3]	3.511	1.313	1.596	3.296	6.592	10000
	d_Sc_pred[6,4]	3.606	1.242	1.725	3.428	6.391	10000
	d_Sc_pred[6,5]	4.641	1.578	2.223	4.42	8.22	10000
	d_Sc_pred[6,6]	2.977	1.145	1.303	2.802	5.624	10000
	d_Sc_pred[6,7]	5.307	2.217	2.125	4.91	10.73	10000
	d_Sc_pred[6,8]	12.85	3.876	6.594	12.26	21.44	10000
	d_Sc_pred[6,9]	2.034	0.8084	0.8427	1.899	3.999	10000
	d_Sc_pred[6,10]	9.264	2.642	5.065	8.988	14.91	10000
	d_Sc_pred[6,11]	10.47	3.649	5.096	9.871	19.22	10000
	d_Sc_pred[6,12]	7.213	2.322	3.648	6.863	12.24	10000
	d_Sc_pred[6,13]	10.24	3.089	5.325	9.89	17.02	10000
	d_Sc_pred[6,14]	7.626	2.267	4.068	7.323	13.03	10000
	d_Sc_pred[6,15]	14.6	4.437	7.429	14.09	24.58	10000
	d_Sc_pred[6,16]	22.2	6.021	12.11	21.69	34.36	10000
	d_Sc_pred[6,17]	13.24	3.65	7.139	12.85	21.66	10000
	d_Sc_pred[6,18]	10.24	2.916	5.674	9.905	16.75	10000
	d_Sc_pred[6,19]	27.59	6.669	16.67	27.25	42.14	10000
	d_Sc_pred[6,20]	19.74	5.996	10.56	18.91	33.28	10000
	d_Sc_pred[6,21]	13.86	3.744	7.89	13.52	22.13	10000
	d_Sc_pred[6,22]	12.45	3.59	6.65	11.92	20.75	10000
	d_Sc_pred[6,23]	21.0	6.138	11.19	20.29	34.46	10000
	d_Sc_pred[6,24]	8.019	2.367	4.269	7.704	13.59	10000
	d_Sc_pred[6,25]	13.13	3.704	7.058	12.78	21.57	10000
	d_Sc_pred[7,1]	3.058	1.232	1.304	2.852	5.965	10000
	d_Sc_pred[7,2]	4.544	1.824	1.915	4.235	8.923	10000
	d_Sc_pred[7,3]	2.202	0.8782	0.9305	2.048	4.219	10000
	d_Sc_pred[7,4]	3.724	1.26	1.799	3.544	6.731	10000
	d_Sc_pred[7,5]	2.232	0.8475	0.9867	2.1	4.269	10000
	d_Sc_pred[7,6]	2.093	0.8499	0.8688	1.957	4.132	10000
	d_Sc_pred[7,7]	3.392	1.457	1.329	3.134	7.01	10000
	d_Sc_pred[7,8]	6.688	2.198	3.303	6.415	11.65	10000
	d_Sc_pred[7,9]	1.223	0.5042	0.4929	1.142	2.446	10000
	d_Sc_pred[7,10]	6.996	2.121	3.611	6.778	11.76	10000
	d_Sc_pred[7,11]	5.83	2.135	2.663	5.482	10.88	10000
	d_Sc_pred[7,12]	9.177	2.815	4.678	8.881	14.75	10000
	d_Sc_pred[7,13]	8.447	2.681	4.303	8.058	14.73	10000
	d_Sc_pred[7,14]	5.815	1.805	2.971	5.576	9.789	10000
	d_Sc_pred[7,15]	10.36	3.345	5.127	9.936	18.07	10000
	d_Sc_pred[7,16]	11.07	3.317	5.627	10.69	18.2	10000
	d_Sc_pred[7,17]	7.198	2.188	3.705	6.939	12.34	10000
	d_Sc_pred[7,18]	6.902	2.09	3.589	6.658	11.33	10000
	d_Sc_pred[7,19]	11.78	3.272	6.452	11.5	19.12	10000
	d_Sc_pred[7,20]	13.3	4.241	6.728	12.7	23.3	10000
	d_Sc_pred[7,21]	8.796	2.547	4.619	8.51	14.25	10000
	d_Sc_pred[7,22]	6.337	2.061	3.107	6.06	10.55	10000
	d_Sc_pred[7,23]	19.1	5.698	10.09	18.39	31.62	10000
	d_Sc_pred[7,24]	8.234	2.448	4.242	7.976	13.8	10000
	d_Sc_pred[7,25]	10.38	3.127	5.341	10.01	17.34	10000
	d_Sc_pred[8,1]	2.608	1.076	1.074	2.417	5.19	10000
	d_Sc_pred[8,2]	5.282	2.048	2.314	4.939	9.793	10000
	d_Sc_pred[8,3]	2.277	0.9123	0.9786	2.123	4.44	10000
	d_Sc_pred[8,4]	3.202	1.103	1.507	3.049	5.753	10000
	d_Sc_pred[8,5]	2.2	0.8445	0.9612	2.059	4.191	10000
	d_Sc_pred[8,6]	2.246	0.8904	0.9493	2.099	4.36	10000
