model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 44 s
model is updating
5000 updates took 223 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	d_Sc_pred[14,25]	19.29	4.905	10.97	18.81	30.23	10000
	d_Sc_pred[15,1]	6.156	2.315	2.727	5.767	11.59	10000
	d_Sc_pred[15,2]	9.54	3.388	4.336	9.034	17.48	10000
	d_Sc_pred[15,3]	5.824	1.982	2.818	5.572	10.13	10000
	d_Sc_pred[15,4]	17.4	4.679	9.567	16.98	29.98	10000
	d_Sc_pred[15,5]	13.45	4.122	7.032	13.0	23.1	10000
	d_Sc_pred[15,6]	7.4	2.767	3.152	7.012	13.78	10000
	d_Sc_pred[15,7]	7.106	2.768	2.994	6.633	15.47	10000
	d_Sc_pred[15,8]	12.93	3.819	7.169	12.42	21.09	10000
	d_Sc_pred[15,9]	1.963	0.751	0.859	1.842	3.665	10000
	d_Sc_pred[15,10]	16.99	4.391	9.647	16.5	26.79	10000
	d_Sc_pred[15,11]	6.157	2.242	2.907	5.78	11.49	10000
	d_Sc_pred[15,12]	14.95	4.081	8.489	14.55	24.07	10000
	d_Sc_pred[15,13]	7.947	2.468	4.119	7.575	13.72	10000
	d_Sc_pred[15,14]	14.35	3.818	7.983	13.88	22.17	10000
	d_Sc_pred[15,15]	23.84	6.574	12.65	23.2	38.43	10000
	d_Sc_pred[15,16]	16.91	4.548	9.497	16.36	26.97	10000
	d_Sc_pred[15,17]	8.459	2.462	4.563	8.154	13.38	10000
	d_Sc_pred[15,18]	19.48	4.877	11.4	18.99	28.96	10000
	d_Sc_pred[15,19]	18.78	4.634	11.2	18.31	28.61	10000
	d_Sc_pred[15,20]	12.64	4.127	6.451	12.07	22.43	10000
	d_Sc_pred[15,21]	15.58	4.07	8.82	15.21	24.14	10000
	d_Sc_pred[15,22]	16.07	4.344	9.413	15.62	26.14	10000
	d_Sc_pred[15,23]	26.98	7.478	15.19	26.06	43.71	10000
	d_Sc_pred[15,24]	14.58	3.819	8.227	14.16	22.48	10000
	d_Sc_pred[15,25]	19.43	5.161	10.98	18.77	31.2	10000
	d_Sc_pred[16,1]	7.449	2.731	3.398	6.988	13.42	10000
	d_Sc_pred[16,2]	11.05	3.707	5.28	10.55	19.09	10000
	d_Sc_pred[16,3]	3.878	1.446	1.744	3.653	7.289	10000
	d_Sc_pred[16,4]	13.93	3.771	7.517	13.44	22.25	10000
	d_Sc_pred[16,5]	5.73	1.887	2.813	5.466	10.13	10000
	d_Sc_pred[16,6]	5.871	2.154	2.548	5.534	10.84	10000
	d_Sc_pred[16,7]	6.103	2.42	2.54	5.671	12.14	10000
	d_Sc_pred[16,8]	11.77	3.501	6.202	11.32	19.37	10000
	d_Sc_pred[16,9]	2.589	0.995	1.125	2.426	4.841	10000
	d_Sc_pred[16,10]	12.44	3.326	6.971	12.08	18.82	10000
	d_Sc_pred[16,11]	9.171	3.155	4.502	8.675	16.57	10000
	d_Sc_pred[16,12]	23.47	5.974	13.34	23.03	36.36	10000
	d_Sc_pred[16,13]	7.355	2.251	3.844	7.057	12.51	10000
	d_Sc_pred[16,14]	18.64	4.749	10.75	18.21	28.99	10000
	d_Sc_pred[16,15]	25.43	6.983	13.78	24.7	40.52	10000
	d_Sc_pred[16,16]	11.99	3.311	6.764	11.57	19.18	10000
	d_Sc_pred[16,17]	9.364	2.63	5.129	9.057	15.13	10000
	d_Sc_pred[16,18]	17.2	4.315	9.992	16.95	25.67	10000
	d_Sc_pred[16,19]	15.86	4.092	9.116	15.44	24.58	10000
	d_Sc_pred[16,20]	14.98	4.592	7.82	14.36	25.63	10000
	d_Sc_pred[16,21]	17.72	4.446	10.11	17.26	27.79	10000
	d_Sc_pred[16,22]	12.82	3.543	7.08	12.42	20.85	10000
	d_Sc_pred[16,23]	31.2	8.322	17.4	30.33	49.46	10000
	d_Sc_pred[16,24]	14.15	3.681	8.031	13.81	22.23	10000
	d_Sc_pred[16,25]	17.43	4.609	9.745	17.05	27.8	10000
	d_Sc_pred[17,1]	4.39	1.717	1.89	4.099	8.363	10000
	d_Sc_pred[17,2]	10.94	3.962	4.995	10.26	19.78	10000
	d_Sc_pred[17,3]	2.546	1.024	1.081	2.379	4.971	10000
	d_Sc_pred[17,4]	8.377	2.559	4.234	8.076	13.97	10000
	d_Sc_pred[17,5]	4.363	1.519	2.06	4.157	8.016	10000
	d_Sc_pred[17,6]	5.948	2.638	2.097	5.558	12.32	10000
	d_Sc_pred[17,7]	3.098	1.409	1.182	2.851	6.556	10000
	d_Sc_pred[17,8]	10.31	3.269	5.004	9.914	17.71	10000
	d_Sc_pred[17,9]	1.535	0.6254	0.6478	1.427	2.991	10000
	d_Sc_pred[17,10]	8.202	2.351	4.378	7.943	13.43	10000
	d_Sc_pred[17,11]	4.507	1.722	2.014	4.204	8.643	10000
	d_Sc_pred[17,12]	15.4	4.33	8.197	15.08	25.59	10000
	d_Sc_pred[17,13]	8.117	2.509	4.207	7.775	13.92	10000
	d_Sc_pred[17,14]	9.575	2.775	5.104	9.226	15.75	10000
	d_Sc_pred[17,15]	13.74	4.218	7.019	13.18	23.82	10000
	d_Sc_pred[17,16]	9.924	2.962	5.21	9.538	16.35	10000
	d_Sc_pred[17,17]	9.796	2.831	5.169	9.47	15.77	10000
	d_Sc_pred[17,18]	10.53	3.01	5.774	10.21	16.61	10000
	d_Sc_pred[17,19]	12.9	3.532	7.151	12.51	21.21	10000
	d_Sc_pred[17,20]	13.0	4.264	6.336	12.48	21.67	10000
	d_Sc_pred[17,21]	9.133	2.617	5.033	8.818	15.42	10000
	d_Sc_pred[17,22]	9.347	2.818	4.88	9.006	15.93	10000
	d_Sc_pred[17,23]	18.69	5.632	9.934	17.96	31.77	10000
	d_Sc_pred[17,24]	7.912	2.398	4.173	7.602	13.42	10000
	d_Sc_pred[17,25]	8.769	2.703	4.583	8.431	14.67	10000
	d_Sc_pred[18,1]	5.925	2.188	2.668	5.617	11.12	10000
	d_Sc_pred[18,2]	9.813	3.452	4.782	9.279	18.17	10000
	d_Sc_pred[18,3]	3.777	1.376	1.711	3.581	7.027	10000
	d_Sc_pred[18,4]	13.84	3.791	7.576	13.44	22.13	10000
	d_Sc_pred[18,5]	9.305	2.984	4.595	8.904	16.36	10000
	d_Sc_pred[18,6]	5.764	2.234	2.331	5.465	10.88	10000
	d_Sc_pred[18,7]	6.049	2.46	2.47	5.633	12.02	10000
	d_Sc_pred[18,8]	23.31	6.324	12.34	23.01	36.82	10000
	d_Sc_pred[18,9]	1.718	0.6701	0.7372	1.611	3.239	10000
	d_Sc_pred[18,10]	10.02	2.74	5.462	9.775	15.76	10000
	d_Sc_pred[18,11]	9.347	3.17	4.628	8.832	16.76	10000
	d_Sc_pred[18,12]	14.47	3.974	7.926	14.02	23.34	10000
	d_Sc_pred[18,13]	8.391	2.536	4.355	8.099	14.25	10000
	d_Sc_pred[18,14]	10.42	2.883	5.724	10.11	16.74	10000
	d_Sc_pred[18,15]	16.65	4.874	8.738	16.13	27.43	10000
	d_Sc_pred[18,16]	11.15	3.13	5.867	10.74	18.22	10000
	d_Sc_pred[18,17]	10.18	2.817	5.738	9.883	16.73	10000
	d_Sc_pred[18,18]	12.61	3.383	7.096	12.31	19.9	10000
	d_Sc_pred[18,19]	13.41	3.403	7.823	13.01	20.96	10000
	d_Sc_pred[18,20]	12.26	3.871	6.256	11.74	20.28	10000
	d_Sc_pred[18,21]	11.7	3.162	6.58	11.39	18.75	10000
	d_Sc_pred[18,22]	16.35	4.288	9.277	15.94	25.9	10000
	d_Sc_pred[18,23]	22.22	6.307	12.43	21.43	36.19	10000
	d_Sc_pred[18,24]	9.902	2.739	5.495	9.599	16.1	10000
	d_Sc_pred[18,25]	10.63	3.065	5.683	10.27	17.68	10000
	d_Sc_pred[19,1]	6.367	2.326	2.872	6.015	11.36	10000
	d_Sc_pred[19,2]	14.86	4.907	7.145	14.23	26.07	10000
	d_Sc_pred[19,3]	6.013	2.031	2.927	5.701	10.74	10000
	d_Sc_pred[19,4]	12.21	3.3	6.688	11.92	19.8	10000
	d_Sc_pred[19,5]	10.07	3.141	5.078	9.666	17.4	10000
	d_Sc_pred[19,6]	4.671	1.674	2.123	4.434	8.761	10000
	d_Sc_pred[19,7]	6.749	2.7	2.883	6.277	13.11	10000
	d_Sc_pred[19,8]	24.82	6.738	13.19	24.22	39.36	10000
	d_Sc_pred[19,9]	2.838	1.101	1.201	2.667	5.399	10000
	d_Sc_pred[19,10]	18.24	4.534	10.39	17.89	28.33	10000
	d_Sc_pred[19,11]	10.34	3.481	5.124	9.8	18.78	10000
	d_Sc_pred[19,12]	18.95	4.994	10.7	18.46	29.64	10000
	d_Sc_pred[19,13]	9.323	2.73	5.08	9.001	15.64	10000
	d_Sc_pred[19,14]	8.671	2.419	4.76	8.36	14.0	10000
	d_Sc_pred[19,15]	15.9	4.632	8.365	15.36	26.5	10000
	d_Sc_pred[19,16]	13.47	3.623	7.484	13.04	21.62	10000
	d_Sc_pred[19,17]	12.09	3.145	6.804	11.82	18.86	10000
	d_Sc_pred[19,18]	15.04	3.821	8.705	14.58	23.32	10000
	d_Sc_pred[19,19]	16.31	4.092	9.747	15.83	25.48	10000
	d_Sc_pred[19,20]	12.78	4.008	6.54	12.15	21.67	10000
	d_Sc_pred[19,21]	14.49	3.77	8.209	14.09	22.63	10000
	d_Sc_pred[19,22]	18.81	4.89	10.67	18.44	29.62	10000
	d_Sc_pred[19,23]	16.54	5.094	8.659	15.87	28.4	10000
	d_Sc_pred[19,24]	10.78	2.929	6.004	10.49	17.58	10000
	d_Sc_pred[19,25]	9.832	2.909	5.141	9.511	15.91	10000
	d_Sc_pred[20,1]	7.087	2.788	2.909	6.624	13.69	10000
	d_Sc_pred[20,2]	9.961	3.543	4.479	9.485	18.08	10000
	d_Sc_pred[20,3]	4.411	1.575	2.002	4.183	7.993	10000
	d_Sc_pred[20,4]	12.32	3.525	6.361	12.05	19.42	10000
	d_Sc_pred[20,5]	5.587	1.866	2.717	5.323	9.895	10000
	d_Sc_pred[20,6]	3.386	1.289	1.46	3.167	6.419	10000
	d_Sc_pred[20,7]	5.541	2.31	2.251	5.128	11.04	10000
	d_Sc_pred[20,8]	12.65	3.807	6.524	12.22	20.84	10000
	d_Sc_pred[20,9]	1.752	0.7025	0.7348	1.636	3.416	10000
	d_Sc_pred[20,10]	9.424	2.633	5.018	9.152	15.21	10000
	d_Sc_pred[20,11]	9.346	3.204	4.493	8.926	17.05	10000
	d_Sc_pred[20,12]	17.89	4.916	9.305	17.57	28.64	10000
	d_Sc_pred[20,13]	11.21	3.331	5.798	10.83	18.5	10000
	d_Sc_pred[20,14]	5.907	1.819	3.061	5.671	9.908	10000
	d_Sc_pred[20,15]	11.87	3.707	5.955	11.46	20.46	10000
	d_Sc_pred[20,16]	7.544	2.347	3.814	7.263	12.99	10000
	d_Sc_pred[20,17]	8.751	2.472	4.697	8.475	14.12	10000
	d_Sc_pred[20,18]	9.397	2.667	5.116	9.092	15.11	10000
	d_Sc_pred[20,19]	12.25	3.248	6.886	11.91	19.16	10000
	d_Sc_pred[20,20]	8.868	3.129	4.077	8.417	16.05	10000
	d_Sc_pred[20,21]	9.764	2.758	5.356	9.428	15.81	10000
	d_Sc_pred[20,22]	9.861	2.895	5.291	9.506	16.45	10000
	d_Sc_pred[20,23]	13.2	4.106	6.745	12.73	22.57	10000
	d_Sc_pred[20,24]	11.37	3.153	6.13	11.07	18.44	10000
	d_Sc_pred[20,25]	7.558	2.402	3.816	7.265	12.8	10000
	d_Sc_pred[21,1]	7.572	2.834	3.351	7.118	14.44	10000
	d_Sc_pred[21,2]	11.45	3.974	5.374	10.98	20.71	10000
	d_Sc_pred[21,3]	5.184	1.773	2.476	4.92	9.23	10000
	d_Sc_pred[21,4]	10.93	3.109	5.891	10.62	17.85	10000
	d_Sc_pred[21,5]	6.033	1.985	2.949	5.76	10.62	10000
	d_Sc_pred[21,6]	3.923	1.489	1.708	3.682	7.459	10000
	d_Sc_pred[21,7]	8.565	3.537	3.463	7.883	16.83	10000
	d_Sc_pred[21,8]	21.28	5.992	10.9	20.81	34.1	10000
	d_Sc_pred[21,9]	1.49	0.5959	0.6157	1.391	2.852	10000
	d_Sc_pred[21,10]	8.722	2.421	4.747	8.474	14.18	10000
	d_Sc_pred[21,11]	13.06	4.342	6.541	12.41	23.54	10000
	d_Sc_pred[21,12]	16.2	4.391	8.813	15.75	25.96	10000
	d_Sc_pred[21,13]	9.409	2.804	4.956	9.055	15.97	10000
	d_Sc_pred[21,14]	9.923	2.736	5.467	9.617	16.18	10000
	d_Sc_pred[21,15]	15.84	4.573	8.313	15.24	26.04	10000
	d_Sc_pred[21,16]	17.27	4.552	9.592	16.9	26.87	10000
	d_Sc_pred[21,17]	8.022	2.313	4.249	7.74	13.3	10000
	d_Sc_pred[21,18]	10.97	2.994	6.057	10.61	17.51	10000
	d_Sc_pred[21,19]	13.0	3.441	7.42	12.71	19.99	10000
	d_Sc_pred[21,20]	12.35	3.978	6.179	11.78	21.14	10000
	d_Sc_pred[21,21]	14.16	3.601	8.147	13.83	22.01	10000
	d_Sc_pred[21,22]	12.74	3.544	7.021	12.33	20.2	10000
	d_Sc_pred[21,23]	18.3	5.322	9.906	17.64	30.33	10000
	d_Sc_pred[21,24]	15.22	3.973	8.516	14.86	23.99	10000
	d_Sc_pred[21,25]	14.93	4.096	8.048	14.64	23.74	10000
	d_Sc_pred[22,1]	5.613	2.156	2.44	5.279	10.68	10000
	d_Sc_pred[22,2]	7.83	2.869	3.595	7.38	14.35	10000
	d_Sc_pred[22,3]	3.702	1.35	1.692	3.512	6.792	10000
	d_Sc_pred[22,4]	8.595	2.541	4.49	8.314	14.31	10000
	d_Sc_pred[22,5]	5.651	1.902	2.672	5.441	10.0	10000
	d_Sc_pred[22,6]	2.934	1.124	1.245	2.752	5.708	10000
	d_Sc_pred[22,7]	4.762	1.958	1.952	4.408	9.438	10000
	d_Sc_pred[22,8]	19.68	5.851	9.894	19.0	32.32	10000
	d_Sc_pred[22,9]	1.36	0.552	0.5637	1.268	2.72	10000
	d_Sc_pred[22,10]	7.818	2.283	4.156	7.508	13.09	10000
	d_Sc_pred[22,11]	6.219	2.222	2.939	5.866	11.7	10000
	d_Sc_pred[22,12]	12.94	3.665	6.977	12.48	20.98	10000
	d_Sc_pred[22,13]	4.647	1.553	2.308	4.417	8.178	10000
	d_Sc_pred[22,14]	7.932	2.358	4.206	7.671	13.32	10000
	d_Sc_pred[22,15]	12.09	3.823	6.045	11.62	20.86	10000
	d_Sc_pred[22,16]	7.346	2.266	3.779	7.101	12.35	10000
	d_Sc_pred[22,17]	4.771	1.559	2.357	4.564	8.112	10000
	d_Sc_pred[22,18]	12.01	3.303	6.562	11.7	19.0	10000
	d_Sc_pred[22,19]	15.9	4.129	9.199	15.47	25.18	10000
	d_Sc_pred[22,20]	14.17	4.427	7.101	13.61	24.08	10000
	d_Sc_pred[22,21]	15.24	4.0	8.741	15.0	23.68	10000
	d_Sc_pred[22,22]	14.88	4.046	8.074	14.46	23.65	10000
	d_Sc_pred[22,23]	31.75	8.793	17.42	30.95	53.07	10000
	d_Sc_pred[22,24]	9.182	2.66	4.95	8.857	14.78	10000
	d_Sc_pred[22,25]	11.44	3.311	6.093	11.13	19.03	10000
	d_Sc_pred[23,1]	3.388	1.412	1.387	3.152	6.631	10000
	d_Sc_pred[23,2]	4.97	1.927	2.083	4.651	9.582	10000
	d_Sc_pred[23,3]	2.302	0.9161	0.9855	2.156	4.55	10000
	d_Sc_pred[23,4]	4.219	1.458	2.002	4.001	7.521	10000
	d_Sc_pred[23,5]	2.489	0.9532	1.076	2.342	4.746	10000
	d_Sc_pred[23,6]	1.354	0.5844	0.5217	1.254	2.756	10000
	d_Sc_pred[23,7]	3.481	1.596	1.273	3.182	7.274	10000
	d_Sc_pred[23,8]	4.363	1.569	1.946	4.123	7.893	10000
	d_Sc_pred[23,9]	0.7759	0.3337	0.3039	0.7174	1.578	10000
	d_Sc_pred[23,10]	4.09	1.367	1.953	3.892	7.336	10000
	d_Sc_pred[23,11]	3.977	1.521	1.762	3.715	7.589	10000
	d_Sc_pred[23,12]	7.413	2.431	3.636	7.112	13.13	10000
	d_Sc_pred[23,13]	2.805	1.031	1.268	2.624	5.261	10000
	d_Sc_pred[23,14]	4.519	1.5	2.144	4.323	7.851	10000
	d_Sc_pred[23,15]	5.906	2.069	2.718	5.615	10.92	10000
	d_Sc_pred[23,16]	3.682	1.324	1.711	3.476	6.864	10000
	d_Sc_pred[23,17]	3.113	1.095	1.453	2.942	5.684	10000
	d_Sc_pred[23,18]	6.796	2.153	3.318	6.559	11.79	10000
	d_Sc_pred[23,19]	9.954	2.887	5.226	9.616	16.3	10000
	d_Sc_pred[23,20]	5.627	2.102	2.577	5.247	10.31	10000
	d_Sc_pred[23,21]	10.35	3.179	5.147	10.03	17.56	10000
	d_Sc_pred[23,22]	9.721	3.128	4.731	9.357	16.91	10000
	d_Sc_pred[23,23]	21.9	6.845	10.8	21.02	39.6	10000
	d_Sc_pred[23,24]	7.297	2.299	3.569	7.074	12.47	10000
	d_Sc_pred[23,25]	6.818	2.237	3.211	6.555	11.89	10000
	d_Sc_pred[24,1]	2.499	1.07	1.003	2.314	4.954	10000
	d_Sc_pred[24,2]	5.557	2.257	2.268	5.191	11.39	10000
	d_Sc_pred[24,3]	2.22	0.8731	0.9578	2.086	4.258	10000
	d_Sc_pred[24,4]	3.702	1.296	1.734	3.508	6.675	10000
	d_Sc_pred[24,5]	2.014	0.7748	0.8629	1.898	3.849	10000
	d_Sc_pred[24,6]	1.184	0.5041	0.4716	1.1	2.401	10000
	d_Sc_pred[24,7]	2.212	0.9981	0.8193	2.037	4.611	10000
	d_Sc_pred[24,8]	6.295	2.258	2.859	5.982	11.15	10000
	d_Sc_pred[24,9]	0.7795	0.3329	0.3102	0.721	1.583	10000
	d_Sc_pred[24,10]	3.165	1.099	1.495	3.019	5.724	10000
	d_Sc_pred[24,11]	2.997	1.164	1.315	2.804	5.744	10000
	d_Sc_pred[24,12]	6.076	2.035	2.84	5.817	10.57	10000
	d_Sc_pred[24,13]	3.558	1.264	1.635	3.38	6.527	10000
	d_Sc_pred[24,14]	2.947	1.038	1.381	2.782	5.348	10000
	d_Sc_pred[24,15]	5.223	1.88	2.426	4.949	9.612	10000
	d_Sc_pred[24,16]	3.925	1.411	1.816	3.717	7.318	10000
	d_Sc_pred[24,17]	2.873	1.019	1.331	2.738	5.196	10000
	d_Sc_pred[24,18]	8.826	2.876	4.232	8.468	15.16	10000
	d_Sc_pred[24,19]	8.298	2.506	4.245	7.947	13.8	10000
	d_Sc_pred[24,20]	4.88	1.847	2.205	4.608	8.996	10000
	d_Sc_pred[24,21]	6.831	2.163	3.34	6.58	11.9	10000
	d_Sc_pred[24,22]	9.67	3.229	4.437	9.339	16.95	10000
	d_Sc_pred[24,23]	8.907	2.986	4.183	8.509	15.95	10000
	d_Sc_pred[24,24]	5.459	1.77	2.684	5.226	9.711	10000
	d_Sc_pred[24,25]	5.47	1.869	2.567	5.209	9.64	10000
	d_Sc_pred[25,1]	4.201	1.797	1.667	3.887	8.685	10000
	d_Sc_pred[25,2]	8.471	3.471	3.381	7.894	16.84	10000
	d_Sc_pred[25,3]	2.467	0.958	1.082	2.314	4.792	10000
	d_Sc_pred[25,4]	3.788	1.282	1.788	3.596	6.718	10000
	d_Sc_pred[25,5]	2.165	0.8257	0.9551	2.028	4.157	10000
	d_Sc_pred[25,6]	1.444	0.6117	0.582	1.332	2.919	10000
	d_Sc_pred[25,7]	2.625	1.156	1.011	2.411	5.431	10000
	d_Sc_pred[25,8]	7.105	2.446	3.236	6.837	12.75	10000
	d_Sc_pred[25,9]	0.819	0.3461	0.3212	0.7607	1.625	10000
	d_Sc_pred[25,10]	3.356	1.155	1.553	3.2	6.032	10000
	d_Sc_pred[25,11]	4.593	1.713	2.062	4.313	8.581	10000
	d_Sc_pred[25,12]	4.733	1.629	2.253	4.492	8.331	10000
	d_Sc_pred[25,13]	3.113	1.12	1.457	2.95	5.717	10000
	d_Sc_pred[25,14]	4.164	1.368	2.034	3.99	7.21	10000
	d_Sc_pred[25,15]	8.246	2.784	3.847	7.866	14.64	10000
	d_Sc_pred[25,16]	5.161	1.721	2.484	4.933	9.34	10000
	d_Sc_pred[25,17]	4.087	1.332	1.995	3.9	7.082	10000
	d_Sc_pred[25,18]	8.438	2.643	4.204	8.148	14.45	10000
	d_Sc_pred[25,19]	10.34	2.908	5.541	10.06	16.68	10000
	d_Sc_pred[25,20]	8.652	2.963	4.016	8.211	15.56	10000
	d_Sc_pred[25,21]	9.224	2.761	4.775	8.93	15.53	10000
	d_Sc_pred[25,22]	8.407	2.676	4.158	8.075	14.46	10000
	d_Sc_pred[25,23]	13.94	4.406	6.932	13.44	24.9	10000
	d_Sc_pred[25,24]	7.623	2.408	3.731	7.34	12.99	10000
	d_Sc_pred[25,25]	7.742	2.486	3.79	7.401	13.09	10000
	d_Sc_pred[26,1]	5.649	2.244	2.356	5.274	10.91	10000
	d_Sc_pred[26,2]	15.48	5.964	6.324	14.58	30.19	10000
	d_Sc_pred[26,3]	4.55	1.649	2.056	4.329	8.489	10000
	d_Sc_pred[26,4]	3.493	1.183	1.68	3.337	6.255	10000
	d_Sc_pred[26,5]	1.968	0.7665	0.8286	1.847	3.783	10000
	d_Sc_pred[26,6]	1.861	0.7386	0.7674	1.739	3.579	10000
	d_Sc_pred[26,7]	4.836	2.064	1.914	4.468	9.729	10000
	d_Sc_pred[26,8]	8.63	2.68	4.243	8.355	14.82	10000
	d_Sc_pred[26,9]	1.1	0.455	0.4351	1.027	2.121	10000
	d_Sc_pred[26,10]	6.627	2.025	3.358	6.363	11.25	10000
	d_Sc_pred[26,11]	7.33	2.61	3.427	6.919	13.46	10000
	d_Sc_pred[26,12]	10.24	2.963	5.464	9.884	16.68	10000
	d_Sc_pred[26,13]	6.744	2.142	3.358	6.445	11.48	10000
	d_Sc_pred[26,14]	5.26	1.615	2.722	5.067	8.844	10000
	d_Sc_pred[26,15]	9.979	3.139	5.118	9.578	17.34	10000
	d_Sc_pred[26,16]	8.3	2.487	4.21	7.983	13.88	10000
	d_Sc_pred[26,17]	5.188	1.651	2.633	4.958	8.872	10000
	d_Sc_pred[26,18]	7.203	2.152	3.749	6.945	12.04	10000
	d_Sc_pred[26,19]	14.27	3.674	8.126	13.99	21.76	10000
	d_Sc_pred[26,20]	14.71	4.589	7.298	14.1	25.01	10000
	d_Sc_pred[26,21]	13.86	3.789	7.555	13.49	22.17	10000
	d_Sc_pred[26,22]	12.42	3.555	6.461	12.07	20.4	10000
	d_Sc_pred[26,23]	17.52	5.243	9.104	16.94	29.26	10000
	d_Sc_pred[26,24]	10.43	3.021	5.677	10.09	17.27	10000
	d_Sc_pred[26,25]	14.15	4.045	7.531	13.87	23.5	10000
	d_Sc_pred[27,1]	5.167	1.95	2.221	4.852	9.792	10000
	d_Sc_pred[27,2]	14.0	4.849	6.628	13.34	24.98	10000
	d_Sc_pred[27,3]	3.296	1.24	1.514	3.101	6.263	10000
	d_Sc_pred[27,4]	3.64	1.278	1.744	3.447	6.458	10000
	d_Sc_pred[27,5]	1.795	0.7429	0.7258	1.667	3.493	10000
	d_Sc_pred[27,6]	2.249	0.9161	0.9281	2.101	4.472	10000
	d_Sc_pred[27,7]	6.398	2.642	2.538	5.953	12.56	10000
	d_Sc_pred[27,8]	11.15	3.38	5.796	10.76	18.5	10000
	d_Sc_pred[27,9]	1.332	0.5424	0.551	1.239	2.606	10000
	d_Sc_pred[27,10]	9.773	2.7	5.399	9.502	15.64	10000
	d_Sc_pred[27,11]	9.116	3.178	4.465	8.613	16.66	10000
	d_Sc_pred[27,12]	14.15	3.913	7.765	13.76	23.4	10000
	d_Sc_pred[27,13]	7.834	2.371	4.045	7.515	13.34	10000
	d_Sc_pred[27,14]	9.699	2.727	5.24	9.384	15.73	10000
	d_Sc_pred[27,15]	24.8	7.116	12.56	23.92	40.35	10000
	d_Sc_pred[27,16]	15.3	4.177	8.388	14.82	23.87	10000
	d_Sc_pred[27,17]	8.276	2.395	4.364	7.984	13.43	10000
	d_Sc_pred[27,18]	13.76	3.617	7.692	13.32	21.88	10000
	d_Sc_pred[27,19]	24.85	5.841	14.76	24.43	37.49	10000
	d_Sc_pred[27,20]	20.51	6.122	10.8	19.77	33.95	10000
	d_Sc_pred[27,21]	18.34	4.538	10.62	17.95	28.63	10000
	d_Sc_pred[27,22]	20.96	5.439	11.67	20.45	32.57	10000
	d_Sc_pred[27,23]	25.94	7.283	14.21	25.31	41.71	10000
	d_Sc_pred[27,24]	12.24	3.281	6.858	11.97	19.51	10000
	d_Sc_pred[27,25]	18.01	4.799	9.737	17.49	28.77	10000
	d_Sc_pred[28,1]	5.84	2.407	2.405	5.381	11.62	10000
	d_Sc_pred[28,2]	10.49	3.847	4.774	9.868	19.47	10000
	d_Sc_pred[28,3]	5.034	1.827	2.264	4.792	9.276	10000
	d_Sc_pred[28,4]	5.551	1.733	2.763	5.332	9.647	10000
	d_Sc_pred[28,5]	2.195	0.8484	0.9398	2.06	4.213	10000
	d_Sc_pred[28,6]	2.357	0.9423	0.9888	2.205	4.554	10000
	d_Sc_pred[28,7]	4.088	1.756	1.592	3.755	8.238	10000
	d_Sc_pred[28,8]	7.138	2.351	3.417	6.853	12.45	10000
	d_Sc_pred[28,9]	1.122	0.4661	0.4478	1.042	2.248	10000
	d_Sc_pred[28,10]	9.685	2.833	5.074	9.386	16.06	10000
	d_Sc_pred[28,11]	5.817	2.112	2.743	5.472	10.75	10000
	d_Sc_pred[28,12]	9.203	2.81	4.711	8.81	15.8	10000
	d_Sc_pred[28,13]	4.658	1.563	2.303	4.423	8.346	10000
	d_Sc_pred[28,14]	7.471	2.286	3.828	7.171	12.67	10000
	d_Sc_pred[28,15]	9.607	3.067	4.789	9.188	16.37	10000
	d_Sc_pred[28,16]	9.485	2.825	4.836	9.153	15.85	10000
	d_Sc_pred[28,17]	8.907	2.612	4.776	8.561	14.79	10000
	d_Sc_pred[28,18]	7.786	2.308	4.074	7.523	12.93	10000
	d_Sc_pred[28,19]	15.34	4.052	8.558	14.91	24.25	10000
	d_Sc_pred[28,20]	12.75	4.067	6.405	12.21	21.93	10000
	d_Sc_pred[28,21]	8.806	2.527	4.678	8.481	14.4	10000
	d_Sc_pred[28,22]	9.511	2.837	4.905	9.205	15.75	10000
	d_Sc_pred[28,23]	17.07	5.226	8.778	16.41	28.87	10000
	d_Sc_pred[28,24]	9.51	2.756	4.962	9.245	15.55	10000
	d_Sc_pred[28,25]	14.37	4.27	7.267	13.89	24.26	10000
	d_Sc_pred[29,1]	7.585	2.804	3.438	7.143	13.93	10000
	d_Sc_pred[29,2]	11.99	4.103	5.64	11.4	21.5	10000
	d_Sc_pred[29,3]	7.405	2.449	3.562	7.085	13.09	10000
	d_Sc_pred[29,4]	8.804	2.537	4.671	8.509	14.58	10000
	d_Sc_pred[29,5]	3.533	1.247	1.626	3.353	6.421	10000
	d_Sc_pred[29,6]	3.198	1.213	1.378	3.012	6.126	10000
	d_Sc_pred[29,7]	5.255	2.122	2.163	4.912	10.29	10000
	d_Sc_pred[29,8]	8.483	2.651	4.28	8.137	14.51	10000
	d_Sc_pred[29,9]	1.942	0.7463	0.8378	1.819	3.721	10000
	d_Sc_pred[29,10]	13.43	3.528	7.62	13.07	21.52	10000
	d_Sc_pred[29,11]	10.52	3.534	5.191	10.01	18.99	10000
	d_Sc_pred[29,12]	18.81	4.83	10.66	18.22	29.41	10000
