"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,231,32,225,28
1985,NA,NA,226,70,202,60
1986,NA,828,83,77,64,45
1987,1049,430,171,12,167,12
1988,3247,477,156,83,126,72
1989,4444,867,198,41,177,26
1990,3038,1081,71,20,68,15
1991,1983,226,46,5,46,5
1992,578,853,42,10,35,7
1993,2019,313,116,12,100,9
1994,1424,553,50,14,38,12
1995,2475,1002,141,5,134,4
1996,739,1098,248,8,246,8
1997,3814,286,62,9,39,9
1998,61,822,153,14,150,13
1999,5369,323,202,30,199,28
2000,5021,3220,226,29,225,29
2001,8565,1349,176,15,175,15
2002,1188,2997,284,35,283,34
2003,6006,1325,182,32,180,32
2004,730,1255,324,72,323,72
2005,4764,1022,138,23,137,23
2006,3526,1444,174,36,174,36
2007,6445,1178,182,26,182,26
2008,6977,2068,92,18,91,18
2009,5286,2816,130,23,130,23
2010,8355,1055,486,22,480,21
2011,7007,1441,203,69,202,69
2012,8929,1488,200,49,200,49
2013,10290,970,261,61,257,61
2014,10570,1200,218,52,218,52
2015,7986,2089,118,42,118,42
2016,3232,890,270,29,270,29
2017,3269,1270,207,42,207,42
2018,5427,800,176,38,176,38
2019,4602,1168,159,32,159,32
2020,8305,1605,151,22,147,22
2021,3258,1622,88,21,85,21
2022,8625,1017,20,6,20,6
2023,4314,1268,11,5,11,5
