"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,233,35,227,31
1985,NA,NA,227,72,203,62
1986,NA,744,83,77,64,45
1987,986,356,170,15,166,15
1988,3278,413,155,82,125,71
1989,4513,824,198,41,177,26
1990,3200,806,82,24,79,19
1991,1984,199,46,7,46,7
1992,557,672,43,11,36,8
1993,2032,227,116,12,100,9
1994,1430,575,53,16,41,14
1995,2547,742,141,7,134,6
1996,732,998,250,12,248,12
1997,3723,478,62,16,39,16
1998,56,1079,154,16,151,15
1999,5394,261,201,30,198,28
2000,5017,2161,224,30,223,30
2001,8491,1367,176,16,175,16
2002,1190,2363,281,36,280,35
2003,5948,1232,183,33,181,33
2004,716,1231,324,73,323,73
2005,4776,845,139,27,138,27
2006,3612,1357,174,37,174,37
2007,6633,953,182,28,182,28
2008,7188,2159,94,21,93,21
2009,5878,3391,138,25,138,25
2010,9055,1415,476,26,470,25
2011,8238,1804,203,72,202,72
2012,9852,1361,199,52,199,52
2013,10660,1295,261,64,257,64
2014,11180,1576,220,57,220,57
2015,8411,2307,122,45,122,45
2016,3661,1997,270,30,270,30
2017,3663,1656,208,46,208,46
2018,5852,2209,183,43,183,43
2019,4858,1236,162,35,162,35
2020,8767,1330,150,26,146,25
