"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,233,35,227,31
1985,NA,NA,227,72,203,62
1986,NA,744,83,76,64,44
1987,987,356,171,14,167,14
1988,3237,413,155,82,125,71
1989,4465,823,198,41,177,26
1990,3085,805,80,23,77,18
1991,1968,199,46,6,46,6
1992,559,672,43,10,36,7
1993,2020,227,115,12,99,9
1994,1424,574,52,16,40,14
1995,2559,741,142,6,135,5
1996,735,998,250,12,248,12
1997,3704,480,62,16,39,16
1998,57,1075,153,15,150,14
1999,5377,261,201,29,198,27
2000,5006,2159,222,29,221,29
2001,8414,1363,176,16,175,16
2002,1189,2361,280,35,279,34
2003,5934,1230,183,33,181,33
2004,720,1229,323,72,322,72
2005,4781,844,139,25,138,25
2006,3606,1356,174,36,174,36
2007,6611,952,182,27,182,27
2008,7169,2156,94,19,93,19
2009,5830,3389,136,24,136,24
2010,9014,1412,474,25,468,24
2011,8181,1803,202,70,201,70
2012,9791,1359,199,49,199,49
2013,10630,1295,258,62,254,62
2014,11090,1576,220,54,220,54
2015,8351,2304,122,43,122,43
2016,3650,1996,270,30,270,30
2017,3654,1657,209,43,209,43
2018,5817,2213,181,42,181,42
2019,4848,1235,160,33,160,33
2020,8726,1328,151,22,147,22
2021,3328,1362,93,22,90,22
