"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,232,32,226,28
1985,NA,NA,226,70,202,60
1986,NA,744,84,77,65,45
1987,996,356,171,12,167,12
1988,3221,412,155,82,125,71
1989,4549,823,198,41,177,26
1990,3217,804,75,20,72,15
1991,1992,199,46,5,46,5
1992,565,671,43,10,36,7
1993,2036,227,116,12,100,9
1994,1430,577,51,14,39,12
1995,2542,742,141,5,134,4
1996,728,996,248,8,246,8
1997,3715,473,62,9,39,9
1998,58,1077,156,14,153,13
1999,5395,261,202,31,199,29
2000,4998,2162,226,29,225,29
2001,8385,1370,175,15,174,15
2002,1192,2362,284,35,283,34
2003,5973,1230,182,32,180,32
2004,727,1227,324,72,323,72
2005,4770,843,139,23,138,23
2006,3619,1356,174,36,174,36
2007,6618,953,182,26,182,26
2008,7127,2157,93,19,92,19
2009,5832,3383,133,24,133,24
2010,8947,1410,480,23,474,22
2011,8145,1800,203,69,202,69
2012,9705,1358,198,49,198,49
2013,10595,1296,259,61,255,61
2014,11025,1574,219,52,219,52
2015,8331,2306,120,42,120,42
2016,3665,2003,270,29,270,29
2017,3633,1651,207,41,207,41
2018,5853,2222,179,38,179,38
2019,4831,1235,159,32,159,32
2020,8725,1329,151,22,147,22
2021,3319,1355,89,21,86,21
2022,9387,825,19,7,19,7
