"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"epsilon[9,1]";0.9348449013454;0.463734001306705;0.0210897500000001;0.6219;0.9348;1.246;1.847
"epsilon[9,2]";0.5376398243402;0.471064812997877;-0.386205;0.22;0.5377;0.8534;1.462
"epsilon[10,1]";0.916916072068;0.289968311987483;0.3558975;0.7201;0.9137;1.111;1.495
"epsilon[10,2]";1.685929554;0.389400452923999;0.9555;1.417;1.67349992530624;1.943;2.478
"epsilon[11,1]";1.214523297834;0.421698904732168;0.3939975;0.932375;1.212;1.497;2.052
"epsilon[11,2]";-0.20409631598396;0.392572050136909;-0.9719025;-0.4676;-0.2035;0.05955;0.5612075
"epsilon[12,1]";0.2896371989236;0.358490333038448;-0.4038025;0.0467175;0.2883;0.530625;0.998305
"epsilon[12,2]";0.36983265292674;0.360707747466868;-0.3263025;0.125375;0.3656;0.6136;1.087
"epsilon[13,1]";0.225319985103;0.260875800354163;-0.2839;0.0492875;0.2258;0.4029;0.7362025
"epsilon[13,2]";0.398952207888;0.269626740012847;-0.1247025;0.2176;0.3971;0.5793;0.930005
"epsilon[14,1]";-0.4707253782046;0.276484318342055;-1.024;-0.6541;-0.46635;-0.2816;0.0571105
"epsilon[14,2]";-0.902010556676;0.307861286403858;-1.529025;-1.106;-0.8937;-0.6905;-0.3197
"epsilon[15,1]";-0.3037442568177;0.270826929811473;-0.8376;-0.486125;-0.30255;-0.1197;0.2231025
"epsilon[15,2]";-0.780745721722;0.30172202587481;-1.384;-0.9819;-0.7762;-0.5764;-0.201
"epsilon[16,1]";-0.842845385642;0.310911047663967;-1.464;-1.052;-0.8371;-0.6313;-0.2411975
"epsilon[16,2]";1.17079595182;0.36292811606701;0.47879;0.9232;1.161;1.411;1.903
"epsilon[17,1]";-1.8246730034;0.533680297881033;-2.899025;-2.177;-1.817;-1.461;-0.7961
"epsilon[17,2]";-1.3625317226106;0.497307631886878;-2.347;-1.697;-1.355;-1.022;-0.405495
"epsilon[18,1]";-1.02155119856;0.369154718628096;-1.771;-1.266;-1.012;-0.7668;-0.3263975
"epsilon[18,2]";-1.171655296972;0.371502538538586;-1.918;-1.42;-1.162;-0.917975;-0.4643975
"epsilon[19,1]";-0.7985629708852;0.457735404586591;-1.716;-1.103;-0.7915;-0.484875;0.0818347500000003
"epsilon[19,2]";-1.8244583023332;0.508809041681689;-2.834;-2.164;-1.819;-1.478;-0.845789999999999
"epsilon[20,1]";-0.797847225256;0.291913652521307;-1.383;-0.9895;-0.7937;-0.5988;-0.2337975
"epsilon[20,2]";0.0759500550695;0.265751510616217;-0.4425025;-0.1022;0.07548;0.255;0.594
"epsilon[21,1]";-0.991676906402;0.331363269774561;-1.663025;-1.211;-0.9841;-0.765;-0.3641
"epsilon[21,2]";-0.3025568986084;0.283188386533242;-0.8629;-0.4938;-0.3005;-0.1089;0.244205
"pi_ML_dim[1]";0.929640966;0.0545415364834076;0.8269;0.8837;0.9453;0.9783;0.9986
"pi_ML_dim[2]";0.890778042;0.110386599562055;0.54;0.8445;0.9213;0.9726;0.9983
"pi_ML_dim[3]";0.921109692;0.0647798053418559;0.7757;0.8757;0.9371;0.9765;0.9985
"pi_ML_dim[4]";0.914567452;0.0677003481333032;0.7589;0.8643;0.9286;0.9747;0.9984
"pi_ML_dim[5]";0.920910882;0.0626769722899821;0.7944;0.8716;0.9349;0.9768;0.9987
"pi_ML_dim[6]";0.908809956;0.0795057626150699;0.6835;0.8656;0.9288;0.9746;0.9983
"pi_ML_dim[7]";0.894456238;0.0973241386093218;0.6298;0.8459;0.9159;0.9719;0.9983
"p_MP[1]";0.0969498186;0.0127197443705065;0.07516;0.08783;0.09602;0.1052;0.1247
"p_MP[2]";0.168209966;0.0218057851081801;0.1273;0.1536;0.1677;0.1825;0.2134
"p_MP[3]";0.212789554;0.00725823446303813;0.1985;0.208;0.2129;0.2176;0.2268
"p_MP[4]";0.14027717;0.0109417312807786;0.1196;0.1326;0.1399;0.1478;0.1625
"p_MP[5]";0.244672928;0.0221070257863558;0.2033;0.2292;0.2444;0.2595;0.2894
"p_MP[6]";0.1367387916;0.0118683210630934;0.1143;0.1286;0.1365;0.1444;0.1608
"p_MP[7]";0.147191968;0.00925274831355544;0.1295;0.1409;0.1471;0.1534;0.1656
"p_MP[8]";0.251205718;0.0195724319364333;0.2141;0.2376;0.2508;0.2643;0.2904
"p_MP[9]";0.242691458;0.00653845846228431;0.2298;0.2384;0.2426;0.247;0.2557
"p_MP[10]";0.217526204;0.00640831228013348;0.2051;0.2132;0.2174;0.2218;0.2302
"p_MP[11]";0.263687224;0.00754165434800814;0.2489;0.2586;0.2636;0.2688;0.2785
"p_MP[12]";0.147695552;0.00927988606293217;0.1303;0.1412;0.1474;0.154;0.166
"p_MP[13]";0.162649652;0.00754659060102574;0.1484;0.1574;0.1625;0.1678;0.1774
"p_MP[14]";0.1170320546;0.00771351499297757;0.1026;0.1117;0.1169;0.122;0.1326
"p_MP[15]";0.12893175;0.00652761383143539;0.1164;0.1244;0.1289;0.1333;0.1416
"p_MP[16]";0.091580246;0.00485847922624887;0.08214;0.08837;0.09152;0.0948;0.1016
"p_MP[17]";0.068685935;0.00591013779436232;0.05756;0.06452;0.06854;0.07257;0.08091
"p_MP[18]";0.0838134652;0.0088670168428927;0.06774;0.07763;0.0834149998501468;0.08944;0.1025
"p_MP[19]";0.0891298582;0.0136866797078737;0.06389;0.07973;0.08838;0.09795;0.117
"p_MP[20]";0.0965887634;0.00609201237631017;0.08508;0.09253;0.09634;0.1006;0.1089
"p_MP[21]";0.0917146402;0.00773945936607781;0.07679;0.0866;0.0916;0.09692;0.1071
"p_ML[3]";0.498270666;0.0148034703421572;0.4691;0.4882;0.4984;0.5085;0.5266
"p_ML[4]";0.195980402;0.0146803327742188;0.1683;0.1857;0.1957;0.2058;0.2256
"p_ML[5]";0.15551866;0.0149155151187019;0.1276;0.1452;0.1551;0.1656;0.1859
"p_ML[6]";0.211869656;0.0183881003174969;0.1769;0.1991;0.2114;0.2243;0.2485
"p_ML[7]";0.105650586;0.00696623751259643;0.09233;0.1009;0.1055;0.1103;0.1195
"p_ML[8]";0.377402102;0.0268683830771742;0.3261;0.3591;0.3774;0.3958;0.4306
"p_ML[9]";0.5031057;0.011495283378012;0.481;0.4953;0.503;0.5107;0.5257
"p_ML[10]";0.533433592;0.0123976189970765;0.5091;0.5251;0.5335;0.5418;0.5577
"p_ML[11]";0.342115996;0.00923145044516464;0.3245;0.3358;0.342;0.3483;0.3603
"p_ML[12]";0.189681702;0.0116166202098759;0.1675;0.1816;0.1894;0.1976;0.2128
"p_ML[13]";0.33117691;0.01389307805363;0.3042;0.3214;0.331;0.3406;0.3588
"p_ML[14]";0.161112078;0.0104074113883401;0.1416;0.1538;0.1609;0.1681;0.1822
"p_ML[15]";0.188938326;0.00915333079195851;0.1713;0.1827;0.1888;0.1954;0.207
"p_ML[16]";0.343311;0.0155475307851205;0.3124;0.3331;0.3437;0.3536;0.3736
"p_ML[17]";0.204967294;0.0161606140052433;0.1751;0.1937;0.2046;0.2155;0.2388
"p_ML[18]";0.1232942742;0.0127691666049719;0.0999;0.1145;0.1228;0.1315;0.1496
"p_ML[19]";0.0485972788;0.00769003054834422;0.0345597499647285;0.04327;0.04812;0.0536;0.06449
"p_ML[20]";0.230136792;0.0134333375986728;0.2046;0.221;0.2299;0.239;0.2567
"p_ML[21]";0.223149272;0.0176652350077935;0.1883;0.2108;0.2232;0.235;0.2582
"Ntot[1]";6231.37454;836.243469405048;4707;5630;6180;6791;8002
"Ntot[2]";2046.61014;293.839284200869;1550;1845;2019;2216;2715
"Ntot[3]";9985.79056;279.001179295084;9470.9749987131;9792;9976;10170;10560
"Ntot[4]";4869.45998;341.954429851467;4256;4626;4851;5096;5588
"Ntot[5]";2633.83516;224.0078965986;2243;2473;2617;2777;3114
"Ntot[6]";3059.8285;244.266784014907;2627;2886;3044;3216;3583
"Ntot[7]";11915.31424;725.344512646551;10610;11410;11880;12370;13450
"Ntot[8]";1249.4701;77.7672222778158;1112;1194;1245;1300;1413
"Ntot[9]";10160.40224;209.535735633501;9758.99999999999;10020;10160;10300;10580
"Ntot[10]";7890.1357;163.913664833962;7582;7778;7887;7998;8223
"Ntot[11]";10781.1775;252.133215536782;10300;10610;10780;10950;11290
"Ntot[12]";7215.2537;407.303957882307;6472;6925.99999999999;7203;7481;8061
"Ntot[13]";7569.75846;291.711670236896;7027;7366;7561;7763;8172
"Ntot[14]";10597.51716;646.632907628338;9416.00000000001;10140;10570;11030;11920
"Ntot[15]";13752.75;627.730539652651;12620;13300;13730;14160;15070
"Ntot[16]";10605.7471;462.565854603414;9760.00000000001;10290;10580;10900;11580
"Ntot[17]";8872.7307;681.784592156578;7620.00000000002;8398;8831.00000000001;9310.99999999999;10300
"Ntot[18]";8324.88152;823.55362565772;6857;7752;8275;8845.00000000001;10080
"Ntot[19]";8342.16712;1272.15292019944;6252;7430;8221;9102.99999999999;11330
"Ntot[20]";10335.4051;574.850394392757;9286.97499868758;9934;10310;10700;11520
"Ntot[21]";6660.47278;511.703028424552;5770;6296;6616;6983;7792
"shape_lambda";3.425453124;1.0313624851751;1.73197499296066;2.683;3.322;4.047;5.744
"rate_lambda";0.0004413813958;0.000142850046152598;0.0002067;0.0003387;0.0004266;0.0005269;0.0007633
"mean_gamma";7882.7949;999.465613967914;6146.97499801711;7194;7808;8473.00000000001;10080
"var_gamma";20350226.72;9556453.14706524;9251974.99868265;14150000;18140000;23940000;44120249.9723807
"lambda[1]";6231.64344;839.890580628641;4703;5628.74998334344;6182;6795;8009
"lambda[2]";2049.26214;297.577214494981;1544;1845;2022;2221;2725
"lambda[3]";9983.8039;295.604268173613;9430;9780.99999999999;9975;10180;10590
"lambda[4]";4870.58634;348.62852152732;4244;4623;4852;5099.24998161615;5597
"lambda[5]";2636.12078;229.814606775247;2232;2474;2621;2783;3128
"lambda[6]";3062.06684;250.120318758576;2618;2886;3047;3222;3594
"lambda[7]";11913.10512;733.20000444266;10580;11410;11880;12380;13470
"lambda[8]";1252.177496;85.2932594404277;1098;1192;1248;1308;1430
"lambda[9]";10159.15636;232.264110537748;9709;10000;10160;10320;10620
"lambda[10]";7890.37184;185.376208672497;7538;7765;7887;8013;8265.00000000001
"lambda[11]";10780.2434;272.631332302997;10260;10590;10780;10960;11330
"lambda[12]";7215.45596;415.852375398339;6455;6921;7203;7488.24998748094;8074.99999999999
"lambda[13]";7569.6125;304.00301370282;7002;7359;7561;7770.99999999999;8191.99999999999
"lambda[14]";10595.0562;653.637352816789;9394.97499870269;10130;10560;11030;11930
"lambda[15]";13748.5106;638.332757315353;12590;13290;13720;14160;15080
"lambda[16]";10603.88864;473.909334957759;9740.97499874876;10280;10580;10910;11600
"lambda[17]";8872.14526;688.035216256195;7608.97499839815;8393;8832;9317.00000000001;10310
"lambda[18]";8324.13462;828.370780375824;6839;7748.00000000001;8275;8849;10080
"lambda[19]";8341.33472;1274.6026272057;6250;7428;8220;9103.99999999999;11320
"lambda[20]";10334.10508;583.181308554181;9266;9926.74999055551;10310;10710;11540
"lambda[21]";6660.75928;517.874438539462;5763;6291;6615;6989.99999999999;7798.02499843724
"Nesc[1]";6227.37454;836.243469405048;4703;5626;6176;6787;7998
"Nesc[2]";2034.61014;293.839284200869;1538;1833;2007;2204;2703
"Nesc[3]";9957.77102;278.995102741082;9442.97499870928;9764;9948.00000000001;10140;10530
"Nesc[4]";4756.45998;341.954429851467;4143;4513;4738;4983;5475
"Nesc[5]";2612.83516;224.0078965986;2222;2452;2596;2756;3093
"Nesc[6]";3173.8285;244.266784014907;2741;3000;3158;3330;3697
"Nesc[7]";12026.30672;725.350203792075;10720;11520;11990;12480;13560
"Nesc[8]";1238.4701;77.7672222778158;1101;1183;1234;1289;1402
"Nesc[9]";10124.38514;209.576629552184;9723;9981;10120;10260;10540
"Nesc[10]";7838.1357;163.913664833962;7530;7726;7835;7946;8171
"Nesc[11]";10750.1979;252.144095049802;10270;10580;10750;10920;11260
"Nesc[12]";7184.2537;407.303957882307;6441;6895;7172;7450;8029.99999999999
"Nesc[13]";7550.75846;291.711670236896;7008;7347;7542;7744.00000000001;8153
"Nesc[14]";10570.52718;646.635791785602;9389;10110;10540;11000;11890
"Nesc[15]";13719.7612;627.771605696163;12590;13270;13700;14130;15030
"Nesc[16]";10574.73336;462.575128317657;9729;10260;10550;10870;11550
"Nesc[17]";8857.73198;681.788159274684;7605.00000000001;8383;8816.00000000001;9296.00000000001;10290
"Nesc[18]";8221.87338;823.536852658294;6754;7649;8172;8741.99999999999;9975
"Nesc[19]";8340.16366;1272.14452728822;6250;7428;8218.99999999999;9100.99999999999;11330
"Nesc[20]";10293.3872;574.868995235779;9244.97499868162;9892;10270;10660;11480
"Nesc[21]";6645.47278;511.703028424552;5755;6281;6601;6968;7777
"test[1]";0.20376;0.402796607858291;0;0;0;0;1
"test[2]";0.00434;0.0657362215602365;0;0;0;0;0
"R2[1]";-0.004013045381274;0.10100129901269;-0.2776025;-0.02253;0.02712;0.05072;0.0877105
"R2[2]";0.326117552061;0.0797583771049647;0.1213;0.3;0.3436;0.3745;0.4212
