"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int[1]","-1.895","0.109","-2.112","-1.965","-1.895","-1.824","-1.679","1.001","20000"
"logit_int[2]","-1.143","0.138","-1.416","-1.233","-1.143","-1.054","-0.87","1.001","5800"
"logit_flow[1]","-0.097","0.109","-0.313","-0.168","-0.097","-0.026","0.121","1.001","20000"
"logit_flow[2]","-0.387","0.139","-0.661","-0.478","-0.386","-0.297","-0.111","1.002","2100"
"sigmap[1]","0.541","0.088","0.4","0.478","0.531","0.592","0.739","1.001","20000"
"sigmap[2]","0.663","0.11","0.487","0.586","0.65","0.727","0.918","1.001","5800"
"rho","0.409","0.177","0.023","0.298","0.426","0.538","0.706","1.001","20000"
"p[1,1]","0.097","0.013","0.072","0.088","0.096","0.105","0.124","1.001","3000"
"p[2,1]","0.169","0.021","0.129","0.154","0.168","0.182","0.213","1.001","20000"
"p[3,1]","0.212","0.007","0.199","0.208","0.212","0.217","0.226","1.001","4900"
"p[3,2]","0.497","0.014","0.469","0.488","0.497","0.507","0.526","1.001","4600"
"p[4,1]","0.139","0.011","0.118","0.131","0.139","0.146","0.161","1.002","1700"
"p[4,2]","0.194","0.015","0.166","0.184","0.194","0.204","0.224","1.002","1200"
"p[5,1]","0.245","0.021","0.204","0.23","0.244","0.259","0.288","1.001","7300"
"p[5,2]","0.155","0.014","0.128","0.145","0.155","0.165","0.184","1.001","20000"
"p[6,1]","0.136","0.012","0.113","0.128","0.136","0.144","0.16","1.001","20000"
"p[6,2]","0.211","0.018","0.176","0.198","0.21","0.223","0.249","1.001","8000"
"p[7,1]","0.148","0.009","0.131","0.142","0.148","0.154","0.166","1.001","20000"
"p[7,2]","0.106","0.007","0.093","0.102","0.106","0.111","0.12","1.001","20000"
"p[8,1]","0.247","0.02","0.209","0.234","0.247","0.26","0.287","1.001","20000"
"p[8,2]","0.371","0.027","0.318","0.353","0.371","0.39","0.426","1.001","9500"
"p[9,1]","0.243","0.007","0.23","0.238","0.243","0.247","0.256","1.001","20000"
"p[9,2]","0.503","0.012","0.481","0.495","0.503","0.511","0.526","1.001","20000"
"p[10,1]","0.217","0.007","0.205","0.213","0.217","0.222","0.23","1.001","20000"
"p[10,2]","0.533","0.013","0.509","0.525","0.533","0.542","0.558","1.001","20000"
"p[11,1]","0.263","0.007","0.249","0.258","0.263","0.268","0.278","1.001","20000"
"p[11,2]","0.342","0.009","0.324","0.335","0.341","0.348","0.36","1.001","20000"
"p[12,1]","0.147","0.009","0.129","0.141","0.147","0.154","0.166","1.001","20000"
"p[12,2]","0.189","0.012","0.167","0.181","0.189","0.197","0.213","1.001","20000"
"p[13,1]","0.162","0.007","0.148","0.157","0.162","0.167","0.177","1.001","11000"
"p[13,2]","0.331","0.013","0.305","0.322","0.331","0.34","0.357","1.001","6300"
"p[14,1]","0.118","0.008","0.104","0.113","0.118","0.123","0.133","1.001","19000"
"p[14,2]","0.163","0.01","0.143","0.156","0.162","0.169","0.183","1.001","7700"
"p[15,1]","0.129","0.006","0.116","0.124","0.129","0.133","0.142","1.001","10000"
"p[15,2]","0.189","0.009","0.171","0.183","0.189","0.195","0.207","1.001","10000"
"p[16,1]","0.091","0.005","0.082","0.088","0.091","0.095","0.101","1.001","20000"
"p[16,2]","0.344","0.015","0.314","0.333","0.344","0.354","0.374","1.001","14000"
"p[17,1]","0.068","0.006","0.058","0.064","0.068","0.072","0.08","1.001","20000"
"p[17,2]","0.204","0.016","0.174","0.193","0.204","0.215","0.236","1.001","20000"
"p[18,1]","0.084","0.009","0.068","0.078","0.083","0.089","0.101","1.001","5100"
"p[18,2]","0.123","0.012","0.1","0.114","0.122","0.131","0.148","1.001","6200"
"p[19,1]","0.086","0.013","0.063","0.077","0.086","0.095","0.114","1.001","20000"
"p[19,2]","0.047","0.007","0.034","0.042","0.047","0.052","0.063","1.001","20000"
"p[20,1]","0.097","0.006","0.085","0.093","0.097","0.101","0.109","1.001","20000"
"p[20,2]","0.231","0.013","0.206","0.222","0.231","0.24","0.257","1.001","4300"
"p[21,1]","0.092","0.008","0.077","0.086","0.092","0.097","0.107","1.001","7700"
"p[21,2]","0.223","0.018","0.19","0.211","0.223","0.235","0.259","1.001","15000"
"p[22,1]","0.123","0.006","0.112","0.119","0.123","0.126","0.134","1.001","11000"
"p[22,2]","0.327","0.013","0.301","0.318","0.327","0.336","0.354","1.001","18000"
"p[23,1]","0.102","0.008","0.086","0.096","0.102","0.107","0.118","1.001","20000"
"p[23,2]","0.215","0.016","0.185","0.204","0.215","0.226","0.247","1.001","20000"
"p[24,1]","0.058","0.007","0.046","0.054","0.058","0.063","0.072","1.001","11000"
"p[24,2]","0.253","0.024","0.207","0.236","0.252","0.269","0.301","1.001","20000"
