"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"epsilon[1,1]";-0.8881591252315;0.374807116195852;-1.643;-1.13525;-0.87635;-0.626575;-0.1841;1.00188733612109;1600
"epsilon[2,1]";0.26204546858;0.394770323408068;-0.522805;0.00230075;0.2607;0.5272;1.034;1.00680036798719;260
"epsilon[3,1]";0.72798374517;0.354762931229658;0.03508975;0.4909;0.7288;0.962925;1.428;1.00125396584248;4900
"epsilon[3,2]";1.476035917215;0.528301641951892;0.5322925;1.108;1.446;1.805;2.595;1.07424207871962;29
"epsilon[4,1]";0.1857828221895;0.352521639597904;-0.5025;-0.0535925;0.18555;0.421825;0.870907499999999;1.00140900793073;3300
"epsilon[4,2]";-0.20760836020095;0.445521914456479;-1.090025;-0.51;-0.2044;0.09617;0.654005;1.00884193544426;2000
"epsilon[5,1]";1.631593995;0.503326782563855;0.6664;1.284;1.631;1.973;2.628;1.00178284233695;1800
"epsilon[5,2]";0.5052533609375;0.716835416282816;-0.7526075;-0.00151675;0.4428;0.972525;2.018;1.05183486544381;48
"epsilon[6,1]";0.1143512612745;0.349116592271203;-0.563005;-0.1283;0.1138;0.354;0.796105;1.00096110750269;20000
"epsilon[6,2]";0.3796001075545;0.514134698456283;-0.5703125;0.02635;0.3554;0.706125;1.465025;1.00111328596423;9100
"epsilon[7,1]";0.5341178933365;0.495165309231282;-0.4336025;0.1976;0.5365;0.87195;1.49905;1.00130191262811;4200
"epsilon[7,2]";0.0192722211485;0.659851922570108;-1.238025;-0.425825;-0.002756;0.446275;1.382025;1.02188068583275;110
"epsilon[8,1]";1.22128269725;0.379472408155443;0.4971875;0.96095;1.217;1.473;1.988;1.00100904892231;20000
"epsilon[8,2]";0.395359459032;0.336902504366729;-0.2593075;0.170075;0.39445;0.618;1.059025;1.00476946894478;390
"epsilon[9,1]";0.9221150316505;0.469512796234263;0.00419782500000001;0.6064;0.92605;1.242;1.840025;1.0024492790533;1000
"epsilon[9,2]";0.70762050489;0.512749939621227;-0.2841075;0.3626;0.7033;1.051;1.718;1.01188250450162;140
"epsilon[10,1]";0.9490136684;0.290236791745886;0.3852825;0.753;0.94545;1.144;1.526;1.00101961746173;20000
"epsilon[10,2]";1.61485367;0.39966351216577;0.862994999435024;1.338;1.605;1.878;2.428;1.00138880378789;3400
"epsilon[11,1]";1.2181394359;0.427748003704232;0.3868;0.92915;1.218;1.505;2.059;1.00170322631725;2000
"epsilon[11,2]";-0.18673126003475;0.405609757236963;-0.9895125;-0.457225;-0.1865;0.087545;0.599205;1.01766008603049;91
"epsilon[12,1]";0.3578263366645;0.359432108783435;-0.33431;0.109275;0.35615;0.602825;1.061;1.00263096936254;890
"epsilon[12,2]";0.3216612510285;0.497530988596499;-0.6090125;-0.01275;0.2963;0.630025;1.38;1.00254887604337;9300
"epsilon[13,1]";0.23277233751985;0.261491910439116;-0.282315;0.0602775;0.2321;0.4068;0.7479025;1.00116755347001;6900
"epsilon[13,2]";0.233998441778;0.272708066515067;-0.302105;0.0500275;0.2327;0.414025;0.769714999999999;1.004485459364;430
"epsilon[14,1]";-0.47976675216;0.279725747096891;-1.044;-0.664325;-0.4745;-0.29095;0.05413;1.00183004072748;1700
"epsilon[14,2]";-1.212317649;0.364758469560596;-1.957;-1.449;-1.201;-0.9594;-0.534;1.00987101033192;170
"epsilon[15,1]";-0.315254546937175;0.27210186762505;-0.8545025;-0.4962;-0.3136;-0.1307;0.213307499999999;1.0009950288421;20000
"epsilon[15,2]";-1.02361913615;0.33941705418004;-1.709;-1.245;-1.016;-0.7922;-0.376295;1.01608353064652;100
"epsilon[16,1]";-0.838901579828;0.306493306743951;-1.455;-1.04125;-0.8367;-0.6311;-0.2484;1.00204461411637;1400
"epsilon[16,2]";0.826652052795;0.371531203753039;0.1350975;0.567575;0.8154;1.073;1.58;1.00788592477162;690
"epsilon[17,1]";-1.909663188;0.529889662268048;-2.961;-2.261;-1.908;-1.548;-0.884892500000001;1.00097387413153;20000
"epsilon[17,2]";-1.3888260931;0.513224398003908;-2.421025;-1.73;-1.382;-1.04;-0.398082500000002;1.02740890310543;61
"epsilon[18,1]";-1.01608757065;0.365066944216662;-1.762;-1.257;-1.003;-0.7637;-0.3311;1.00105603464833;14000
"epsilon[18,2]";-0.728339597108;0.704355004326098;-1.972;-1.223;-0.79415;-0.266575;0.756224999999998;1.20365442822292;13
"epsilon[19,1]";-0.854746677237;0.468489441543584;-1.793025;-1.16425;-0.85305;-0.5369;0.0605529999999997;1.00124314623424;5100
"epsilon[19,2]";-1.21161006221;0.906675141085083;-2.775;-1.869;-1.303;-0.6093;0.698807499999999;1.02557708827093;76
"epsilon[20,1]";-0.80326322593;0.290651270423495;-1.387025;-0.9971;-0.79885;-0.599875;-0.256592500000001;1.00485785254502;390
"epsilon[20,2]";-0.2657543348343;0.305291591718135;-0.876605;-0.4701;-0.26775;-0.057765;0.329719999999998;1.00129184673742;4400
"epsilon[21,1]";-1.01063117995;0.32542789869522;-1.672;-1.226;-0.99835;-0.786075;-0.3959975;1.00218621335686;1200
"epsilon[21,2]";-0.558188651725;0.309773306423569;-1.184;-0.7616;-0.55385;-0.348375;0.0319622499999998;1.00799004266768;230
"epsilon[22,1]";-0.233529242485;0.257678837102807;-0.7507025;-0.4065;-0.23105;-0.0578075;0.2640025;1.0019973912464;1400
"epsilon[22,2]";0.6209186050855;0.328420255211689;-0.000741709999999985;0.3956;0.6103;0.838225;1.283;1.0053886046918;1300
"pi_ML_dim[1]";0.880770745;0.0809084247609904;0.712587495722308;0.8196;0.8842;0.9511;0.9969;1.23045002724495;12
"pi_ML_dim[2]";0.638596985;0.205208378976956;0.2807;0.467;0.6218;0.8243;0.990602499876976;1.08927318170403;42
"pi_ML_dim[3]";0.793814365;0.14619076702092;0.505982488187116;0.6758;0.819;0.9203;0.9961;1.00552531147039;3600
"pi_ML_dim[4]";0.621113045;0.194955185456927;0.3202;0.466;0.5833;0.7758;0.9892;1.09483646798002;57
"pi_ML_dim[5]";0.764336755;0.146769349159362;0.4741;0.6654;0.7775;0.876349995721213;0.9946;1.00353020824397;910
"pi_ML_dim[6]";0.6480555;0.199364386956872;0.3241;0.4758;0.6481;0.81682499885231;0.9901;1.31152101477848;9
"pi_ML_dim[7]";0.491990568;0.249657482723774;0.146084969887758;0.2691;0.45;0.6835;0.9828;1.02455942021463;68
"p_MP[1]";0.096953744;0.0129106915604972;0.07365;0.0877;0.0961849998700421;0.1058;0.123202499011283;1.00556495709042;340
"p_MP[2]";0.1705454995;0.0218421767918138;0.129597499059128;0.1558;0.1696;0.1847;0.2158;1.01034288097439;180
"p_MP[3]";0.21245233;0.00708390906629122;0.1993;0.2075;0.2124;0.2172;0.2266;1.00178986014798;1800
"p_MP[4]";0.13980774;0.0113140757248604;0.1189;0.1319;0.1394;0.1473;0.163;1.00158786634467;2300
"p_MP[5]";0.242759165;0.0217263980866932;0.2014;0.2278;0.2426;0.2573;0.2867;1.00250896956061;960
"p_MP[6]";0.136376355;0.0121634105797602;0.1137;0.128;0.136;0.1445;0.161;1.00348335015565;590
"p_MP[7]";0.1480309;0.009012684928171;0.1309;0.1419;0.1478;0.1539;0.1662;1.00327227043389;650
"p_MP[8]";0.249689905;0.0195770712487059;0.2123;0.2364;0.2494;0.2626;0.2887;1.0017162372408;2000
"p_MP[9]";0.242619255;0.00653121800167505;0.2298;0.2382;0.2426;0.247;0.2556;1.00262200145967;900
"p_MP[10]";0.217632865;0.0065027737693318;0.2051;0.2132;0.2175;0.222;0.2306;1.00187520746042;1600
"p_MP[11]";0.26310798;0.00757245854567863;0.2482;0.258;0.2631;0.2682;0.2781;1.00210821893742;1300
"p_MP[12]";0.148250405;0.00955048048109863;0.1301;0.1417;0.1481;0.1547;0.1672;1.00253720647894;4200
"p_MP[13]";0.16264386;0.00743066302815919;0.1482;0.1576;0.1626;0.1676;0.1772;1.00180912877614;1700
"p_MP[14]";0.1171301105;0.00792826841086939;0.1021;0.1118;0.1169;0.1222;0.1337;1.00104540282658;15000
"p_MP[15]";0.128995825;0.00658632811627828;0.1164;0.124574992472399;0.129;0.1334;0.1422;1.0013309006017;3900
"p_MP[16]";0.0916371275;0.0047802998040975;0.0824797499852225;0.08837;0.09158;0.0949024999012178;0.1012;1.00308064291216;710
"p_MP[17]";0.0690582555;0.00594752022708308;0.0579697499789738;0.06492;0.0689049998185908;0.07291;0.0811902499849901;1.00157998237407;3100
"p_MP[18]";0.084071519;0.00867612072969163;0.0679997499820755;0.07804;0.08377;0.08969;0.1021;1.01193392318869;520
"p_MP[19]";0.0858837755;0.0137872485410149;0.0614297499801582;0.07639;0.0850349998530017;0.09414;0.1167;1.01009464770922;220
"p_MP[20]";0.096681492;0.00606732542689345;0.08524;0.09247;0.09655;0.1007;0.1091;1.00255118517002;940
"p_MP[21]";0.092094848;0.00757063025507249;0.0779797499843697;0.08684;0.09193;0.09712;0.1076;1.00096929638967;20000
"p_MP[22]";0.12270164;0.00567023155494503;0.112;0.1188;0.1226;0.1264;0.1343;1.00119568636524;6100
"p_ML[3]";0.497296055;0.0143558018372118;0.4695;0.4874;0.4973;0.507;0.525602499768151;1.00155061845575;2500
"p_ML[4]";0.19596113;0.0153075904779104;0.1674;0.1853;0.1955;0.2062;0.2267;1.00188980571065;1600
"p_ML[5]";0.154008134;0.0145664007482831;0.1268;0.1439;0.1538;0.1637;0.1833;1.00285618865095;790
"p_ML[6]";0.211351205;0.0185805707239685;0.1764;0.1984;0.211;0.2236;0.2489;1.00316116703513;680
"p_ML[7]";0.1062137625;0.00680447220735707;0.0932797499869336;0.1016;0.106;0.1107;0.12;1.00197451293867;1500
"p_ML[8]";0.375510435;0.0271064914495534;0.3225;0.3573;0.3751;0.3934;0.429802499716481;1.00156892210594;2400
"p_ML[9]";0.50271676;0.0114991756510818;0.4803;0.4952;0.5026;0.5104;0.5255;1.00272813443483;840
"p_ML[10]";0.53373825;0.0125845880953799;0.509097499760576;0.5252;0.5336;0.5422;0.5584;1.00259318580707;910
"p_ML[11]";0.34144776;0.00925690047978937;0.3231;0.3352;0.3415;0.3477;0.3596;1.00223192678524;1200
"p_ML[12]";0.190460155;0.0120606857550895;0.1669;0.1823;0.1903;0.1984;0.2143;1.00329590890546;3500
"p_ML[13]";0.3313511;0.013514084553312;0.3051;0.3222;0.3312;0.3401;0.358502499660104;1.00142263460345;3200
"p_ML[14]";0.161393395;0.0106732590522724;0.141;0.1541;0.1611;0.1684;0.1832;1.00108761443824;11000
"p_ML[15]";0.18911446;0.00927605035367468;0.1711;0.1828;0.1891;0.1953;0.2077;1.00118406030056;6400
"p_ML[16]";0.343618185;0.0151652466857987;0.3141;0.3333;0.3437;0.3537;0.3736;1.00362529785524;960
"p_ML[17]";0.205826225;0.0163450635913283;0.1753;0.1945;0.2055;0.2167;0.2388;1.00269266628481;3900
"p_ML[18]";0.1233244745;0.0124310408278089;0.100297498784097;0.1147;0.123;0.1315;0.1488;1.01303640309924;330
"p_ML[19]";0.0466512365;0.00773614832107102;0.03288;0.0413;0.04617;0.05123;0.0638302499809083;1.01215813999647;180
"p_ML[20]";0.23050358;0.013382808493054;0.2047;0.2216;0.2302;0.2393;0.257602499527003;1.00201443986478;1400
"p_ML[21]";0.224010775;0.0172258461588443;0.1917;0.2121;0.2238;0.2356;0.2593;1.00094874810193;20000
"p_ML[22]";0.32728804;0.013148407317586;0.3023;0.3182;0.3269;0.3361;0.3543;1.00101166551789;20000
"Ntot[1]";6239.97775;868.145092452877;4774;5606;6169;6801.24998621644;8117.04999399505;1.00577137353078;320
