"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Ntot[8]","1258.32719","80.6594019076205","1114","1202","1253","1309","1430","1.00122415455284","6400"
"Ntot[9]","10165.18403","210.223259324811","9767.00000000001","10020","10160","10300","10590","1.00102279876869","44000"
"Ntot[10]","7885.82449","166.959293962026","7570.00000000001","7770.99999999999","7881","7994.99999999999","8227","1.00110973842823","12000"
"Ntot[11]","10799.56873","253.659168897808","10320","10630","10790","10970","11310","1.001054996821","23000"
"Ntot[12]","7190.11342","419.368335063472","6424","6900","7168.99999999999","7458","8077","1.0009972937514","1e+05"
"Ntot[13]","7571.48595","280.794886349947","7049","7377.00000000001","7562","7756","8148","1.00099031229234","1e+05"
"Ntot[14]","10591.64058","639.670486204087","9426.99999999999","10150","10560","11000","11950","1.00117895222819","7900"
"Ntot[15]","13741.5872","623.26131385063","12580","13310","13720","14150","15030","1.00126477409377","5400"
"Ntot[16]","10584.08987","454.982893972643","9737.97499874836","10270","10570","10880","11530","1.0010537844888","23000"
"Ntot[17]","8917.98633","681.12810508603","7692","8438","8881.99999999999","9355.99999999999","10350","1.00139155040006","3700"
"Ntot[18]","8324.30039","812.734350293557","6903","7751","8268","8830.00000000001","10070","1.00100367192154","99000"
"Ntot[19]","8627.23995","1323.12810276774","6433.00000000001","7687","8495","9420","11600","1.00107744333064","17000"
"Ntot[20]","10312.33423","562.496274050673","9286.9749986876","9920.00000000001","10290","10680","11490","1.0014382899144","3300"
"Ntot[21]","6652.49969","515.463131060116","5730","6290","6624","6981","7740","1.00099071924757","1e+05"
"Ntot[22]","9778.88711","376.454177667517","9076.99999999999","9519","9764.99999999999","10020","10560","1.0012633607472","5500"
"Ntot[23]","6290.5032","451.577902355484","5484","5974","6264.00000000001","6576.00000000001","7254","1.00111060627409","12000"
"shape_lambda","3.6483632","1.06307955914158","1.896","2.886","3.542","4.289","6.0170249979747","1.00102780065128","38000"
"rate_lambda","0.0004673568459","0.000145453805948993","0.000227","0.0003633","0.0004527","0.0005553","0.0007919","1.00101577934083","55000"
"mean_gamma","7910.16905","922.745433217333","6303","7278","7841.00000000001","8464","9922","1.00099111243597","1e+05"
"var_gamma","19047108.11","8253243.35958548","9075999.99999999","13570000","17230000","22330000","39770249.9693599","1.00100386030471","98000"
"lambda[1]","6276.35216","881.441395177618","4760","5651","6204","6824","8203","1.00126333878242","5500"
"lambda[2]","2040.03108","286.952336861838","1555","1836","2013","2214","2672","1.00104452217567","27000"
"lambda[3]","10017.7905","290.482096054527","9468","9819","10010","10210","10610","1.00136338265384","4000"
"lambda[4]","4886.00016","359.98718408813","4234","4634","4868","5115","5645","1.00104470304577","27000"
"lambda[5]","2646.44155","227.583579430621","2243","2487","2632","2790","3136","1.00101498714291","57000"
"lambda[6]","3069.01013","257.350595026844","2610","2889","3054","3231","3620","1.00099026577076","1e+05"
"lambda[7]","11904.26189","723.889480296146","10580","11400","11870","12370","13410","1.00118397433124","7700"
"lambda[8]","1261.398934","88.0908996726092","1102","1200","1257","1317","1448","1.00121410369276","6700"
