"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int[1]","-1.906","0.103","-2.106","-1.974","-1.906","-1.839","-1.703","1.003","770"
"logit_int[2]","-1.124","0.124","-1.369","-1.206","-1.124","-1.043","-0.875","1.002","1200"
"logit_flow[1]","-0.104","0.102","-0.309","-0.17","-0.103","-0.037","0.097","1.001","11000"
"logit_flow[2]","-0.417","0.124","-0.662","-0.498","-0.417","-0.337","-0.171","1.001","18000"
"sigmap[1]","0.527","0.081","0.396","0.469","0.516","0.574","0.713","1.001","20000"
"sigmap[2]","0.617","0.098","0.459","0.548","0.605","0.674","0.84","1.006","320"
"rho","0.381","0.173","0.012","0.269","0.395","0.507","0.683","1.004","530"
"p[1,1]","0.102","0.013","0.079","0.093","0.102","0.111","0.128","1.096","33"
"p[2,1]","0.175","0.023","0.135","0.158","0.175","0.191","0.221","1.009","240"
"p[3,1]","0.213","0.007","0.2","0.208","0.213","0.218","0.228","1.009","190"
"p[3,2]","0.5","0.015","0.472","0.49","0.5","0.51","0.529","1.014","120"
"p[4,1]","0.141","0.011","0.121","0.133","0.141","0.149","0.164","1.01","160"
"p[4,2]","0.198","0.015","0.17","0.187","0.197","0.208","0.229","1.011","160"
"p[5,1]","0.251","0.022","0.208","0.236","0.25","0.265","0.294","1.001","8100"
"p[5,2]","0.159","0.015","0.131","0.149","0.159","0.169","0.189","1.001","5900"
"p[6,1]","0.139","0.012","0.117","0.131","0.139","0.147","0.163","1.014","150"
"p[6,2]","0.216","0.018","0.183","0.204","0.216","0.228","0.253","1.017","120"
"p[7,1]","0.149","0.01","0.13","0.142","0.149","0.156","0.169","1.02","93"
"p[7,2]","0.107","0.007","0.093","0.102","0.107","0.112","0.122","1.02","93"
"p[8,1]","0.252","0.02","0.213","0.238","0.251","0.265","0.292","1.001","3600"
"p[8,2]","0.378","0.028","0.325","0.359","0.378","0.396","0.433","1.002","2000"
"p[9,1]","0.243","0.007","0.23","0.238","0.243","0.247","0.256","1.004","1300"
"p[9,2]","0.503","0.012","0.48","0.495","0.504","0.511","0.527","1.008","780"
"p[10,1]","0.218","0.007","0.205","0.214","0.218","0.222","0.231","1.001","20000"
"p[10,2]","0.535","0.013","0.51","0.526","0.535","0.543","0.559","1.001","20000"
"p[11,1]","0.264","0.008","0.249","0.259","0.264","0.269","0.279","1.001","4900"
"p[11,2]","0.342","0.009","0.324","0.336","0.342","0.349","0.36","1.002","2300"
"p[12,1]","0.149","0.01","0.131","0.143","0.149","0.156","0.169","1.004","560"
"p[12,2]","0.192","0.012","0.169","0.184","0.192","0.2","0.216","1.004","450"
"p[13,1]","0.163","0.007","0.149","0.158","0.163","0.168","0.178","1.001","3100"
"p[13,2]","0.332","0.014","0.306","0.323","0.332","0.341","0.359","1.002","2200"
"p[14,1]","0.12","0.008","0.106","0.115","0.12","0.125","0.135","1.009","180"
"p[14,2]","0.165","0.01","0.147","0.158","0.165","0.172","0.186","1.01","160"
"p[15,1]","0.13","0.006","0.118","0.126","0.13","0.134","0.143","1.013","130"
"p[15,2]","0.191","0.009","0.174","0.185","0.191","0.197","0.208","1.015","110"
"p[16,1]","0.092","0.005","0.083","0.089","0.092","0.095","0.102","1.004","540"
"p[16,2]","0.346","0.015","0.317","0.336","0.346","0.356","0.376","1.008","250"
"p[17,1]","0.071","0.006","0.06","0.066","0.07","0.074","0.083","1.003","5800"
"p[17,2]","0.211","0.017","0.181","0.199","0.21","0.222","0.246","1.005","2400"
"p[18,1]","0.087","0.009","0.071","0.081","0.087","0.093","0.104","1.001","5700"
"p[18,2]","0.128","0.012","0.105","0.119","0.128","0.136","0.152","1.001","5700"
"p[19,1]","0.093","0.013","0.07","0.085","0.093","0.101","0.122","1.091","24"
"p[19,2]","0.051","0.007","0.038","0.046","0.051","0.055","0.067","1.08","27"
"p[20,1]","0.098","0.006","0.086","0.094","0.098","0.102","0.109","1.002","1800"
"p[20,2]","0.233","0.013","0.207","0.224","0.233","0.242","0.258","1.002","1600"
"p[21,1]","0.094","0.008","0.08","0.088","0.093","0.099","0.109","1.001","20000"
"p[21,2]","0.228","0.017","0.198","0.216","0.227","0.239","0.263","1.001","18000"
"p[22,1]","0.123","0.006","0.112","0.12","0.123","0.127","0.135","1.011","160"
"p[22,2]","0.329","0.014","0.303","0.32","0.329","0.338","0.356","1.017","110"
"p[23,1]","0.104","0.008","0.089","0.098","0.103","0.109","0.12","1.036","48"
"p[23,2]","0.22","0.016","0.19","0.208","0.219","0.23","0.251","1.04","43"
"p[24,1]","0.06","0.007","0.048","0.056","0.06","0.065","0.074","1.041","46"
"p[24,2]","0.261","0.024","0.216","0.245","0.26","0.277","0.312","1.053","37"
"p[25,1]","0.114","0.007","0.101","0.109","0.114","0.119","0.128","1.004","520"
"p[25,2]","0.356","0.017","0.322","0.344","0.356","0.367","0.39","1.005","370"
"p[26,1]","0.141","0.066","0.049","0.094","0.129","0.175","0.302","1.001","20000"
"p[26,2]","0.258","0.116","0.082","0.174","0.241","0.326","0.529","1.001","20000"
"p[27,1]","0.08","0.006","0.069","0.076","0.08","0.085","0.093","1.014","120"
"p[27,2]","0.271","0.018","0.236","0.258","0.271","0.284","0.307","1.016","98"
"p[28,1]","0.106","0.006","0.095","0.102","0.106","0.11","0.118","1.01","170"
"p[28,2]","0.336","0.016","0.305","0.325","0.335","0.346","0.368","1.013","120"
"p[29,1]","0.075","0.009","0.059","0.069","0.075","0.081","0.094","1.012","450"
"p[29,2]","0.124","0.014","0.098","0.114","0.123","0.134","0.152","1.013","460"
"epsilon[1,1]","-0.578","0.339","-1.274","-0.8","-0.562","-0.345","0.05","1.043","69"
"epsilon[2,1]","0.554","0.376","-0.167","0.292","0.552","0.808","1.299","1.003","650"
"epsilon[3,1]","0.959","0.316","0.346","0.746","0.958","1.17","1.581","1.003","860"
"epsilon[3,2]","1.154","0.343","0.492","0.921","1.15","1.383","1.84","1.001","9500"
"epsilon[4,1]","0.379","0.319","-0.242","0.161","0.378","0.593","1.01","1.008","200"
