"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int[1]","-1.915","0.1","-2.116","-1.98","-1.916","-1.85","-1.718","1.001","10000"
"logit_int[2]","-1.136","0.121","-1.378","-1.216","-1.137","-1.059","-0.895","1.001","4600"
"logit_flow[1]","-0.113","0.1","-0.31","-0.179","-0.113","-0.046","0.081","1.001","3500"
"logit_flow[2]","-0.41","0.12","-0.645","-0.49","-0.409","-0.33","-0.176","1.001","10000"
"sigmap[1]","0.52","0.077","0.394","0.465","0.512","0.566","0.696","1.002","1900"
"sigmap[2]","0.61","0.095","0.455","0.543","0.599","0.666","0.825","1.002","2100"
"rho","0.385","0.17","0.021","0.28","0.399","0.507","0.676","1.001","10000"
"p[1,1]","0.102","0.013","0.077","0.093","0.101","0.11","0.128","1.028","92"
"p[2,1]","0.179","0.02","0.141","0.165","0.178","0.192","0.221","1.003","7300"
"p[3,1]","0.213","0.007","0.199","0.208","0.213","0.218","0.227","1.01","160"
"p[3,2]","0.5","0.015","0.471","0.49","0.5","0.51","0.527","1.013","130"
"p[4,1]","0.141","0.011","0.12","0.134","0.141","0.149","0.164","1.007","340"
"p[4,2]","0.198","0.015","0.169","0.188","0.198","0.208","0.229","1.007","320"
"p[5,1]","0.251","0.022","0.21","0.236","0.25","0.264","0.295","1.003","730"
"p[5,2]","0.159","0.014","0.132","0.149","0.159","0.168","0.188","1.002","1200"
"p[6,1]","0.139","0.012","0.116","0.13","0.139","0.147","0.163","1.001","4500"
"p[6,2]","0.216","0.019","0.181","0.203","0.216","0.229","0.254","1.001","4700"
"p[7,1]","0.149","0.009","0.132","0.142","0.148","0.155","0.167","1.198","12"
"p[7,2]","0.107","0.007","0.094","0.102","0.107","0.111","0.121","1.188","12"
"p[8,1]","0.25","0.02","0.213","0.237","0.25","0.263","0.29","1.001","10000"
"p[8,2]","0.376","0.027","0.325","0.358","0.375","0.394","0.43","1.001","10000"
"p[9,1]","0.243","0.006","0.231","0.239","0.243","0.248","0.256","1.002","2000"
"p[9,2]","0.504","0.011","0.482","0.496","0.504","0.512","0.526","1.002","1100"
"p[10,1]","0.218","0.007","0.205","0.213","0.218","0.222","0.231","1.001","6100"
"p[10,2]","0.534","0.013","0.509","0.525","0.534","0.542","0.558","1.001","2600"
"p[11,1]","0.264","0.008","0.249","0.259","0.264","0.269","0.279","1.003","590"
"p[11,2]","0.342","0.009","0.324","0.336","0.342","0.349","0.36","1.004","430"
"p[12,1]","0.149","0.01","0.13","0.142","0.149","0.155","0.168","1.002","1000"
"p[12,2]","0.191","0.012","0.168","0.183","0.191","0.199","0.215","1.002","1400"
"p[13,1]","0.163","0.007","0.149","0.158","0.163","0.168","0.178","1.001","10000"
"p[13,2]","0.333","0.013","0.307","0.324","0.332","0.341","0.359","1.001","10000"
"p[14,1]","0.121","0.008","0.106","0.115","0.121","0.126","0.136","1.001","6900"
"p[14,2]","0.166","0.01","0.146","0.159","0.166","0.173","0.187","1.001","10000"
"p[15,1]","0.13","0.007","0.118","0.126","0.13","0.135","0.143","1.005","430"
"p[15,2]","0.191","0.009","0.173","0.185","0.191","0.197","0.209","1.004","530"
"p[16,1]","0.092","0.005","0.083","0.089","0.092","0.095","0.101","1.002","2200"
"p[16,2]","0.345","0.016","0.315","0.335","0.345","0.356","0.376","1.002","1400"
"p[17,1]","0.07","0.006","0.059","0.066","0.07","0.074","0.082","1.004","420"
"p[17,2]","0.209","0.016","0.18","0.198","0.208","0.22","0.242","1.004","460"
"p[18,1]","0.087","0.009","0.071","0.081","0.087","0.092","0.105","1.012","140"
"p[18,2]","0.127","0.012","0.104","0.119","0.127","0.135","0.152","1.013","120"
"p[19,1]","0.093","0.013","0.068","0.084","0.093","0.102","0.121","1.005","440"
"p[19,2]","0.051","0.007","0.037","0.046","0.051","0.056","0.067","1.004","620"
"p[20,1]","0.098","0.006","0.086","0.094","0.098","0.102","0.11","1.002","1900"
"p[20,2]","0.234","0.013","0.208","0.224","0.234","0.243","0.26","1.002","2000"
"p[21,1]","0.094","0.008","0.079","0.088","0.094","0.099","0.11","1.003","780"
"p[21,2]","0.228","0.018","0.195","0.216","0.228","0.24","0.264","1.003","720"
"p[22,1]","0.123","0.006","0.112","0.119","0.123","0.127","0.135","1.004","450"
"p[22,2]","0.329","0.013","0.303","0.32","0.329","0.338","0.356","1.006","280"
"p[23,1]","0.104","0.008","0.089","0.098","0.104","0.109","0.12","1.008","230"
"p[23,2]","0.22","0.015","0.19","0.209","0.219","0.23","0.251","1.008","210"
"p[24,1]","0.06","0.007","0.048","0.056","0.06","0.065","0.074","1.007","360"
"p[24,2]","0.261","0.025","0.214","0.245","0.261","0.277","0.311","1.006","390"
"p[25,1]","0.114","0.007","0.099","0.108","0.113","0.119","0.128","1.001","2500"
"p[25,2]","0.354","0.019","0.316","0.34","0.353","0.366","0.391","1.002","1300"
"p[26,1]","0.14","0.065","0.049","0.094","0.127","0.173","0.299","1.001","10000"
"p[26,2]","0.263","0.116","0.085","0.177","0.245","0.331","0.524","1.001","10000"
"p[27,1]","0.08","0.006","0.068","0.075","0.079","0.084","0.093","1.004","560"
"p[27,2]","0.268","0.019","0.233","0.255","0.268","0.281","0.307","1.005","340"
"p[28,1]","0.107","0.006","0.095","0.102","0.107","0.111","0.119","1.001","4800"
"p[28,2]","0.337","0.016","0.305","0.325","0.336","0.347","0.369","1.001","6900"
"p[29,1]","0.075","0.009","0.058","0.068","0.074","0.081","0.095","1.009","380"
"p[29,2]","0.123","0.015","0.095","0.112","0.122","0.132","0.155","1.009","400"
"p[30,1]","0.103","0.016","0.075","0.092","0.102","0.113","0.137","1.001","7700"
"p[30,2]","0.187","0.027","0.138","0.168","0.186","0.205","0.245","1.001","5800"
"epsilon[1,1]","-0.587","0.343","-1.3","-0.807","-0.578","-0.349","0.045","1.014","140"
"epsilon[2,1]","0.612","0.351","-0.061","0.374","0.609","0.843","1.305","1.001","10000"
"epsilon[3,1]","0.963","0.318","0.35","0.746","0.957","1.175","1.595","1.001","3700"
"epsilon[3,2]","1.18","0.344","0.519","0.949","1.172","1.413","1.861","1.003","790"
"epsilon[4,1]","0.402","0.309","-0.196","0.191","0.398","0.609","1.018","1.004","450"
"epsilon[4,2]","0.103","0.295","-0.48","-0.092","0.101","0.296","0.691","1.004","520"
"epsilon[5,1]","1.898","0.448","1.046","1.596","1.887","2.202","2.798","1.001","10000"
"epsilon[5,2]","-0.012","0.359","-0.71","-0.251","-0.014","0.228","0.701","1.001","10000"
"epsilon[6,1]","0.353","0.314","-0.252","0.142","0.35","0.563","0.986","1.002","1800"
"epsilon[6,2]","0.26","0.307","-0.343","0.055","0.258","0.465","0.868","1.001","4000"
"epsilon[7,1]","0.722","0.415","-0.071","0.442","0.713","1.003","1.536","1.011","150"
"epsilon[7,2]","-0.504","0.407","-1.298","-0.779","-0.502","-0.229","0.285","1.008","210"
"epsilon[8,1]","1.459","0.353","0.793","1.221","1.449","1.692","2.178","1.001","10000"
"epsilon[8,2]","0.609","0.307","0.018","0.401","0.606","0.814","1.207","1.001","10000"
"epsilon[9,1]","1.223","0.375","0.496","0.971","1.218","1.474","1.971","1.001","10000"
"epsilon[9,2]","0.98","0.37","0.26","0.733","0.976","1.226","1.712","1.001","4400"
"epsilon[10,1]","1.14","0.275","0.616","0.954","1.139","1.321","1.688","1.001","10000"
"epsilon[10,2]","1.79","0.351","1.116","1.553","1.782","2.02","2.51","1.001","4600"
"epsilon[11,1]","1.451","0.384","0.707","1.193","1.444","1.708","2.225","1.001","10000"
"epsilon[11,2]","-0.1","0.328","-0.749","-0.32","-0.101","0.121","0.544","1.001","10000"
"epsilon[12,1]","0.553","0.313","-0.05","0.344","0.546","0.761","1.184","1.001","10000"
"epsilon[12,2]","0.129","0.297","-0.445","-0.07","0.127","0.33","0.712","1.001","10000"
"epsilon[13,1]","0.447","0.243","-0.022","0.285","0.444","0.61","0.925","1.001","10000"
"epsilon[13,2]","0.41","0.243","-0.067","0.249","0.41","0.571","0.892","1.001","10000"
"epsilon[14,1]","-0.21","0.244","-0.698","-0.373","-0.208","-0.046","0.264","1.001","10000"
