1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,CPUE_Sc[,14],CPUE_Sc[,15],CPUE_Sc[,16],CPUE_Sc[,17],CPUE_Sc[,18],CPUE_Sc[,19],CPUE_Sc[,20],CPUE_Sc[,21],CPUE_Sc[,22],CPUE_Sc[,23],CPUE_Sc[,24] ,CPUE_Sc[,25],CPUE_Sc[,26]
11,14,15,31,10,2,2,10,2,44,72,42,59,41,23,37,58,20,60,38,32,24,52,45,60,19,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,42,67,38,1,1,13,4,63,66,66,71,93,22,38,79,54,123,55,74,80,69,28,40,28,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,19,30,9,0,1,9,5,54,39,53,49,46,20,26,85,8,125,41,2,62,45,32,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,30,26,14,1,0,11,4,44,39,26,35,47,22,31,29,35,46,23,27,27,29,26,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18,22,16,8,1,2,23,6,55,67,21,40,30,39,30,34,19,67,30,23,15,17,15,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26,36,11,10,2,0,7,8,40,47,22,29,30,17,42,17,27,77,23,20,21,33,32,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,
18,29,37,12,39,6,6,9,9,32,34,28,71,42,24,27,40,43,95,39,37,27,38,40,34,23,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,42,20,30,0,0,7,12,6,45,27,51,18,10,16,40,26,31,27,16,19,24,25,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28,29,10,12,0,2,0,2,13,45,21,27,21,16,18,58,39,48,39,41,39,27,40,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NA,27,4,2,0,1,0,0,12,19,2,9,11,3,2,13,15,26,16,11,12,12,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,12,7,0,0,0,0,0,0,23,0,23,15,6,4,12,49,32,8,11,4,18,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,33,20,41,0,0,3,0,5,43,5,4,17,35,26,35,44,0,26,65,25,53,45,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,4,0,21,0,0,0,0,2,0,0,0,7,0,0,1,1,9,1,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,4,2,0,3,0,0,0,0,0,1,3,1,23,0,1,2,0,9,8,0,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,0,4,4,0,3,9,10,1,14,7,8,12,18,9,13,14,10,39,2,13,12,4,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,9,3,4,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,0,1,15,16,18,8,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,10,7,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,19,33,21,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
#END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
