"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"logit_int_MP[1]";0.760130998;0.0976048544360176;0.569497499785972;0.6955;0.7591;0.824;0.9556
"logit_int_MP[2]";-0.26027267961312;0.139794060462565;-0.5423;-0.3524;-0.25845;-0.1663;0.0080355000000002
"logit_flow_MP[1]";-0.1206535355036;0.0947025825543423;-0.3087;-0.1826;-0.12025;-0.0577275;0.06517
"logit_flow_MP[2]";-0.234542976784;0.115794419046158;-0.4624;-0.3119;-0.2347;-0.1582;-0.00522495
"sigmapi_MP";0.330859832;0.0776156321755543;0.1903;0.2779;0.3263;0.3793;0.4956
"mupi_F[1,1]";0.070421234;0.00702148054537111;0.05746;0.06564;0.07012;0.07486;0.085060249985673
"mupi_F[1,2]";0.0944897268;0.0111703946734081;0.07423;0.08683;0.09394;0.1015;0.118
"mupi_F[2,1]";0.0907753834;0.0153034555810137;0.06335;0.0802;0.08994;0.1003;0.1234
"mupi_F[2,2]";0.1577781816;0.0271908548584479;0.1095;0.1386;0.1563;0.174924994641581;0.2161
"sigmapi_F[1]";0.426865254;0.0878336169185848;0.277397499560548;0.3656;0.419;0.479;0.622102499804112
"sigmapi_F[2]";0.609674128;0.141065329266911;0.3637;0.5106;0.599449997914755;0.6969;0.916
"rho_F[1]";0.5434490666191;0.262675496303358;-0.06049075;0.3876;0.5818;0.7424;0.9391
"rho_F[2]";0.20038813633496;0.371093601517471;-0.5477025;-0.064545;0.2226;0.480525;0.8501025
"logit_int_R[1]";-2.09962944;0.0786661971414524;-2.258;-2.151;-2.099;-2.047;-1.946
"logit_int_R[2]";-1.96082794;0.144127010609601;-2.25;-2.056;-1.958;-1.864;-1.681
"logit_effort_R[1]";0.249879020126;0.0885092667548189;0.07943975;0.1913;0.249;0.3073;0.4296
"logit_effort_R[2]";0.345044568099;0.161640893958744;0.0307795;0.2361;0.3435;0.4536;0.6638
"logit_flow_R[1]";-0.249676310576;0.0869816206745919;-0.4208;-0.3078;-0.2499;-0.1926;-0.0758695
"logit_flow_R[2]";-0.026704021210796;0.153025261834719;-0.3269;-0.1291;-0.027735;0.0752125;0.2795
"sigmapi_R";0.304816768;0.0620768521040292;0.202;0.2608;0.2984;0.3416;0.4436024997253
"mupi_D[1,1]";0.008333600062;0.00439201294659711;0.00208797499416123;0.005118;0.00755149998344699;0.0108;0.01863
"mupi_D[1,2]";0.005248083948;0.00346453334552421;0.000935282493611869;0.002702;0.004475;0.00692724998646714;0.01411
"mupi_D[2,1]";0.10657418814;0.0773438761331743;0.0195397499376069;0.05373;0.08711;0.1366;0.308
