"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"logit_int_MP[1]","0.768","0.087","0.597","0.712","0.767","0.826","0.942","1.001","20000"
"logit_int_MP[2]","-0.251","0.122","-0.494","-0.332","-0.249","-0.168","-0.012","1.001","20000"
"logit_flow_MP[1]","-0.178","0.087","-0.351","-0.235","-0.178","-0.12","-0.009","1.001","15000"
"logit_flow_MP[2]","-0.318","0.102","-0.519","-0.387","-0.319","-0.251","-0.116","1.001","20000"
"sigmapi_MP","0.345","0.07","0.217","0.297","0.342","0.389","0.491","1.001","14000"
"mupi_F[1,1]","0.056","0.007","0.044","0.051","0.056","0.06","0.07","1.001","14000"
"mupi_F[1,2]","0.079","0.01","0.06","0.072","0.078","0.085","0.101","1.001","17000"
"mupi_F[2,1]","0.075","0.012","0.054","0.067","0.074","0.082","0.099","1.001","20000"
"mupi_F[2,2]","0.161","0.023","0.119","0.145","0.16","0.176","0.21","1.001","2700"
"sigmapi_F","0.576","0.073","0.447","0.524","0.571","0.622","0.732","1.001","20000"
"rho_F","0.622","0.168","0.239","0.521","0.643","0.746","0.885","1.002","1400"
"logit_int_R[1]","-2.139","0.073","-2.286","-2.186","-2.138","-2.09","-1.996","1.001","4600"
"logit_int_R[2]","-1.946","0.135","-2.21","-2.038","-1.947","-1.855","-1.677","1.001","4600"
"logit_effort_R[1]","0.243","0.078","0.093","0.191","0.242","0.294","0.401","1.001","16000"
"logit_effort_R[2]","0.232","0.128","-0.019","0.147","0.232","0.317","0.484","1.001","4200"
"logit_flow_R[1]","-0.359","0.077","-0.511","-0.41","-0.358","-0.308","-0.206","1.001","20000"
"logit_flow_R[2]","-0.251","0.121","-0.492","-0.331","-0.251","-0.17","-0.019","1.001","20000"
"sigmapi_R","0.312","0.06","0.208","0.27","0.307","0.348","0.448","1.001","15000"
"pi_R_pulsium[27,1]","0.043","0.01","0.025","0.035","0.042","0.049","0.065","1.001","20000"
"pi_R_pulsium[27,2]","0.057","0.047","0.006","0.025","0.044","0.075","0.181","1.001","20000"
"pi_R_pulsium[28,1]","0.501","0.289","0.025","0.25","0.501","0.752","0.974","1.001","20000"
"pi_R_pulsium[28,2]","0.502","0.288","0.024","0.256","0.501","0.749","0.976","1.001","5000"
"pi_R_pulsium[29,1]","0.078","0.028","0.035","0.058","0.074","0.093","0.142","1.001","20000"
"pi_R_pulsium[29,2]","0.088","0.07","0.028","0.055","0.075","0.102","0.214","1.001","7200"
"mupi_D[1,1]","0.016","0.009","0.005","0.01","0.014","0.02","0.038","1.001","20000"
"mupi_D[1,2]","0.008","0.005","0.002","0.005","0.007","0.011","0.022","1.001","6000"
"mupi_D[2,1]","0.109","0.064","0.026","0.063","0.095","0.139","0.27","1.001","20000"
"mupi_D[2,2]","0.049","0.034","0.01","0.025","0.04","0.062","0.135","1.001","20000"
"sigmapi_D[1]","1.916","0.449","1.221","1.596","1.853","2.169","2.965","1.001","20000"
"sigmapi_D[2]","2.384","0.614","1.455","1.953","2.292","2.714","3.845","1.001","20000"
"rho_D","0.864","0.105","0.598","0.814","0.889","0.941","0.992","1.001","20000"
"test[1]","0.02","0.141","0","0","0","0","0","1.001","20000"
"test[2]","0.002","0.041","0","0","0","0","0","1.004","20000"
"test[3]","0.009","0.096","0","0","0","0","0","1.001","20000"
"test[4]","0","0","0","0","0","0","0","1","1"
"test[5]","0.953","0.212","0","1","1","1","1","1.001","20000"
"test[6]","0.963","0.188","0","1","1","1","1","1.001","20000"
"test[7]","0.999","0.032","1","1","1","1","1","1.005","20000"
"test[8]","0.966","0.182","0","1","1","1","1","1.001","20000"
"test[9]","0","0","0","0","0","0","0","1","1"
"test[10]","0.018","0.132","0","0","0","0","0","1.005","5400"
"diffF_1SW","-0.366","0.148","-0.653","-0.467","-0.367","-0.269","-0.067","1.001","20000"
"diffF_MSW","-0.869","0.209","-1.287","-1.007","-0.868","-0.731","-0.46","1.002","2600"
"diff1SW","0.687","0.439","-0.131","0.395","0.668","0.955","1.626","1.001","5300"
"diffMSW","0.921","0.519","-0.094","0.582","0.925","1.259","1.945","1.001","20000"
"pi_MP[1,1]","0.619","0.087","0.439","0.563","0.622","0.678","0.779","1.001","12000"
"pi_MP[1,2]","0.316","0.085","0.167","0.256","0.31","0.37","0.498","1.001","12000"
"pi_MP[2,1]","0.657","0.043","0.57","0.629","0.658","0.686","0.737","1.005","380"
"pi_MP[2,2]","0.452","0.062","0.332","0.409","0.451","0.493","0.574","1.001","9900"
"pi_MP[3,1]","0.728","0.043","0.641","0.699","0.729","0.757","0.809","1.001","7000"
"pi_MP[3,2]","0.399","0.065","0.274","0.353","0.398","0.443","0.531","1.001","8000"
"pi_MP[4,1]","0.704","0.049","0.605","0.672","0.705","0.737","0.795","1.001","20000"
"pi_MP[4,2]","0.519","0.072","0.379","0.471","0.519","0.568","0.661","1.001","20000"
"pi_MP[5,1]","0.759","0.038","0.681","0.734","0.76","0.785","0.832","1.001","7300"
"pi_MP[5,2]","0.352","0.073","0.217","0.301","0.35","0.399","0.505","1.001","20000"
"pi_MP[6,1]","0.644","0.054","0.533","0.609","0.646","0.681","0.745","1.001","18000"
"pi_MP[6,2]","0.387","0.065","0.27","0.341","0.383","0.429","0.524","1.001","20000"
"pi_MP[7,1]","0.51","0.064","0.382","0.467","0.512","0.555","0.632","1.001","10000"
"pi_MP[7,2]","0.279","0.061","0.168","0.236","0.276","0.318","0.405","1.001","20000"
"pi_MP[8,1]","0.712","0.046","0.619","0.682","0.713","0.744","0.8","1.001","6600"
"pi_MP[8,2]","0.371","0.076","0.239","0.318","0.366","0.419","0.537","1.001","20000"
"pi_MP[9,1]","0.707","0.046","0.616","0.677","0.708","0.738","0.795","1.001","17000"
"pi_MP[9,2]","0.406","0.08","0.254","0.35","0.404","0.461","0.564","1.001","20000"
"pi_MP[10,1]","0.6","0.057","0.484","0.563","0.602","0.64","0.708","1.001","9500"
"pi_MP[10,2]","0.48","0.072","0.34","0.43","0.48","0.529","0.621","1.001","20000"
"pi_MP[11,1]","0.682","0.027","0.627","0.664","0.682","0.701","0.734","1.001","20000"
"pi_MP[11,2]","0.5","0.067","0.372","0.454","0.499","0.545","0.632","1.001","20000"
"pi_MP[12,1]","0.741","0.036","0.666","0.718","0.742","0.766","0.808","1.001","20000"
"pi_MP[12,2]","0.567","0.062","0.446","0.525","0.568","0.609","0.686","1.001","20000"
"pi_MP[13,1]","0.743","0.033","0.675","0.721","0.744","0.766","0.805","1.001","20000"
"pi_MP[13,2]","0.366","0.056","0.262","0.327","0.364","0.403","0.479","1.001","20000"
"pi_MP[14,1]","0.658","0.044","0.57","0.629","0.659","0.688","0.74","1.001","20000"
"pi_MP[14,2]","0.495","0.066","0.369","0.45","0.494","0.539","0.627","1.001","20000"
"pi_MP[15,1]","0.655","0.051","0.55","0.622","0.657","0.691","0.752","1.001","20000"
"pi_MP[15,2]","0.364","0.06","0.252","0.323","0.363","0.404","0.483","1.001","3600"
"pi_MP[16,1]","0.69","0.057","0.572","0.653","0.693","0.73","0.795","1.001","15000"
"pi_MP[16,2]","0.461","0.064","0.337","0.417","0.46","0.504","0.587","1.001","12000"
"pi_MP[17,1]","0.696","0.033","0.63","0.674","0.697","0.719","0.759","1.001","20000"
"pi_MP[17,2]","0.47","0.071","0.337","0.421","0.468","0.517","0.618","1.001","4400"
"pi_MP[18,1]","0.784","0.043","0.696","0.756","0.785","0.814","0.863","1.001","20000"
"pi_MP[18,2]","0.627","0.059","0.507","0.587","0.627","0.666","0.74","1.001","20000"
"pi_MP[19,1]","0.586","0.057","0.473","0.547","0.587","0.625","0.696","1.001","20000"
"pi_MP[19,2]","0.367","0.057","0.262","0.327","0.365","0.405","0.484","1.001","20000"
"pi_MP[20,1]","0.647","0.04","0.565","0.621","0.648","0.674","0.723","1.001","20000"
"pi_MP[20,2]","0.393","0.062","0.278","0.349","0.39","0.433","0.521","1.001","20000"
"pi_MP[21,1]","0.634","0.039","0.554","0.607","0.634","0.661","0.708","1.001","20000"
"pi_MP[21,2]","0.523","0.062","0.407","0.48","0.522","0.565","0.645","1.001","20000"
"pi_MP[22,1]","0.651","0.039","0.574","0.626","0.652","0.678","0.725","1.001","20000"
"pi_MP[22,2]","0.42","0.053","0.318","0.384","0.419","0.455","0.525","1.001","13000"
"pi_MP[23,1]","0.624","0.037","0.549","0.599","0.625","0.65","0.694","1.001","3700"
"pi_MP[23,2]","0.445","0.064","0.323","0.4","0.443","0.488","0.575","1.001","20000"
"pi_MP[24,1]","0.795","0.027","0.739","0.777","0.796","0.813","0.845","1.001","9500"
"pi_MP[24,2]","0.633","0.06","0.514","0.593","0.634","0.675","0.749","1.001","20000"
"pi_MP[25,1]","0.659","0.057","0.543","0.622","0.661","0.698","0.765","1.001","20000"
"pi_MP[25,2]","0.305","0.055","0.204","0.266","0.303","0.342","0.419","1.001","20000"
"pi_MP[26,1]","0.69","0.06","0.566","0.651","0.692","0.731","0.799","1.001","20000"
"pi_MP[26,2]","0.455","0.074","0.314","0.404","0.453","0.504","0.603","1.001","15000"
"pi_MP[27,1]","0.623","0.051","0.518","0.589","0.624","0.658","0.718","1.001","20000"
"pi_MP[27,2]","0.438","0.09","0.263","0.378","0.437","0.498","0.618","1.001","20000"
"pi_MP[28,1]","0.672","0.042","0.585","0.644","0.672","0.701","0.751","1.001","4800"
"pi_MP[28,2]","0.396","0.077","0.245","0.342","0.397","0.448","0.545","1.001","15000"
"pi_MP[29,1]","0.788","0.051","0.683","0.755","0.79","0.824","0.881","1.001","20000"
"pi_MP[29,2]","0.59","0.067","0.457","0.545","0.591","0.637","0.72","1.001","7000"
"pi_MP94[1]","0.545","0.131","0.329","0.451","0.53","0.622","0.85","1.001","10000"
"pi_MP94[2]","0.353","0.174","0.11","0.224","0.319","0.449","0.784","1.001","20000"
"p_MP94_tot[1]","0.331","0.064","0.217","0.285","0.327","0.372","0.467","1.001","20000"
"p_MP94_tot[2]","0.104","0.044","0.037","0.072","0.098","0.13","0.209","1.001","19000"
"pi_MP20[2]","0.318","0.162","0.094","0.199","0.285","0.402","0.731","1.001","20000"
"p_MP20_tot[1]","0.623","0.051","0.518","0.589","0.624","0.658","0.718","1.001","20000"
"p_MP20_tot[2]","0.134","0.062","0.042","0.088","0.123","0.168","0.282","1.001","20000"
"epsilon_MP[1,1]","-0.119","0.999","-2.036","-0.798","-0.129","0.554","1.879","1.001","20000"
"epsilon_MP[1,2]","-0.217","0.997","-2.172","-0.895","-0.215","0.457","1.731","1.001","9800"
"epsilon_MP[2,1]","-0.739","0.597","-1.914","-1.132","-0.737","-0.343","0.436","1.004","520"
"epsilon_MP[2,2]","-0.217","0.728","-1.65","-0.696","-0.217","0.271","1.204","1.001","4100"
"epsilon_MP[3,1]","0.395","0.661","-0.878","-0.049","0.383","0.83","1.71","1.001","7500"
"epsilon_MP[3,2]","-0.802","0.758","-2.275","-1.315","-0.813","-0.288","0.7","1.001","15000"
"epsilon_MP[4,1]","0.151","0.695","-1.169","-0.323","0.14","0.611","1.536","1.001","20000"
