"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"pi_MP[5,2]";0.36831484;0.0796726676004194;0.215687485852885;0.312;0.365499986320109;0.4199;0.5312
"pi_MP[6,1]";0.64896454;0.0540666625323579;0.5409;0.613149944938409;0.6526;0.6898;0.742539958039313
"pi_MP[6,2]";0.42822064;0.0741253225468796;0.2962;0.3736;0.4226;0.4768;0.5841
"pi_MP[7,1]";0.53153182;0.0574914034772361;0.4207;0.4938;0.5323;0.57;0.6463
"pi_MP[7,2]";0.31747622;0.0695614157606365;0.1902;0.2679;0.3151;0.3598;0.4694
"pi_MP[8,1]";0.72159874;0.0449867374425124;0.6278;0.692424987812805;0.724;0.7521;0.8053
"pi_MP[8,2]";0.39974906;0.0855832800649854;0.2582;0.3386;0.3892;0.4558;0.591614992588619
"pi_MP[9,1]";0.71819148;0.0472068685796656;0.628252429835011;0.6861;0.7179;0.7527;0.8103
"pi_MP[9,2]";0.40577056;0.0795040703406218;0.2519;0.348374997308677;0.407299987724036;0.4601;0.549612494459513
"pi_MP[10,1]";0.5749724;0.0668447909971801;0.4356;0.532949992962812;0.576999965337954;0.6218;0.7055
"pi_MP[10,2]";0.47305628;0.0742055906957131;0.3245;0.4237;0.4752;0.525;0.611
"pi_MP[11,1]";0.67891514;0.0276352346474425;0.6264;0.660849994324917;0.678;0.6978;0.7342
"pi_MP[11,2]";0.4981803;0.0695349221254256;0.359937287439103;0.4522;0.497999989959839;0.544274984500574;0.6314
"pi_MP[12,1]";0.74096986;0.0333225946865446;0.671889997096645;0.7188;0.7419;0.763;0.805
"pi_MP[12,2]";0.55047046;0.063046134793585;0.4238;0.5061;0.5531;0.594;0.6731
"pi_MP[13,1]";0.74269514;0.0359166508954093;0.6689;0.7201;0.7447;0.7676;0.804609997577228
"pi_MP[13,2]";0.39548058;0.0567424309098289;0.293192496256431;0.356274997368359;0.3932;0.4315;0.5119
"pi_MP[14,1]";0.65297764;0.0485386287375977;0.557797499781482;0.6191;0.6507;0.6842;0.7515
"pi_MP[14,2]";0.48745476;0.0674980430124052;0.366494998669372;0.4396;0.4849;0.5304;0.6305
