"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)"
1982,NA,3586,NA,NA
1983,NA,3680,NA,NA
1984,NA,2679,62,43
1985,NA,4518,100,32
1986,NA,2000,172,36
1987,NA,1655,133,41
1988,NA,NA,96,31
1989,NA,NA,173,42
1990,NA,NA,71,50
1991,NA,NA,160,28
1992,NA,1685,135,44
1993,NA,1743,48,27
1994,NA,2455,45,18
1995,NA,1837,114,7
1996,NA,2089,36,27
1997,NA,6294,32,14
1998,NA,1680,227,14
1999,NA,773,29,56
2000,NA,1623,58,13
2001,NA,NA,88,17
2002,NA,1859,108,32
2003,NA,2961,28,22
2004,NA,7608,83,15
2005,NA,5233,260,50
2006,NA,2742,107,121
2007,NA,5490,75,21
2008,NA,6630,130,13
2009,NA,1144,85,49
2010,NA,2932,136,46
2011,NA,6427,135,35
2012,NA,6399.99999999999,130,36
2013,NA,1874,134,76
2014,NA,2608,75,55
2015,NA,7522,153,49
2016,NA,7796,230,30
2017,NA,1501,316,64
2018,NA,4301,105,66
2019,NA,6609,135,26
