"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"site_Sc[43]","-0.633243882587311","0.358969782506589","-1.36","-0.8725","-0.6248","-0.3894","0.0504132499999993","1.00201277435619","1400"
"site_Sc[44]","-0.203782160247293","0.354608407967658","-0.915835","-0.438","-0.20125","0.0374925","0.4862","1.0016824361958","2000"
"site_Sc[45]","-1.2646285877688","0.263947166125996","-1.784175","-1.44","-1.262","-1.082","-0.7590825","1.00136919377423","3400"
"site_Sc[46]","-1.32889171114839","0.227822127199721","-1.786","-1.481","-1.326","-1.172","-0.892890000000001","1.00134183094863","3600"
"site_Sc[47]","-0.176844239379289","0.186484488275373","-0.5452175","-0.302275","-0.17385","-0.049605","0.187","1.00104570506329","12000"
"site_Sc[48]","-1.84446089675156","0.266237991281896","-2.374","-2.021","-1.84","-1.661","-1.34","1.00192250128492","1500"
"site_Sc[49]","-1.44760068628946","0.244961502008306","-1.941175","-1.609","-1.443","-1.279","-0.980995","1.00092295273174","13000"
"site_Sc[50]","-0.975472414976361","0.265513738750349","-1.514","-1.154","-0.9708","-0.7935","-0.4685475","1.00093797244302","13000"
"site_Sc[51]","-0.164639957495806","0.225485629150428","-0.6185175","-0.3138","-0.1613","-0.01302","0.2689","1.00131353032769","3800"
"site_Sc[52]","-0.865436432819887","0.309413105281247","-1.488","-1.073","-0.8583","-0.653325","-0.274765","1.00093476423927","13000"
"site_Sc[53]","-0.146475394098673","0.295990044096222","-0.7423","-0.3413","-0.13775","0.0562275","0.4113175","1.00112440843783","7400"
"d_Sc_pred[1,1]","2.57256613542779","1.12019431779503","1.045","1.784","2.358","3.12","5.34917498650602","1.00101616892524","13000"
"d_Sc_pred[1,2]","5.91772926643282","2.74712582091186","2.23982496776468","3.93024997614858","5.38849997680245","7.30574998716706","12.6334977159766","1.00096062086654","13000"
"d_Sc_pred[1,3]","3.5084799755986","1.83105075468281","1.1858249391024","2.188","3.078","4.3927499786564","8.12857428100757","1.00202031734762","1400"
"d_Sc_pred[1,4]","3.89886585328656","1.50110171568483","1.65682495641882","2.813","3.664","4.723","7.487","1.00099694352345","13000"
"d_Sc_pred[1,5]","1.74221702760409","0.675383185143087","0.753882499042402","1.258","1.63","2.094","3.34852480605329","1.00092456260708","13000"
"d_Sc_pred[1,6]","1.78374015555894","0.86958343977568","0.670964995695941","1.176","1.596","2.176","3.999","1.00209862851023","1300"
"d_Sc_pred[1,7]","2.30899341162117","1.04370200795027","0.903112480012229","1.583","2.102","2.795","4.9252242822641","1.001012111453","13000"
"d_Sc_pred[1,8]","3.79382606374867","1.36450389861038","1.75664983554348","2.80924996663206","3.593","4.53874997934302","7.00434995878072","1.00095492854962","13000"
"d_Sc_pred[1,9]","1.01728095165472","0.528160853793361","0.374612451797335","0.656824998572752","0.8966","1.24174992448144","2.368","1.00098518928167","13000"
"d_Sc_pred[1,10]","3.8610877077932","1.3084931693706","1.88782496175277","2.923","3.67549996599102","4.598","6.98352490698586","1.0009325760214","13000"
"d_Sc_pred[1,11]","3.83297020741193","1.56592428926285","1.61264982085059","2.721","3.56149996490243","4.63274997976218","7.63987476384746","1.00106227416317","11000"
"d_Sc_pred[1,12]","6.34793632758884","2.27823303399253","2.89764990032047","4.684","6.041","7.63974998772812","11.7134975367177","1.00162368476191","2100"
"d_Sc_pred[1,13]","3.11459460118957","1.13391084641999","1.45182495026325","2.299","2.938","3.716","5.87734995087796","1.00092626921087","13000"
