"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"int_width","-0.184","0.194","-0.587","-0.308","-0.177","-0.052","0.177","1.001","11000"
"width_coef","0.408","0.093","0.226","0.345","0.407","0.469","0.595","1.001","19000"
"rate_lcpu","1.259","2.21","0.358","0.621","0.885","1.36","4.289","1.001","40000"
"p_cpue","0.488","0.141","0.263","0.383","0.469","0.576","0.811","1.001","40000"
"mup_rem","0.53","0.067","0.396","0.484","0.531","0.577","0.659","1.001","15000"
"sd_prem","1.001","0.175","0.693","0.88","0.987","1.108","1.383","1.001","40000"
"eps","0.908","0.119","0.66","0.832","0.913","0.991","1.124","1.001","40000"
"mu_d","2.157","0.212","1.741","2.015","2.158","2.299","2.574","1.001","40000"
"sigma_d","1.294","0.156","1.02","1.185","1.282","1.39","1.634","1.001","29000"
"log_k_inter","-0.008","0.113","-0.229","-0.084","-0.009","0.067","0.219","1.001","40000"
"sigma_dSc","0.456","0.049","0.363","0.422","0.454","0.49","0.555","1.001","40000"
"int_ydSc","1.859","0.155","1.558","1.755","1.857","1.963","2.167","1.001","40000"
"log_flow","-0.401","0.097","-0.593","-0.464","-0.401","-0.337","-0.211","1.001","40000"
"sigma_ySc","0.501","0.074","0.38","0.449","0.493","0.545","0.669","1.001","40000"
"sigma_siteSc","0.68","0.085","0.533","0.62","0.673","0.732","0.868","1.001","40000"
"eps_ydSc[1]","-0.27","0.207","-0.677","-0.406","-0.27","-0.134","0.137","1.001","21000"
"eps_ydSc[2]","0.254","0.213","-0.164","0.112","0.254","0.395","0.675","1.001","40000"
"eps_ydSc[3]","-0.359","0.163","-0.68","-0.467","-0.359","-0.251","-0.038","1.001","40000"
"eps_ydSc[4]","-0.055","0.136","-0.319","-0.146","-0.056","0.036","0.217","1.001","25000"
"eps_ydSc[5]","-0.484","0.176","-0.835","-0.6","-0.483","-0.367","-0.141","1.001","40000"
"eps_ydSc[6]","-0.87","0.175","-1.217","-0.985","-0.868","-0.751","-0.53","1.001","40000"
"eps_ydSc[7]","-0.407","0.243","-0.887","-0.567","-0.407","-0.247","0.069","1.001","40000"
"eps_ydSc[8]","0.247","0.154","-0.056","0.144","0.247","0.348","0.553","1.001","40000"
"eps_ydSc[9]","-1.463","0.158","-1.781","-1.568","-1.461","-1.356","-1.157","1.001","40000"
"eps_ydSc[10]","0.234","0.127","-0.013","0.148","0.234","0.319","0.485","1.001","40000"
"eps_ydSc[11]","0.031","0.23","-0.421","-0.121","0.031","0.182","0.486","1.001","40000"
"eps_ydSc[12]","0.48","0.145","0.196","0.384","0.479","0.576","0.767","1.001","40000"
"eps_ydSc[13]","0.076","0.169","-0.256","-0.036","0.075","0.189","0.412","1.001","24000"
"eps_ydSc[14]","0.095","0.135","-0.169","0.005","0.094","0.184","0.36","1.001","40000"
"eps_ydSc[15]","0.548","0.17","0.217","0.434","0.546","0.661","0.883","1.001","40000"
"eps_ydSc[16]","0.397","0.137","0.132","0.305","0.396","0.489","0.67","1.001","40000"
"eps_ydSc[17]","0.227","0.129","-0.026","0.14","0.228","0.314","0.481","1.001","32000"
"eps_ydSc[18]","-0.022","0.152","-0.32","-0.123","-0.023","0.079","0.278","1.001","31000"
"eps_ydSc[19]","0.348","0.145","0.065","0.251","0.346","0.445","0.636","1.001","27000"
"eps_ydSc[20]","0.305","0.129","0.053","0.218","0.304","0.39","0.559","1.001","40000"
"eps_ydSc[21]","0.089","0.147","-0.199","-0.009","0.089","0.185","0.381","1.001","18000"
"eps_ydSc[22]","0.095","0.131","-0.162","0.007","0.095","0.182","0.355","1.001","40000"
"eps_ydSc[23]","0.661","0.128","0.415","0.575","0.66","0.747","0.914","1.001","40000"
"eps_ydSc[24]","-0.074","0.149","-0.367","-0.174","-0.074","0.026","0.221","1.001","40000"
"eps_ydSc[25]","-0.042","0.132","-0.301","-0.13","-0.043","0.045","0.221","1.001","35000"
"eps_ydSc[26]","-0.409","0.135","-0.677","-0.499","-0.41","-0.32","-0.145","1.001","29000"
"eps_ydSc[27]","0.701","0.128","0.452","0.615","0.7","0.785","0.954","1.001","40000"
"eps_ydSc[28]","-0.49","0.159","-0.805","-0.597","-0.489","-0.382","-0.177","1.001","40000"
"eps_ydSc[29]","0.362","0.153","0.065","0.26","0.362","0.465","0.661","1.001","40000"
"eps_ydSc[30]","-0.178","0.167","-0.509","-0.29","-0.178","-0.067","0.149","1.001","40000"
"year_dSc[1]","0.935","0.166","0.61","0.824","0.933","1.044","1.263","1.001","23000"
"year_dSc[2]","1.394","0.155","1.094","1.29","1.393","1.498","1.702","1.001","40000"
"year_dSc[3]","1.119","0.161","0.809","1.012","1.118","1.226","1.438","1.001","40000"
"year_dSc[4]","2.021","0.15","1.728","1.921","2.021","2.121","2.321","1.001","40000"
"year_dSc[5]","1.898","0.15","1.605","1.798","1.897","1.999","2.193","1.001","40000"
"year_dSc[6]","0.568","0.168","0.236","0.454","0.568","0.68","0.899","1.001","40000"
"year_dSc[7]","0.607","0.164","0.288","0.496","0.606","0.715","0.933","1.001","40000"
"year_dSc[8]","1.741","0.152","1.447","1.639","1.74","1.842","2.042","1.001","40000"
"year_dSc[9]","0.241","0.173","-0.098","0.125","0.242","0.356","0.581","1.001","40000"
"year_dSc[10]","2.179","0.15","1.889","2.078","2.177","2.278","2.48","1.001","40000"
"year_dSc[11]","2.722","0.148","2.439","2.622","2.721","2.82","3.018","1.001","40000"
"year_dSc[12]","2.037","0.149","1.748","1.936","2.036","2.135","2.335","1.001","40000"
"year_dSc[13]","2.433","0.148","2.148","2.334","2.43","2.531","2.73","1.001","40000"
"year_dSc[14]","2.173","0.149","1.887","2.072","2.171","2.272","2.472","1.001","40000"
"year_dSc[15]","1.926","0.153","1.63","1.821","1.924","2.026","2.233","1.001","40000"
"year_dSc[16]","2.022","0.149","1.732","1.922","2.021","2.121","2.318","1.001","40000"
"year_dSc[17]","2.246","0.148","1.958","2.147","2.245","2.345","2.541","1.001","40000"
"year_dSc[18]","2.209","0.15","1.918","2.108","2.208","2.309","2.509","1.001","40000"
"year_dSc[19]","2.544","0.148","2.259","2.445","2.543","2.642","2.839","1.001","40000"
"year_dSc[20]","2.033","0.152","1.74","1.931","2.03","2.134","2.338","1.001","40000"
"year_dSc[21]","2.292","0.149","2.004","2.191","2.29","2.391","2.593","1.001","40000"
"year_dSc[22]","2.139","0.15","1.847","2.038","2.138","2.238","2.44","1.001","40000"
"year_dSc[23]","2.392","0.149","2.105","2.292","2.391","2.491","2.693","1.001","40000"
"year_dSc[24]","2.137","0.15","1.847","2.035","2.135","2.236","2.437","1.001","40000"
"year_dSc[25]","2.005","0.148","1.723","1.905","2.003","2.103","2.298","1.001","40000"
"year_dSc[26]","1.646","0.151","1.352","1.543","1.644","1.746","1.947","1.001","40000"
"year_dSc[27]","2.405","0.148","2.118","2.304","2.403","2.503","2.703","1.001","40000"
"year_dSc[28]","1.555","0.177","1.207","1.435","1.554","1.674","1.903","1.001","40000"
"year_dSc[29]","2.176","0.175","1.836","2.058","2.175","2.293","2.52","1.001","40000"
"year_dSc[30]","2","0.172","1.665","1.884","2","2.116","2.339","1.001","40000"
"site_Sc[1]","-0.654","0.178","-1.003","-0.774","-0.655","-0.535","-0.306","1.001","40000"
"site_Sc[2]","0.073","0.163","-0.246","-0.038","0.072","0.181","0.394","1.001","40000"
"site_Sc[3]","0.679","0.18","0.326","0.558","0.679","0.798","1.035","1.001","40000"
"site_Sc[4]","0.819","0.169","0.491","0.705","0.818","0.93","1.156","1.001","40000"
"site_Sc[5]","0.471","0.174","0.133","0.353","0.47","0.588","0.816","1.001","40000"
"site_Sc[6]","0.361","0.179","0.015","0.239","0.359","0.482","0.714","1.001","40000"
"site_Sc[7]","-0.111","0.174","-0.449","-0.228","-0.112","0.005","0.233","1.001","40000"
"site_Sc[8]","0.03","0.17","-0.302","-0.085","0.029","0.146","0.367","1.001","40000"
"site_Sc[9]","0.256","0.165","-0.066","0.144","0.255","0.367","0.583","1.001","40000"
"site_Sc[10]","0.123","0.166","-0.202","0.011","0.121","0.235","0.451","1.001","40000"
"site_Sc[11]","0.79","0.169","0.464","0.675","0.788","0.902","1.125","1.001","40000"
"site_Sc[12]","0.541","0.19","0.169","0.411","0.54","0.668","0.916","1.001","40000"
"site_Sc[13]","0.499","0.181","0.149","0.377","0.498","0.621","0.853","1.001","40000"
