"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta_MC[10]","1.046382995","0.256681396829423","0.620494999214177","0.8614","1.022","1.202","1.618","1.00095212557523","20000"
"beta_MC[11]","0.87575503","0.235772825325476","0.478797499745422","0.7082","0.851549998532089","1.018","1.40302499131733","1.00107576769801","12000"
"beta_MC[12]","3.435949445","0.948839075283702","1.83797499336678","2.764","3.343","4.009","5.546","1.0011032452829","9700"
"beta_MC[13]","1.687008835","0.412142857789874","1.006","1.391","1.649","1.934","2.61","1.00094886488505","20000"
"beta_MC[14]","2.159505435","0.536169558036177","1.267","1.774","2.10949994074425","2.489","3.352","1.00096642156354","20000"
"beta_MC[15]","4.62251895","1.20338392127533","2.593","3.761","4.515","5.354","7.28002499832604","1.0010234469698","20000"
"beta_MC[16]","5.1920496","1.515904423785","2.622","4.105","5.04949997524507","6.124","8.55414994873186","1.00115047277838","7400"
"beta_MC[17]","7.23099275","1.7690140827983","4.305","5.957","7.064","8.301","11.19","1.00094933016276","20000"
"beta_MC[18]","7.45787615","1.82198170407325","4.4479749972596","6.149","7.288","8.55424998904096","11.53","1.00094852500116","20000"
"beta_MC[19]","6.38043205","1.64290153121082","3.631","5.20974998200374","6.21449997988575","7.383","10.0502498788107","1.00102296833816","20000"
"beta_MC[20]","4.27418635","1.0480022638625","2.53497499519106","3.518","4.171","4.9","6.62104999263852","1.00095563288732","20000"
"beta_MC[21]","6.31299465","1.55105358675412","3.73897499673987","5.194","6.164","7.256","9.77","1.00095390117089","20000"
"beta_MC[22]","3.83815155","0.941610729134316","2.276","3.159","3.749","4.41","5.93602499794707","1.00095222226333","20000"
"beta_MC[23]","6.1546775","1.53278826577161","3.597","5.05074998143717","6.012","7.096","9.55702499872484","1.00097001830482","20000"
"beta_MC[24]","5.18741955","1.27771732672221","3.066","4.2677499780312","5.067","5.95124998424789","8.057","1.00096270649288","20000"
"beta_MC[25]","2.258056035","0.557344232105466","1.334","1.857","2.205","2.591","3.51504998613606","1.00096581044476","20000"
"beta_MC[26]","3.19891747","0.86537989118225","1.7429749930051","2.584","3.11","3.721","5.13002499762457","1.00108113693949","11000"
"beta_MC[27]","2.564763515","0.634870320750272","1.51497499195195","2.108","2.505","2.944","3.994","1.00097004887974","20000"
"beta_MC[28]","4.43610845","1.11881162559265","2.56","3.632","4.333","5.121","6.92402499823998","1.00098536391018","20000"
"beta_MC[29]","4.5389117","1.1137243049312","2.691","3.736","4.433","5.216","7.021","1.00095240633528","20000"
"beta_MC[30]","6.5547667","1.63772881923577","3.817","5.374","6.401","7.564","10.2","1.00097393652871","20000"
"beta_MC[31]","4.2138297","1.09182599648398","2.374974994867","3.431","4.117","4.87824998078336","6.62602499816084","1.00101782903211","20000"
"beta_MC[32]","3.077247835","0.878588558490872","1.596","2.455","2.99","3.608","5.03004999031068","1.0011367725884","8000"
"beta_MC[33]","6.6055995","1.73276793594403","3.686","5.36674998253024","6.447","7.66424998776841","10.4302498832232","1.00103242788196","18000"
"test[1]","0.2058","0.404295105988975","0","0","0","0","1","1.00095589201004","20000"
"test[2]","0.0906","0.28704661605389","0","0","0","0","1","1.00199095022939","2700"
