"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"Ntot[24]";3388.1641;170.891467217185;3078;3269;3380;3498;3746.02499674709;1.00128237608303;4700
"Ntot[25]";1414.95123333333;114.373500566055;1212;1335;1407;1487;1659;1.00157720986109;2500
"Ntot[26]";1806.4299;91.5702640404181;1640;1742;1802;1866;1998;1.00103129549039;23000
"Ntot[27]";1365.1184;66.881853698781;1247;1318;1360;1408;1508;1.00119365183083;6600
"Ntot[28]";1290.46053333333;94.7094858251928;1123;1225;1284;1350;1493;1.0011194329242;9700
"Ntot[29]";1571.52666666667;108.080132923339;1377;1496;1565;1641;1800;1.00098743532063;30000
"Ntot[30]";2301.43783333333;116.119374749775;2087;2220;2296;2377;2544;1.00104283326671;19000
"Ntot[31]";1973.77976666667;245.316425599472;1554;1799;1954;2127;2505;1.00116059583122;7700
"Nesc[1]";749.351033333333;59.3889291907948;651;708;743;785;883;1.00098674458848;30000
"Nesc[2]";362.1481;41.5299039747763;301;332;355;384;463;1.00108358210333;13000
"Nesc[3]";417.842233333333;37.5947370672287;358;391;413;440;504;1.00096661789128;30000
"Nesc[4]";832.221433333333;79.0539304404035;703;776;823;879;1012;1.0009696019886;30000
"Nesc[5]";815.630933333333;44.2517449414133;755;784;807;839;923;1.00968812128751;280
"Nesc[6]";202.381633333333;22.2740984220291;169;187;199;214;255;1.00096942725428;30000
"Nesc[7]";679.5926;42.8159541772037;614;649;674;704;780;1.00103598536572;21000
"Nesc[8]";231.269533333333;17.4129642936828;210;219;227;239;276;1.00137648815314;3700
"Nesc[9]";596.128166666667;139.590908947184;409.974970226574;497;569;662;952;1.002376726582;1100
"Nesc[10]";748.389266666667;44.3703613060299;677;716;743;775;849;1.00098517877235;30000
"Nesc[11]";1005.28883333333;68.6252236621709;892;956;998;1047;1158;1.00180495701294;1800
"Nesc[12]";475.7658;70.431647509665;362;426;467;517;636;1.00096703040773;30000
"Nesc[13]";1084.49423333333;120.443517003221;882;999;1074;1158.24991908221;1350;1.00249598663418;980
"Nesc[14]";263.6975;22.663822464704;227;247;261;277;316;1.00096529598632;30000
"Nesc[15]";2167.14493333333;57.2401806042289;2065;2127;2163;2204;2288;1.00096537282612;30000
"Nesc[16]";1362.69543333333;94.9627351641047;1194;1296;1357;1423;1567;1.00101763204846;29000
